Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1539	4,4,4,4,4,8,8,15,22,23,22,22	0.23311389982700348,0.23629875481128693,0.08448714017868042,0.0801321491599083,0.07928743213415146,0.018088823184370995,0.0041044531390070915,0.0026052407920360565,0.0023782458156347275,0.0018879121635109186,0.004423255566507578,0.0014231373788788915	0,0,0,0,0,1,1,2,3,3,3,3	0,0,0,0,0,1,1,2,4,4,4,4	0,0,0,0,0,2,2,4,7,7,7,7	1,1,1,1,1,2,2,2,4,4,4,4	3.46,3.46,3.46,3.46,3.46,3.87,3.87,5.44,6.0,5.88,6.0,6.0	0,0,0,0,0,0,0,1,2,2,2,2	4,4,3,3,3,9,9,12,11,12,11,11	0,1,33,54,76,252,252,621,621,640,754,802	0,1,2,1,1,6,2,11,16,2,1,6	0,2,4,2,2,8,4,15,24,3,3,12	0,2,28,6,4,294,28,168,390,27,61,73	2184.json
1438	4	0.8304897546768188	0	0	0	1	3.46	0	1	0	0	0	0	148.json
716	28	0.24295271933078766	1	1	2	4	8.34	3	5	0	0	0	0	183.json
1046	16	0.021506551653146744	1	1	2	4	6.46	2	8	0	0	0	0	1808.json
556	4	0.10463827103376389	0	0	0	1	3.46	0	0	0	0	0	0	1926.json
790	4	0.5592139959335327	0	0	0	1	3.46	0	0	0	0	0	0	415.json
680	4,4	0.5924326181411743,0.8361274600028992	0,0	0,0	0,0	1,1	3.46,3.46	0,0	0,0	0,198	0,1	0,2	0,65	431.json
929	8,8,8	0.6030150055885315,0.6030150055885315,0.6084001660346985	1,1,1	1,1,1	2,2,2	2,2,2	5.29,5.29,5.29	1,1,1	2,2,1	0,192,264	0,0,1	0,0,2	0,0,40	1490.json
1549	11,11,10,10,9,9,9,13,17,31,32,32,25,25,32,32,32,32,32,32	0.01843057945370674,0.031334638595581055,0.09193743765354156,0.09616538137197495,0.06654436141252518,0.07021725922822952,0.09561486542224884,0.006337267346680164,0.007331646513193846,4.6485711936838925E-4,1.811921247281134E-4,1.4590733917430043E-4,2.734157314989716E-4,2.72826524451375E-4,4.460577620193362E-4,5.725060473196208E-4,4.849673714488745E-4,4.987607826478779E-4,6.676831399090588E-4,4.943264648318291E-4	1,1,1,1,1,1,1,2,1,6,6,6,4,4,4,4,4,4,4,4	1,1,1,1,1,1,1,2,1,6,6,6,4,4,4,4,4,4,4,4	2,2,2,2,2,2,2,4,2,12,12,12,8,8,8,8,8,8,8,8	2,2,2,2,2,2,2,3,3,7,7,7,5,5,6,6,6,6,6,6	5.34,5.34,4.8,4.8,5.03,5.03,5.03,4.92,4.75,5.99,5.92,5.92,5.67,5.67,6.24,6.24,6.24,6.24,6.24,6.24	1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2	6,6,4,5,4,4,4,8,8,12,15,15,12,12,12,12,14,14,14,15	0,33,43,56,118,172,246,253,253,722,724,731,799,812,815,819,942,1098,1211,1213	0,1,3,1,2,1,1,4,6,20,3,1,1,1,13,1,2,2,2,3	0,2,7,2,5,2,2,5,8,25,4,2,9,2,17,2,4,4,3,6	0,4,103,21,74,9,9,129,70,534,91,6,196,6,114,8,31,4,36,18	1044.json
1351	4,3	0.8103901147842407,0.9871299266815186	0,0	0,0	0,0	1,1	3.46,0.0	0,0	0,0	0,625	0,1	0,2	0,62	333.json
