Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1359	11,11	0.45669353008270264,0.45669353008270264	2,2	2,2	4,4	3,3	4.21,4.21	2,2	4,4	0,1034	0,0	0,0	0,0	4925.json
1455	3,3,3,3	0.9773156046867371,0.9773156046867371,0.9756264686584473,0.6109176278114319	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,28,38,1130	0,0,3,3	0,0,6,6	0,0,12,32	4281.json
1466	3,3,3	0.9280638098716736,0.9638419151306152,0.9639444351196289	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	0,36,1141	0,1,1	0,2,2	0,31,10	6491.json
1465	12,12,12,12,12,10	0.6304175853729248,0.5992016792297363,0.7455657124519348,0.716181755065918,0.716181755065918,0.7654970288276672	4,4,3,3,3,3	2,2,2,2,2,2	6,6,5,5,5,5	3,3,3,3,3,3	3.82,3.82,3.82,3.82,3.82,4.08	2,2,2,2,2,2	4,4,4,4,4,3	0,35,110,764,1140,1152	0,1,1,1,0,1	0,2,2,2,0,4	0,6,20,7,0,75	2184.json
1370	6,6	0.7901893854141235,0.7901893854141235	1,1	1,1	2,2	2,2	2.75,2.75	1,1	2,2	0,1045	0,0	0,0	0,0	4913.json
845	4,4,3	0.7486764788627625,0.7486764788627625,0.73078453540802	0,0,0	0,0,0	0,0,0	1,1,1	3.32,3.32,1.89	0,0,0	1,1,1	0,520,653	0,0,1	0,0,3	0,0,37	148.json
1774	14,13,13,7,7,3,20,20,20,6	0.3631924092769623,0.42460325360298157,0.31126028299331665,0.5855928063392639,0.5855928063392639,0.39193880558013916,0.09364111721515656,0.042118147015571594,0.042118147015571594,0.5043296217918396	5,5,5,2,2,0,3,3,3,3	3,3,3,1,1,0,4,4,4,1	8,8,8,3,3,0,7,7,7,4	4,4,4,2,2,1,5,5,5,2	4.65,4.83,4.83,3.02,3.02,1.89,5.1,5.1,5.1,3.27	3,3,3,1,1,0,3,3,3,1	6,5,5,2,2,1,3,3,3,2	0,204,299,299,306,415,930,980,1073,1449	0,3,1,1,0,1,20,1,4,1	0,7,2,8,0,6,21,2,8,1	0,64,23,236,0,110,707,27,4,651	5081.json
1774	14,13,13,7,7,3,20,20,20,6	0.3631924092769623,0.42460325360298157,0.31126028299331665,0.5855928063392639,0.5855928063392639,0.39193880558013916,0.09364111721515656,0.042118147015571594,0.042118147015571594,0.149411141872406	5,5,5,2,2,0,3,3,3,3	3,3,3,1,1,0,4,4,4,1	8,8,8,3,3,0,7,7,7,4	4,4,4,2,2,1,5,5,5,2	4.65,4.83,4.83,3.02,3.02,1.89,5.1,5.1,5.1,3.27	3,3,3,1,1,0,3,3,3,1	6,5,5,2,2,1,3,3,3,2	0,204,299,299,306,415,930,980,1073,1449	0,3,1,1,0,1,20,1,4,0	0,7,2,8,0,6,21,2,8,0	0,64,23,236,0,110,707,27,4,651	4428.json
1749	3,3,3,3	0.05802466347813606,0.05160268023610115,0.048720233142375946,0.053958065807819366	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,179,1424,1554	0,1,1,1	0,2,2,2	0,9,6,9	8474.json
1775	6,6,6,6,5,5	0.08047837764024734,0.07120974361896515,0.07120974361896515,0.07306777685880661,0.14669466018676758,0.10747024416923523	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	2,2,2,2,2,2	3.27,3.27,3.27,3.27,2.99,2.99	1,1,1,1,1,1	2,2,2,2,1,1	0,205,301,384,543,1450	0,1,0,1,1,2	0,2,0,2,3,4	0,7,0,10,44,20	3721.json
