Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
7446	9,25,30,30,30,31,33,33,19,21,26,29,33,54,54,58,74,77,82,77,82,85,85,88,88,88,91,93,97,97,62,67,69,73	0.749826967716217,0.03630449250340462,0.004164241719990969,0.003718328895047307,0.0037234884221106768,0.002353411866351962,0.009955356828868389,0.009138614870607853,0.1848185956478119,0.05492444336414337,0.04606112092733383,0.0029628758784383535,0.0015364015707746148,3.306204453110695E-4,3.165153320878744E-4,1.3898343604523689E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	1,4,5,5,5,5,5,5,4,4,4,5,7,8,8,9,11,12,12,12,12,13,13,13,13,13,15,15,16,16,13,15,15,16	1,5,6,6,6,6,6,6,4,4,4,7,9,12,12,13,18,19,21,19,21,23,23,23,23,22,24,24,26,26,20,23,23,26	2,9,11,11,11,11,11,11,8,8,8,12,16,20,20,22,29,31,33,31,33,36,36,36,36,35,39,39,42,42,33,38,38,42	2,6,7,7,7,7,7,7,5,5,6,7,8,13,13,14,17,18,19,18,19,20,20,20,20,20,21,22,23,23,14,15,15,16	2.27,3.26,3.32,3.32,3.32,3.27,3.26,3.26,3.28,3.34,3.45,3.38,3.6,5.23,5.23,5.14,5.64,5.55,5.44,5.38,5.44,5.41,5.41,5.37,5.37,5.37,5.29,5.26,5.22,5.22,5.83,6.42,3.88,3.86	1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2	5,14,17,17,17,17,17,18,9,13,14,16,18,22,21,23,29,30,32,30,32,34,32,35,35,35,40,40,43,57,41,45,45,47	0,13,27,31,76,173,174,181,199,250,555,566,747,815,832,1229,1293,1321,1322,1323,1326,1347,1523,1535,1842,1887,1918,2234,2366,2399,2719,5894,6299,6746	0,21,6,1,1,3,6,1,8,5,7,4,5,33,2,5,17,4,5,2,1,4,2,6,1,1,4,2,4,13,1,6,18,5	0,27,7,2,2,6,9,2,31,7,9,6,5,44,4,5,19,5,5,3,4,4,4,9,2,2,5,2,4,26,38,7,34,6	0,558,167,7,1,46,76,11,652,236,132,188,210,760,41,174,758,142,259,29,34,148,60,198,9,20,143,72,232,196,1145,295,383,253	4925.json
7254	5,5,5,5,3,3	0.7226525545120239,0.6023842692375183,0.453593909740448,0.46219441294670105,0.96406090259552,0.966705322265625	1,1,1,1,0,0	1,1,1,1,0,0	2,2,2,2,0,0	2,2,2,2,1,1	2.99,2.99,2.99,2.99,1.89,1.89	1,1,1,1,0,0	1,1,1,1,0,0	0,551,638,638,1368,5093	0,1,1,1,1,1	0,2,2,2,4,2	0,1,27,1,80,6	4281.json
6879	6,10,11,15,17,24	0.8556473851203918,0.6360049843788147,0.6316669583320618,0.3766186535358429,0.038534458726644516,7.933357846923172E-4	2,4,4,5,5,7	2,4,4,5,8,16	4,8,8,10,13,23	2,4,4,5,6,10	2.75,2.8,8.64,3.54,2.58,2.44	1,1,1,2,1,1	1,4,4,5,5,7	0,158,251,2174,2229,3128	0,7,2,11,6,8	0,8,3,19,10,10	0,150,42,243,173,350	6491.json
6519	5,3	0.279880553483963,0.5905171036720276	2,0	2,0	4,0	2,1	2.99,3.77	1,0	4,0	0,25	0,2	0,6	0,102	2184.json
5525	13,11	0.08786869794130325,0.21969251334667206	4,3	4,3	8,6	5,4	4.58,3.45	3,2	0,0	0,4378	0,3	0,8	0,127	4913.json
6981	19,19,19,19,19	0.0,0.0,0.0,0.0,0.0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	6.35,6.35,6.35,6.09,6.09	0,0,0,0,0	22,22,22,22,22	0,1320,2313,2346,4060	0,5,5,2,1	0,10,10,2,2	0,118,20,75,44	148.json
3696	3	0.11955145001411438	0	0	0	1	1.89	0	0	0	0	0	0	8739.json
7446	3,3,5,3,3	0.9470250606536865,0.9470250606536865,0.7715250253677368,0.7417441606521606,0.7458413243293762	0,0,1,0,0	0,0,1,0,0	0,0,2,0,0	1,1,2,1,1	1.89,1.89,2.99,1.89,1.89	0,0,1,0,0	0,0,2,2,2	0,10,200,1902,5285	0,0,3,1,1	0,0,4,4,2	0,0,58,39,6	5081.json
6216	3,3	0.8068484663963318,0.889657199382782	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,1264	0,2	0,4	0,6	4428.json
3976	6,10,10	0.689725399017334,0.29124143719673157,0.35155126452445984	1,2,2	1,2,2	2,4,4	2,3,3	2.75,2.53,2.53	1,1,1	0,4,4	0,35,3414	0,4,1	0,4,2	0,130,23	8474.json
6130	13,13,14,14,14,14	0.0957711711525917,0.0631546899676323,0.3035953640937805,0.29049190878868103,0.29049190878868103,0.29049190878868103	5,5,4,4,4,4	3,4,3,3,3,3	8,9,7,7,7,7	4,4,4,4,4,4	4.62,4.62,10.4,10.4,10.4,10.4	2,2,2,2,2,2	4,4,4,4,4,4	0,1480,4983,5336,5497,5498	0,1,4,6,1,1	0,2,8,12,2,2	0,30,131,24,1,1	3721.json
5416	3	0.8567392230033875	0	0	0	1	1.89	0	1	0	0	0	0	8365.json
6366	10,3,5,5,5	0.42597177624702454,0.6966229677200317,0.9204906821250916,0.549127459526062,0.7053031325340271	1,0,0,0,0	1,0,0,0,0	2,0,0,0,0	2,1,1,1,1	2.8,1.89,2.75,2.75,2.75	1,0,1,1,1	5,0,0,0,0	0,621,1475,3522,5219	0,1,4,2,1	0,11,5,4,2	0,274,95,32,14	731.json
6881	3,3	0.650945246219635,0.8922431468963623	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,1580	0,1	0,2	0,16	4623.json
4110	7,7,7	0.13964982330799103,0.030994506552815437,0.0320587195456028	1,1,1	1,1,1	2,2,2	2,2,2	3.02,3.02,2.56	1,1,1	4,4,4	0,1189,1949	0,1,1	0,2,2	0,53,10	183.json
6886	23,23,22,22,22,19	0.0280792023986578,0.02546255849301815,0.02920847199857235,0.02664301171898842,0.020597374066710472,0.02092040702700615	1,1,1,1,2,5	2,2,2,2,2,2	3,3,3,3,4,7	3,3,3,3,3,3	1.9,1.9,1.93,1.93,1.93,2.86	1,1,1,1,1,1	20,20,19,21,22,20	0,272,330,361,728,5739	0,1,0,2,1,6	0,2,1,4,2,16	0,35,38,12,22,227	1808.json
