Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2703	3,3	0.30676767230033875,0.30676767230033875	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	12.0,12.0	2.0,2.0	13.0,13.0	4.0,4.0	14.0,14.0	17.0,17.0	64.72504,64.72504	12.0,12.0	776.70044,776.70044	43.150024,43.150024	0.021575011,0.021575011	131.28770446777344,131.28770446777344	0,13	0,0	0,0	0,0	2184.json
2852	6,6	0.09836037456989288,0.11182000488042831	1,1	1,1	2,2	2,2	3.27,3.27	0,0	3,3	17.0,16.0	6.0,6.0	27.0,26.0	8.0,8.0	23.0,22.0	35.0,34.0	158.32466,151.62068	11.333334,10.666667	1794.3463,1617.2874	99.685905,89.8493	0.052774888,0.050540227	115.17733001708984,115.40231323242188	0,553	0,1	0,2	0,22	731.json
2614	4	0.753974437713623	0	0	0	1	2.0	0	1	13.0	3.0	16.0	3.0	16.0	19.0	76.0	6.5	494.0	27.444445	0.025333334	125.79222106933594	0	0	0	0	1808.json
3060	3,3	0.8767131567001343,0.8757731318473816	0,0	0,0	0,0	1,1	3.77,1.89	0,0	0,0	9.0,9.0	2.0,2.0	10.0,10.0	2.0,2.0	11.0,11.0	12.0,12.0	41.51318,41.51318	4.5,4.5	186.80931,186.80931	10.378295,10.378295	0.013837727,0.013837727	133.59722900390625,133.59722900390625	0,17	0,0	0,0	0,16	3198.json
1821	57,57,55	0.0,0.0,0.0	7,7,7	7,7,7	14,14,14	9,9,8	3.59,3.59,3.62	2,2,2	48,49,47	82.0,82.0,81.0	26.0,26.0,26.0	288.0,291.0,280.0	84.0,85.0,82.0	108.0,108.0,107.0	372.0,376.0,362.0	2512.818,2539.8376,2440.4111	132.46153,134.03847,127.730774	332851.75,340435.94,311715.6	18491.764,18913.107,17317.533	0.837606,0.8466126,0.81347036	62.7209358215332,62.665321350097656,63.681610107421875	0,313,1794	0,1,5	0,2,12	0,23,95	415.json
1821	3	0.8573477864265442	0	0	0	1	1.89	0	0	9.0	3.0	10.0	3.0	12.0	13.0	46.604515	4.5	209.72032	11.651129	0.015534839	132.9956512451172	0	0	0	0	431.json
2906	3	0.44318699836730957	0	0	0	1	1.89	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	0	3018.json
1821	3	0.8723758459091187	0	0	0	1	1.89	0	0	9.0	3.0	10.0	3.0	12.0	13.0	46.604515	4.5	209.72032	11.651129	0.015534839	132.9956512451172	0	0	0	0	333.json
1821	3	0.6747987866401672	0	0	0	1	1.89	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	0	284.json
2436	3	0.177851140499115	0	0	0	1	1.89	0	1	14.0	5.0	16.0	5.0	19.0	21.0	89.20648	7.0	624.4454	34.69141	0.029735494	129.61952209472656	0	0	0	0	2978.json
1472	6	0.8437021970748901	1	1	2	2	2.56	1	3	15.0	3.0	27.0	4.0	18.0	31.0	129.26768	10.0	1292.6769	71.815384	0.04308923	116.231689453125	0	0	0	0	2514.json
3027	3,3	0.008160622790455818,0.006555382627993822	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	22.0,22.0	5.0,5.0	31.0,31.0	7.0,7.0	27.0,27.0	38.0,38.0	180.68573,180.68573	15.4,15.4	2782.56,2782.56	154.58667,154.58667	0.060228575,0.060228575	125.94933319091797,125.94933319091797	0,0	0,3	0,6	0,36	2605.json
2723	4	1.993557671085E-4	0	0	0	1	2.0	0	3	20.0	10.0	34.0	12.0	30.0	46.0	225.71696	12.0	2708.6035	150.47797	0.07523899	120.13176727294922	0	0	0	0	2870.json
3173	3,3,4	0.8092218637466431,0.8990371227264404,0.7805355191230774	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,2.0	0,0,0	0,0,0	12.0,12.0,13.0	3.0,3.0,3.0	13.0,13.0,16.0	4.0,4.0,4.0	15.0,15.0,16.0	17.0,17.0,20.0	66.41714,66.41714,80.0	8.0,8.0,8.666667	531.3371,531.3371,693.3334	29.518728,29.518728,38.51852	0.022139046,0.022139046,0.026666667	131.1535186767578,131.1535186767578,125.5254898071289	0,64,175	0,1,2	0,2,3	0,8,43	220.json
1821	4	0.4969572126865387	1	1	2	2	2.0	0	0	16.0	4.0	19.0	7.0	20.0	26.0	112.37013	14.0	1573.1819	87.398994	0.03745671	123.52867889404297	0	0	0	0	307.json
2245	11	0.15843982994556427	1	1	2	4	4.96	3	2	21.0	8.0	40.0	12.0	29.0	52.0	252.61502	15.75	3978.6865	221.03815	0.08420501	102.46839141845703	0	0	0	0	2631.json
2117	9,11,13,13	0.010271056555211544,0.002478382783010602,0.0012415805831551552,0.0013893211726099253	0,2,5,4	0,1,3,2	0,3,8,6	3,4,4,4	4.26,5.51,5.77,5.77	2,3,3,3	3,6,8,8	28.0,33.0,38.0,35.0	10.0,10.0,11.0,12.0	50.0,68.0,81.0,80.0	15.0,18.0,25.0,25.0	38.0,43.0,49.0,47.0	65.0,86.0,106.0,105.0	341.1153,466.65878,595.15924,583.2318	21.0,29.699999,43.181816,36.458332	7163.4214,13859.766,25700.057,21263.658	397.96786,769.987,1427.7809,1181.3143	0.1137051,0.15555292,0.19838642,0.1944106	104.38741302490234,99.27698516845703,95.305908203125,95.41117858886719	0,160,192,204	0,7,4,2	0,12,6,4	0,141,141,89	2311.json
3710	5,3,3,3,5,3,3	0.1775226593017578,0.05512171611189842,0.05512171611189842,0.05512171611189842,0.07130801677703857,0.4129444360733032,0.3547229766845703	1,0,0,0,0,0,0	1,0,0,0,0,0,0	2,0,0,0,0,0,0	2,1,1,1,2,1,1	2.99,1.89,1.89,1.89,2.75,1.89,1.89	1,0,0,0,1,0,0	4,3,3,3,3,1,1	18.0,16.0,16.0,16.0,19.0,14.0,12.0	7.0,5.0,5.0,5.0,6.0,6.0,6.0	30.0,22.0,22.0,22.0,29.0,16.0,14.0	9.0,6.0,6.0,6.0,7.0,6.0,6.0	25.0,21.0,21.0,21.0,25.0,20.0,18.0	39.0,28.0,28.0,28.0,36.0,22.0,20.0	181.11038,122.984886,122.984886,122.984886,167.17882,95.08241,83.398506	11.571428,9.6,9.6,9.6,11.083333,7.0,6.0	2095.7058,1180.6549,1180.6549,1180.6549,1852.8986,665.5769,500.39105	116.4281,65.59194,65.59194,65.59194,102.93881,36.976494,27.799503	0.06037013,0.04099496,0.04099496,0.04099496,0.05572627,0.031694137,0.027799502	117.43174743652344,127.94976043701172,127.94976043701172,127.94976043701172,117.84797668457031,129.28781127929688,129.9696044921875	0,253,517,1118,1119,1371,3683	0,1,0,1,4,1,1	0,4,0,2,5,6,2	0,81,0,5,146,180,19	2826.json
