Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
120	4	0.3885296881198883	0	0	0	1	1.73	0	1	0	0	0	0	4281.json
2059	4	0.3750534951686859	0	0	0	1	1.73	0	0	0	0	0	0	6491.json
1601	4,4	0.37022143602371216,0.2846734821796417	0,0	0,0	0,0	1,1	1.73,1.73	0,0	1,1	0,63	0,1	0,2	0,10	11879.json
1694	10	0.1426258087158203	1	1	2	2	2.8	1	5	0	0	0	0	15388.json
923	5	0.29733994603157043	0	0	0	1	1.96	0	0	0	0	0	0	14050.json
665	4	0.8212557435035706	0	0	0	1	1.73	0	1	0	0	0	0	12851.json
3117	4,4,4,4	0.7607189416885376,0.5034091472625732,0.5034091472625732,0.5577423572540283	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.73,1.73,1.73,1.73	0,0,0,0	0,0,0,2	0,175,175,2892	0,2,2,1	0,4,4,2	0,16,0,73	14758.json
1417	7,16	0.007317340467125177,0.016017233952879906	1,5	1,3	2,8	2,4	3.33,3.23	0,1	2,5	0,1354	0,17	0,22	0,354	8739.json
1107	4	0.0702834278345108	0	0	0	1	1.73	0	1	0	0	0	0	5081.json
120	5	0.0	0	0	0	1	1.96	0	4	0	0	0	0	4428.json
315	4	0.9098448753356934	0	0	0	1	1.73	0	0	0	0	0	0	8474.json
2075	4,5,5,7	0.9579508304595947,0.9543594121932983,0.9543594121932983,0.9760656952857971	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.73,1.96,1.96,1.98	0,0,0,0	0,0,0,0	0,443,454,741	0,5,5,3	0,9,9,4	0,41,0,58	3721.json
3060	9,9	0.1111035943031311,0.094395712018013	2,2	1,1	3,3	3,3	3.77,3.77	1,1	1,1	0,1216	0,2	0,4	0,21	8365.json
2584	15,14,14	0.07456924021244049,0.12359806150197983,0.12359806150197983	2,0,0	1,0,0	3,0,0	3,2,2	3.12,2.53,2.53	1,1,1	5,4,4	0,74,859	0,1,1	0,3,2	0,39,5	731.json
1787	9,9	0.2440059781074524,0.791930079460144	2,2	2,2	4,4	3,3	2.8,2.8	0,0	4,2	0,44	0,2	0,4	0,55	17454.json
2004	4	0.914854109287262	0	0	0	1	1.73	0	0	0	0	0	0	4623.json
1570	1	0.7239649295806885	0	0	0	1	0.0	0	0	0	0	0	0	1808.json
1785	4,4	0.6757345199584961,0.6158421635627747	0,0	0,0	0,0	1,1	1.73,1.73	0,0	1,1	0,54	0,1	0,2	0,8	17807.json
1681	4	0.6144617199897766	0	0	0	1	1.73	0	1	0	0	0	0	20463.json
2886	15,15,15	0.004377234261482954,0.015095185488462448,0.014414996840059757	0,0,0	0,0,0	0,0,0	2,2,2	3.33,3.33,3.33	1,1,1	9,9,9	0,52,2017	0,1,3	0,2,6	0,20,21	11181.json
3432	4,4,4	0.7387818098068237,0.7684345841407776,0.7431160807609558	0,0,0	0,0,0	0,0,0	1,1,1	1.73,1.73,1.73	0,0,0	1,1,1	0,1068,1623	0,1,1	0,2,2	0,4,11	17137.json
1298	4,4	2.4106091586872935E-4,4.889052361249924E-4	0,0	0,0	0,0	1,1	1.73,1.73	0,0	4,4	0,996	0,1	0,2	0,18	16406.json
1808	9,9	0.9597889184951782,0.9474064111709595	1,1	2,2	3,3	3,3	2.95,2.95	0,0	2,1	0,34	0,9	0,18	0,112	19954.json
2531	4,4	0.646361231803894,0.646361231803894	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	0,0	0,0	0,0	0,0	5530.json
120	13	0.024142127484083176	3	3	6	4	2.46	1	7	0	0	0	0	4016.json
1777	4	0.048922210931777954	0	0	0	1	1.73	0	0	0	0	0	0	5586.json
366	5	0.1713005155324936	0	0	0	1	1.96	0	1	0	0	0	0	10416.json
3643	4,4	0.01490134745836258,0.01490134745836258	0,0	0,0	0,0	1,1	1.73,1.73	0,0	1,1	0,1584	0,0	0,0	0,0	6428.json
1760	4	0.853122353553772	0	0	0	1	1.73	0	0	0	0	0	0	19772.json
1502	6	0.08024393022060394	0	0	0	1	2.0	0	4	0	0	0	0	14915.json
651	7	0.22107528150081635	0	0	0	1	8.55	0	4	0	0	0	0	10921.json
1774	4	0.7360244393348694	0	0	0	1	1.73	0	0	0	0	0	0	20315.json
651	4	0.7989485263824463	0	0	0	1	1.73	0	0	0	0	0	0	21296.json
1809	4,4	0.5635745525360107,0.7162195444107056	0,0	0,0	0,0	1,1	1.73,1.73	0,0	2,1	0,22	0,1	0,2	0,7	18574.json
1809	4,6	0.10224975645542145,0.3667236864566803	0,2	0,2	0,4	1,2	1.73,4.03	0,0	0,0	0,282	0,3	0,4	0,92	18357.json
2075	7,7,9,9,22,22	0.9743789434432983,0.9513528943061829,0.7823808789253235,0.7823808789253235,0.24482184648513794,0.23167555034160614	1,1,1,1,5,5	1,1,1,1,3,3	2,2,2,2,8,8	2,2,2,2,4,4	2.8,2.8,2.51,2.51,3.31,3.31	0,0,0,0,2,2	1,1,3,3,8,8	0,65,443,454,741,755	0,1,9,9,16,1	0,2,16,16,18,2	0,21,134,0,440,14	3663.json
1645	4	0.19701769948005676	0	0	0	1	1.73	0	1	0	0	0	0	10794.json
1025	18,18,21	0.07935003191232681,0.05799367278814316,0.12597788870334625	1,1,0	1,1,0	2,2,0	3,3,3	2.71,2.71,2.63	1,1,1	5,5,6	0,156,659	0,2,13	0,4,24	0,44,391	9518.json
1601	4	0.6701482534408569	0	0	0	1	1.73	0	0	0	0	0	0	12222.json
1502	23	0.027178576216101646	7	6	13	7	3.41	1	7	0	0	0	0	415.json
120	4	0.6849793195724487	0	0	0	1	1.73	0	1	0	0	0	0	4040.json
3186	4,4	0.05003288388252258,0.05003288388252258	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	0,0	0,0	0,0	0,0	9358.json
2167	4	0.7825186252593994	0	0	0	1	1.73	0	1	0	0	0	0	22655.json
1774	4,4	0.921667218208313,0.8191126585006714	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	0,961	0,1	0,2	0,7	21243.json
4120	6,5,5,6,6,6,10,13,10,7,14,11,8,11,18	0.6195996999740601,0.6360539793968201,0.6360539793968201,0.6577098965644836,0.6577098965644836,0.7896106839179993,0.6847631931304932,0.7793717980384827,0.6847631931304932,0.7132351994514465,0.6299406290054321,0.1396869271993637,0.9443984031677246,0.6884909272193909,0.4502983093261719	0,0,0,0,0,0,2,3,2,2,2,2,1,0,0	0,0,0,0,0,0,2,3,2,2,2,2,1,0,0	0,0,0,0,0,0,4,6,4,4,4,4,2,0,0	1,1,1,1,1,1,2,3,2,2,3,2,2,1,1	2.0,1.96,1.96,2.0,2.0,2.0,2.4,3.45,2.4,2.8,2.62,3.0,2.95,2.67,3.58	0,0,0,0,0,0,1,1,1,0,1,1,0,1,2	2,2,2,2,2,2,3,3,3,2,2,2,2,2,4	0,57,58,113,303,380,663,736,738,872,1243,1354,2290,2377,2614	0,0,0,1,0,1,7,6,1,2,9,9,8,11,8	0,1,0,1,0,2,8,7,7,7,11,18,21,22,9	0,29,0,27,0,9,130,115,115,43,153,456,528,122,165	7397.json
1601	4,6	0.0,0.0010381994070485234	0,0	0,0	0,0	1,1	1.73,4.92	0,0	4,5	0,412	0,3	0,4	0,85	12088.json
1759	9,9	0.8053742051124573,0.836119532585144	2,1	1,1	3,2	2,2	2.4,2.4	0,0	6,5	0,16	0,4	0,8	0,39	13560.json
2544	4,4	0.7914373874664307,0.7270057797431946	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	0,735	0,1	0,2	0,8	17567.json
665	4	0.0024202887434512377	0	0	0	1	1.73	0	3	0	0	0	0	3421.json
120	8	0.4099588394165039	0	0	0	2	2.65	1	2	0	0	0	0	4374.json
1576	6,6	0.953313946723938,0.9585826992988586	1,1	1,1	2,2	2,2	2.98,2.98	0,0	2,2	0,449	0,1	0,2	0,26	431.json
1458	4,4	0.7596282958984375,0.7124702334403992	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	0,226	0,1	0,2	0,11	20230.json
2602	10,10,13,26,26,25,25,4,4	0.29009491205215454,0.4189966320991516,0.14416180551052094,0.12539911270141602,0.12446878850460052,0.2286514788866043,0.20081698894500732,0.004991048481315374,0.007144313771277666	2,2,2,5,5,5,5,0,0	1,1,1,3,3,3,3,0,0	3,3,3,8,8,8,8,0,0	2,2,2,5,5,5,5,1,1	2.8,2.8,3.08,4.42,4.42,4.44,4.44,1.73,1.73	1,1,1,3,3,3,3,0,0	3,3,4,4,4,4,6,1,1	0,0,5,208,291,360,366,655,702	0,1,4,21,3,2,2,2,1	0,2,5,26,6,5,4,29,2	0,19,144,480,77,83,21,767,19	6171.json
2368	4,4	0.5322798490524292,0.8739240765571594	0,0	0,0	0,0	1,1	1.73,1.73	0,0	0,0	0,559	0,4	0,8	0,39	21358.json
1231	5	0.15078632533550262	0	0	0	1	1.96	0	4	0	0	0	0	19826.json
1835	4	0.030234286561608315	0	0	0	1	1.73	0	0	0	0	0	0	16167.json
1855	8,8	0.08823525905609131,0.08823525905609131	2,2	1,1	3,3	2,2	2.65,2.65	0,0	3,3	0,70	0,0	0,0	0,0	3575.json
686	4	0.8169493675231934	0	0	0	1	1.73	0	0	0	0	0	0	6239.json
120	7	0.002332463627681136	0	0	0	1	1.98	0	7	0	0	0	0	4044.json
1743	11	0.46013155579566956	0	0	0	2	2.67	1	3	0	0	0	0	7359.json
2895	4	0.33989667892456055	0	0	0	1	1.73	0	1	0	0	0	0	8264.json
1025	17,17,17,9	0.04690932482481003,0.01249786652624607,0.023603681474924088,0.007927429862320423	0,0,0,0	0,0,0,0	0,0,0,0	2,2,2,1	2.63,2.63,2.56,1.89	1,1,1,0	5,6,6,6	0,156,465,659	0,3,3,6	0,6,4,11	0,91,112,626	9512.json
1549	9	0.0	0	0	0	2	2.51	0	4	0	0	0	0	14586.json
1772	4	0.39253294467926025	0	0	0	1	1.73	0	1	0	0	0	0	9233.json
3257	6,6	0.8295416831970215,0.8295416831970215	0,0	0,0	0,0	1,1	2.0,2.0	0,0	1,1	0,1709	0,0	0,0	0,0	7064.json
696	8,8	0.008754030801355839,0.00889175571501255	2,2	2,2	4,4	2,2	3.37,3.37	0,0	12,12	0,644	0,1	0,2	0,1	3018.json
