Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2099	15,15,14,14,11	0.18021883070468903,0.18021883070468903,0.19863182306289673,0.19995921850204468,0.4663398861885071	3,3,4,4,3	2,2,3,3,2	5,5,7,7,5	4,4,4,4,3	6.2,6.2,5.49,5.49,3.95	3,3,3,3,2	5,5,5,5,4	24.0,24.0,25.0,25.0,23.0	13.0,13.0,12.0,12.0,11.0	52.0,52.0,53.0,53.0,44.0	20.0,20.0,21.0,21.0,19.0	37.0,37.0,37.0,37.0,34.0	72.0,72.0,74.0,74.0,63.0	375.08066,375.08066,385.49957,385.49957,320.51016	18.461538,18.461538,21.875,21.875,19.863636	6924.566,6924.566,8432.803,8432.803,6366.497	384.69812,384.69812,468.48904,468.48904,353.69427	0.12502688,0.12502688,0.12849985,0.12849985,0.10683672	95.3884506225586,95.3884506225586,96.36366271972656,96.36366271972656,101.46054077148438	0,0,9,170,1609	0,0,2,2,4	0,0,5,4,10	0,0,82,4,98	2184.json
701	6	0.9759869575500488	0	0	0	2	1.98	1	0	13.0	4.0	20.0	4.0	17.0	24.0	98.099106	6.5	637.64417	35.424675	0.0326997	117.66641235351562	0	0	0	0	148.json
1813	15,14,15	0.004633705597370863,0.0029263508040457964,7.260238635353744E-4	3,3,3	3,3,3	6,6,6	3,3,3	4.35,4.2,4.3	1,1,1	7,7,8	23.0,23.0,23.0	11.0,11.0,12.0	68.0,68.0,74.0	23.0,23.0,26.0	34.0,34.0,35.0	91.0,91.0,100.0	462.95914,462.95914,512.9283	24.045454,24.045454,24.916668	11132.0625,11132.0625,12780.464	618.44794,618.44794,710.02576	0.15431972,0.15431972,0.17097609	94.52386474609375,95.64154815673828,93.99088287353516	0,144,1549	0,4,2	0,8,3	0,25,68	731.json
5956	4,4,3,11,12,13	0.2979620099067688,0.2979620099067688,0.31042516231536865,7.195528014563024E-4,2.5434023700654507E-4,1.0025379742728546E-4	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.73,1.73,1.89,3.13,3.06,2.98	0,0,0,0,0,0	1,1,1,0,0,0	11.0,11.0,11.0,13.0,13.0,13.0	1.0,1.0,1.0,9.0,10.0,11.0	13.0,13.0,13.0,28.0,30.0,32.0	1.0,1.0,1.0,15.0,17.0,19.0	12.0,12.0,12.0,22.0,23.0,24.0	14.0,14.0,14.0,43.0,47.0,51.0	50.189476,50.189476,50.189476,191.75555,212.6074,233.83308	5.5,5.5,5.5,10.833333,11.05,11.227273	276.0421,276.0421,276.0421,2077.3518,2349.3118,2625.3079	15.335673,15.335673,15.335673,115.40843,130.51732,145.85043	0.016729826,0.016729826,0.016729826,0.063918516,0.07086913,0.07794436	127.94984436035156,127.94984436035156,132.61029052734375,104.59174346923828,102.6453857421875,100.8538589477539	0,3707,4248,5058,5096,5100	0,0,1,9,1,1	0,0,2,10,1,1	0,0,11,242,39,36	1808.json
5959	9,10,10,10,10,10,6,8,8,8	0.7784064412117004,0.7572497129440308,0.7620222568511963,0.7620222568511963,0.764864444732666,0.7608935832977295,0.17060698568820953,0.03344978392124176,0.041977234184741974,0.06095844507217407	2,2,2,2,2,2,1,2,2,2	2,2,2,2,2,2,1,2,2,2	4,4,4,4,4,4,2,4,4,4	2,2,2,2,2,2,2,2,2,2	2.8,2.95,2.95,2.95,2.95,2.95,2.75,5.29,5.29,5.29	1,1,1,1,1,1,1,1,1,1	3,3,3,3,3,3,3,6,6,5	18.0,18.0,18.0,18.0,18.0,18.0,16.0,20.0,18.0,17.0	7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0	32.0,34.0,34.0,34.0,34.0,32.0,29.0,41.0,41.0,38.0	12.0,12.0,12.0,12.0,12.0,12.0,12.0,17.0,17.0,17.0	25.0,25.0,25.0,25.0,25.0,25.0,23.0,30.0,28.0,27.0	44.0,46.0,46.0,46.0,46.0,44.0,41.0,58.0,58.0,55.0	204.32967,213.61737,213.61737,213.61737,213.61737,204.32967,185.46603,284.59964,278.8266,261.51883	15.428572,15.428572,15.428572,15.428572,15.428572,15.428572,13.714286,17.0,15.3,14.450001	3152.515,3295.811,3295.811,3295.811,3295.811,3152.515,2543.5342,4838.194,4266.047,3778.9473	175.13971,183.10062,183.10062,183.10062,183.10062,175.13971,141.30745,268.78854,237.00261,209.94151	0.06810989,0.07120579,0.07120579,0.07120579,0.07120579,0.06810989,0.061822012,0.094866544,0.0929422,0.08717294	107.28234100341797,105.34435272216797,105.34435272216797,105.34435272216797,105.34435272216797,105.57550048828125,114.35456085205078,107.46741485595703,107.57398223876953,107.90721130371094	0,911,3560,3710,4031,4080,4202,4313,5040,5915	0,2,1,0,3,1,2,4,1,1	0,3,2,0,6,2,8,6,2,2	0,14,1,0,9,2,130,139,22,12	1926.json
2021	4,4,4,4	0.6935140490531921,0.5968657732009888,0.0682772770524025,0.005878111347556114	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.73,1.73,1.73,1.73	0,0,0,0	0,0,1,1	13.0,13.0,15.0,13.0	3.0,2.0,4.0,5.0	14.0,14.0,19.0,20.0	3.0,3.0,6.0,8.0	16.0,15.0,19.0,18.0	17.0,17.0,25.0,28.0	68.0,66.41714,106.19819,116.757904	6.5,9.75,11.25,10.400001	442.0,647.5671,1194.7296,1214.2822	24.555555,35.97595,66.37387,67.46012	0.022666667,0.022139046,0.035399396,0.0389193	126.37059020996094,126.4930648803711,124.05243682861328,123.55950164794922	0,92,171,192	0,2,1,1	0,4,2,2	0,6,32,3	3198.json
6425	6,6,6,5	0.6341538429260254,0.6341538429260254,0.6247633099555969,0.6028577089309692	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	2.0,2.0,2.0,1.96	0,0,0,0	1,1,1,1	15.0,15.0,15.0,15.0	4.0,4.0,4.0,4.0	23.0,23.0,23.0,23.0	7.0,7.0,7.0,7.0	19.0,19.0,19.0,19.0	30.0,30.0,30.0,30.0	127.43783,127.43783,127.43783,127.43783	13.125,13.125,13.125,13.125	1672.6215,1672.6215,1672.6215,1672.6215	92.923416,92.923416,92.923416,92.923416	0.042479277,0.042479277,0.042479277,0.042479277	116.53582763671875,116.53582763671875,116.53582763671875,119.48943328857422	0,4175,4496,4756	0,0,2,3	0,0,4,6	0,0,6,19	3663.json
2021	5,5,4,4,4,4	0.5262097120285034,0.5295419096946716,0.6646466255187988,0.6614390015602112,0.6614390015602112,0.6646466255187988	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.96,1.96,2.0,2.0,2.0,2.0	0,0,0,0,0,0	2,2,2,2,2,2	15.0,15.0,15.0,15.0,15.0,15.0	4.0,4.0,4.0,4.0,4.0,4.0	20.0,20.0,20.0,20.0,20.0,20.0	7.0,7.0,7.0,7.0,7.0,7.0	19.0,19.0,19.0,19.0,19.0,19.0	27.0,27.0,27.0,27.0,27.0,27.0	114.694046,114.694046,114.694046,114.694046,114.694046,114.694046	13.125,13.125,13.125,13.125,13.125,13.125	1505.3594,1505.3594,1505.3594,1505.3594,1505.3594,1505.3594	83.63107,83.63107,83.63107,83.63107,83.63107,83.63107	0.03823135,0.03823135,0.03823135,0.03823135,0.03823135,0.03823135	120.03731536865234,120.03731536865234,123.65223693847656,123.65223693847656,123.65223693847656,123.65223693847656	0,92,312,312,1323,1711	0,2,0,1,0,1	0,4,0,2,0,2	0,4,4,6,0,6	3421.json
6261	4,4,4,4	0.6337543725967407,0.6474235653877258,0.6474235653877258,0.6535592079162598	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.73,1.73,1.73,1.73	0,0,0,0	1,1,1,1	12.0,13.0,13.0,13.0	4.0,4.0,4.0,4.0	14.0,15.0,15.0,15.0	5.0,5.0,5.0,5.0	16.0,17.0,17.0,17.0	19.0,20.0,20.0,20.0	76.0,81.74926,81.74926,81.74926	7.5,8.125,8.125,8.125	570.0,664.2127,664.2127,664.2127	31.666666,36.900707,36.900707,36.900707	0.025333334,0.027249753,0.027249753,0.027249753	125.79222106933594,125.41301727294922,125.41301727294922,125.41301727294922	0,16,4012,4333	0,1,0,2	0,2,0,4	0,6,0,6	3796.json
1547	13,14,12,12	1.5904528845567256E-4,0.0,0.018170364201068878,0.015837978571653366	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	5.97,6.13,5.69,5.69	1,1,1,1	21,22,10,10	29.0,30.0,24.0,24.0	9.0,10.0,5.0,6.0	90.0,93.0,56.0,56.0	27.0,27.0,15.0,16.0	38.0,40.0,29.0,30.0	117.0,120.0,71.0,72.0	614.0075,638.63135,344.91666,353.2961	43.5,40.5,36.0,32.0	26709.326,25864.57,12417.0,11305.476	1483.8514,1436.9205,689.8333,628.082	0.20466916,0.21287711,0.11497222,0.11776537	95.6037826538086,94.19876861572266,99.89933776855469,99.77452087402344	0,19,65,538	0,2,1,1	0,3,4,2	0,45,216,4	3575.json
