Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
4670	8,8	0.7682087421417236,0.7682087421417236	1,1	1,1	2,2	2,2	3.66,3.66	2,2	1,1	0,1301	0,0	0,0	0,0	148.json
3179	3,3,3	0.6123688817024231,0.36493080854415894,0.3834671080112457	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	1,2,2	0,353,598	0,1,1	0,2,2	0,22,6	731.json
5376	3,3,3,3,3	0.008162091486155987,0.0037463095504790545,0.0037463095504790545,0.004386207554489374,0.004386207554489374	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	1,1,1,1,1	0,445,2007,2795,4719	0,1,0,1,2	0,2,0,2,4	0,12,0,12,4	183.json
2855	3	0.6016711592674255	0	0	0	1	1.89	0	0	0	0	0	0	415.json
3370	13,13,13,13,13,13,13	0.10397768020629883,0.10397768020629883,0.09986625611782074,0.08110352605581284,0.07813410460948944,0.06751104444265366,0.0676584243774414	4,4,4,4,4,4,4	4,4,4,4,4,4,4	8,8,8,8,8,8,8	5,5,5,5,5,5,5	4.26,4.26,4.26,4.26,4.26,4.26,4.26	2,2,2,2,2,2,2	6,6,6,6,6,6,6	0,1,2,526,533,789,2660	0,0,1,1,2,4,1	0,0,2,2,4,8,2	0,0,8,9,4,24,4	431.json
74	3	0.589587390422821	0	0	0	1	1.89	0	1	0	0	0	0	1044.json
4826	7,7,7,7	0.6262789964675903,0.6262789964675903,0.6262789964675903,0.7713825106620789	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	2.56,2.56,2.56,2.56	1,1,1,1	0,0,0,0	0,4,1457,2741	0,0,0,1	0,0,0,2	0,0,0,3	333.json
141	7	0.331640362739563	1	1	2	2	2.56	1	2	0	0	0	0	284.json
4826	3,3,3	0.9440113306045532,0.9440113306045532,0.9440113306045532	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	0,4,1457	0,0,0	0,0,0	0,0,0	220.json
3370	3,3	0.5802841782569885,0.5802841782569885	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,1	0,0	0,0	0,0	307.json
770	6,6	0.4734523296356201,0.1081332117319107	1,1	1,1	2,2	2,2	2.75,2.75	1,1	1,3	0,115	0,1	0,2	0,50	1182.json
4043	10,10,10,10	0.11724169552326202,0.09227699041366577,0.09227699041366577,0.09842098504304886	3,1,1,1	2,1,1,1	5,2,2,2	3,3,3,3	3.6,3.6,3.6,3.6	2,2,2,2	1,1,1,1	0,54,673,1462	0,2,0,2	0,4,0,4	0,32,0,18	530.json
4043	3,3,3,3	0.5742681622505188,0.5742681622505188,0.552673876285553,0.5914146304130554	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	2,2,2,2	0,673,1205,1462	0,0,1,1	0,0,2,2	0,0,2,12	526.json
516	5	0.7418348789215088	0	0	0	1	3.92	0	2	0	0	0	0	403.json
4280	2,2,2,2,2	0.922695517539978,0.922695517539978,0.922695517539978,0.922695517539978,0.99691241979599	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	0.0,0.0,0.0,0.0,1.89	0,0,0,0,0	0,0,0,0,0	0,911,919,920,4020	0,0,0,0,1	0,0,0,0,1	0,0,0,0,16	577.json
4820	6,6,6	0.23851315677165985,0.23851315677165985,0.23524422943592072	1,1,1	1,1,1	2,2,2	2,2,2	2.75,2.75,2.75	1,1,1	0,0,0	0,1451,2239	0,0,1	0,0,2	0,0,6	44.json
6379	5,5,5,5,5	0.568263053894043,0.568263053894043,0.5622670650482178,0.48879772424697876,0.48879772424697876	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.96,1.96,1.96,1.96,1.96	0,0,0,0,0	1,1,1,1,1	0,126,382,384,3010	0,0,1,1,0	0,0,2,2,0	0,0,1,5,0	250.json
