Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
652	6,6	0.7617570757865906,0.776620090007782	4,4	2,2	6,6	2,2	2.75,2.75	1,1	1,1	0,586	0,1	0,2	0,15	2184.json
4367	20,20,20,20,18,18,18	0.003029918298125267,0.0024712791200727224,0.0024712791200727224,0.0024712791200727224,0.007526224013417959,0.0075922152027487755,0.007582325953990221	6,6,6,6,6,6,6	6,6,6,6,6,6,6	12,12,12,12,12,12,12	5,5,5,5,5,5,5	3.95,3.95,3.95,3.95,3.71,3.71,3.71	2,2,2,2,2,2,2	6,6,6,6,6,6,6	0,313,583,606,929,1721,2909	0,2,0,0,3,1,1	0,4,0,0,6,2,2	0,6,0,0,48,6,1	148.json
3287	16,16,16,16,16,16	0.0,0.0,0.0,0.0,0.0,0.0	5,5,5,5,5,5	4,4,4,4,4,4	9,9,9,9,9,9	4,4,4,4,4,4	3.0,3.0,3.0,3.0,3.0,3.0	1,1,1,1,1,1	12,12,12,13,13,13	0,1,1,45,641,641	0,1,0,1,2,3	0,2,0,2,4,6	0,17,0,17,42,18	731.json
2101	12,12,19,19,19,19,19,19	0.007803134620189667,0.008184941485524178,0.003106243908405304,0.0045117964036762714,0.003106243908405304,3.7331233033910394E-4,4.822133923880756E-4,4.5331617002375424E-4	2,2,4,4,4,4,4,4	1,1,3,3,3,3,3,3	3,3,7,7,7,7,7,7	3,3,6,6,6,6,6,6	3.2,3.2,15.78,15.78,15.78,15.78,15.78,15.78	2,2,3,3,3,3,3,3	5,5,8,8,8,8,8,8	0,826,1006,1006,1006,1188,1496,2056	0,1,13,1,1,3,1,1	0,2,18,2,2,6,2,2	0,6,464,3,3,24,8,14	183.json
222	3	0.6822968125343323	1	1	2	2	1.89	0	1	0	0	0	0	1808.json
1876	5,5	0.2653660774230957,0.2568957805633545	1,1	1,1	2,2	2,2	1.96,1.96	0,0	3,3	0,567	0,1	0,2	0,2	1926.json
5363	3,3,3,12,12,12	0.002743627643212676,0.002743627643212676,0.002743627643212676,0.03218553215265274,0.030487312003970146,0.02938747964799404	0,0,0,5,5,5	1,1,1,3,3,3	1,1,1,8,8,8	2,2,2,4,4,4	1.89,1.89,1.89,3.32,3.32,3.32	0,0,0,2,2,2	0,0,0,0,0,0	0,1579,1602,2627,2717,2717	0,0,0,10,1,1	0,0,0,11,2,2	0,0,0,271,18,6	415.json
3948	1,1,1	0.14829197525978088,0.14829197525978088,0.14829197525978088	0,0,0	0,0,0	0,0,0	1,1,1	0.0,0.0,0.0	0,0,0	1,1,1	0,164,187	0,0,0	0,0,0	0,0,0	431.json
3759	3	0.9289069771766663	0	0	0	1	1.89	0	0	0	0	0	0	1490.json
923	3	0.9686225056648254	0	0	0	1	1.89	0	0	0	0	0	0	3018.json
