Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
476	6,6,7,6,6	0.308758407831192,0.308758407831192,0.180007204413414,0.5099543333053589,0.4445425570011139	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2,2,2,2,2	2.75,2.75,3.02,2.75,2.75	1,1,1,1,1	3,3,4,2,1	15.0,15.0,21.0,15.0,14.0	5.0,5.0,5.0,3.0,3.0	28.0,28.0,38.0,22.0,20.0	7.0,7.0,8.0,5.0,5.0	20.0,20.0,26.0,18.0,17.0	35.0,35.0,46.0,27.0,25.0	151.26749,151.26749,216.22023,112.58798,102.18657	10.5,10.5,16.800001,12.5,11.666666	1588.3086,1588.3086,3632.5,1407.3497,1192.1766	88.239365,88.239365,201.80556,78.1861,66.23203	0.050422497,0.050422497,0.07207341,0.037529327,0.034062188	115.41443634033203,115.41443634033203,111.05950927734375,116.9500732421875,117.45413208007812	0,99,104,122,126	0,0,2,1,2	0,0,3,3,4	0,0,86,92,27	731.json
203	3	0.8143367171287537	0	0	0	1	1.89	0	1	11.0	2.0	13.0	2.0	13.0	15.0	55.506596	5.5	305.2863	16.96035	0.018502198	132.086669921875	0	0	0	0	183.json
269	3,3,3	0.011498869396746159,2.8724223375320435E-4,3.211239818483591E-4	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	15.0,15.0,15.0	5.0,6.0,6.0	20.0,21.0,21.0	6.0,8.0,8.0	20.0,21.0,21.0	26.0,29.0,29.0	112.37013,127.377205,127.377205	9.0,10.0,10.0	1011.3312,1273.7721,1273.7721	56.185066,70.765114,70.765114	0.03745671,0.042459067,0.042459067	128.41912841796875,127.76728820800781,127.76728820800781	0,9,93	0,2,2	0,4,4	0,42,8	415.json
3511	4,4,4,8,11,12,14,14,14,14,14,14,11,11,3,3,3,3,3,3,3,3,3,3	0.2543320059776306,0.2543320059776306,0.25172632932662964,0.2962896525859833,0.04146362468600273,0.04311473295092583,0.02929030917584896,0.014038990251719952,0.009484187699854374,0.014038990251719952,0.021350787952542305,0.0210647601634264,0.12764284014701843,0.09878470748662949,0.002587471390143037,2.1333583572413772E-4,4.3637241469696164E-4,5.229881498962641E-4,5.916833761148155E-4,0.003017200855538249,0.0029999148100614548,0.0026509982999414206,0.0017674072878435254,0.8904519081115723	0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,2,3,3,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1	2.0,2.0,2.0,2.95,2.75,2.65,2.61,2.61,2.61,2.61,2.61,2.61,2.75,2.75,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0	3,3,3,5,8,8,9,9,9,9,9,9,6,6,3,3,3,3,3,3,3,3,3,1	18.0,18.0,18.0,28.0,33.0,37.0,39.0,41.0,42.0,41.0,40.0,40.0,35.0,34.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,16.0,11.0	5.0,5.0,5.0,8.0,9.0,10.0,11.0,13.0,14.0,13.0,12.0,12.0,11.0,13.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,2.0	26.0,26.0,26.0,51.0,74.0,80.0,90.0,94.0,96.0,94.0,92.0,92.0,69.0,66.0,26.0,27.0,27.0,27.0,27.0,25.0,25.0,25.0,24.0,13.0	7.0,7.0,7.0,14.0,18.0,20.0,22.0,24.0,25.0,24.0,23.0,23.0,19.0,21.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,2.0	23.0,23.0,23.0,36.0,42.0,47.0,50.0,54.0,56.0,54.0,52.0,52.0,46.0,47.0,24.0,25.0,25.0,25.0,25.0,23.0,23.0,23.0,21.0,13.0	33.0,33.0,33.0,65.0,92.0,100.0,112.0,118.0,121.0,118.0,115.0,115.0,88.0,87.0,33.0,35.0,35.0,35.0,35.0,32.0,32.0,32.0,30.0,15.0	149.27754,149.27754,149.27754,336.04514,496.0932,555.45886,632.1119,679.0767,702.68994,679.0767,655.5506,655.5506,486.07346,483.24924,151.30376,162.53496,162.53496,162.53496,162.53496,144.75398,144.75398,144.75398,131.76952,55.506596	12.599999,12.599999,12.599999,24.5,33.0,37.0,39.0,37.846153,37.5,37.846153,38.333332,38.333332,30.227274,27.461538,10.5,10.285715,10.285715,10.285715,10.285715,9.916666,9.916666,9.916666,9.6,5.5	1880.897,1880.897,1880.897,8233.105,16371.075,20551.979,24652.363,25700.441,26350.873,25700.441,25129.44,25129.44,14692.676,13270.768,1588.6895,1671.7883,1671.7883,1671.7883,1671.7883,1435.4769,1435.4769,1435.4769,1264.9874,305.2863	104.49428,104.49428,104.49428,457.39474,909.50415,1141.7766,1369.5757,1427.8022,1463.9374,1427.8022,1396.08,1396.08,816.25977,737.2649,88.26053,92.87713,92.87713,92.87713,92.87713,79.74872,79.74872,79.74872,70.27708,16.96035	0.04975918,0.04975918,0.04975918,0.112015046,0.1653644,0.18515295,0.21070395,0.2263589,0.23422998,0.2263589,0.21851687,0.21851687,0.16202448,0.16108307,0.050434586,0.05417832,0.05417832,0.05417832,0.05417832,0.048251327,0.048251327,0.048251327,0.043923173,0.018502198	122.28182983398438,122.28182983398438,122.28182983398438,106.6033706665039,99.18892669677734,97.19158172607422,93.79212951660156,93.4194564819336,93.24170684814453,93.4194564819336,93.60279846191406,93.60279846191406,99.29502868652344,99.32532501220703,126.87217712402344,126.49983978271484,126.49983978271484,126.49983978271484,126.49983978271484,127.102294921875,127.102294921875,127.102294921875,127.59099578857422,132.086669921875	0,26,26,216,285,292,381,406,406,407,410,440,483,511,518,572,573,1481,2218,2832,2838,3035,3225,3438	0,0,1,6,3,3,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1	0,0,2,7,3,5,2,2,2,2,2,2,3,2,11,2,2,2,2,2,2,2,4,2	0,0,8,260,154,75,90,34,12,12,19,12,152,9,423,3,7,6,13,17,7,13,38,65	1490.json
1293	3,3	0.48720782995224,0.48720782995224	0,0	0,0	0,0	1,1	1.89,1.89	0,0	2,2	12.0,12.0	3.0,3.0	17.0,17.0	4.0,4.0	15.0,15.0	21.0,21.0	82.0447,82.0447	8.0,8.0	656.3576,656.3576	36.46431,36.46431	0.027348233,0.027348233	130.05470275878906,130.05470275878906	0,620	0,0	0,0	0,0	1044.json
2795	4,4	0.722312867641449,0.722312867641449	0,0	0,0	0,0	1,1	2.0,2.0	0,0	2,2	13.0,13.0	3.0,3.0	18.0,18.0	4.0,4.0	16.0,16.0	22.0,22.0	88.0,88.0	8.666667,8.666667	762.6667,762.6667	42.370373,42.370373	0.029333333,0.029333333	125.02987670898438,125.02987670898438	0,2122	0,0	0,0	0,0	284.json
203	3	0.8401439189910889	0	0	0	1	1.89	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	0	220.json
300	3,3	0.5989262461662292,0.20432265102863312	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,3	10.0,12.0	2.0,3.0	13.0,19.0	2.0,3.0	12.0,15.0	15.0,22.0	53.77444,85.95159	5.0,6.0	268.8722,515.70953	14.937344,28.65053	0.017924814,0.02865053	132.25152587890625,129.81280517578125	0,5	0,2	0,4	0,24	307.json
349	3	0.16520652174949646	0	0	0	1	1.89	0	0	12.0	3.0	13.0	3.0	15.0	16.0	62.51025	6.0	375.0615	20.83675	0.02083675	131.46876525878906	0	0	0	0	1182.json
225	9	0.027247587218880653	0	0	0	1	3.33	0	10	25.0	10.0	46.0	11.0	35.0	57.0	292.36914	13.75	4020.0757	223.33754	0.09745638	105.6492691040039	0	0	0	0	530.json
