Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1651	4,4	0.13021220266819,0.13021220266819	0,0	0,0	0,0	1,1	1.66,1.66	0,0	2,2	17.0,17.0	5.0,5.0	25.0,25.0	8.0,8.0	22.0,22.0	33.0,33.0	147.16124,147.16124	13.6,13.6	2001.393,2001.393	111.1885,111.1885	0.049053747,0.049053747	122.3560791015625,122.3560791015625	0,1	0,0	0,0	0,0	2184.json
1075	19	0.0019066525856032968	4	4	8	5	1.17	1	5	27.0	12.0	102.0	29.0	39.0	131.0	692.3877	32.625	22589.148	1254.9526	0.2307959	88.14132690429688	0	0	0	0	148.json
693	3	0.6990116238594055	0	0	0	1	0.94	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	0	731.json
1368	15	0.007533790543675423	0	0	0	4	2.68	2	5	27.0	8.0	73.0	17.0	35.0	90.0	461.63547	28.6875	13243.167	735.7315	0.1538785	94.30875396728516	0	0	0	0	183.json
1586	3	0.5221419930458069	0	0	0	1	0.94	0	0	10.0	4.0	11.0	4.0	14.0	15.0	57.110325	5.0	285.55164	15.863979	0.019036775	131.9385528564453	0	0	0	0	1808.json
1071	24,23,23,23	0.0,0.0,0.0,0.0	4,4,4,4	4,4,4,4	8,8,8,8	5,5,5,5	11.03,9.69,9.69,9.69	1,1,1,1	13,13,13,13	43.0,44.0,44.0,44.0	24.0,23.0,23.0,21.0	201.0,212.0,212.0,216.0	67.0,60.0,60.0,56.0	67.0,67.0,67.0,65.0	268.0,272.0,272.0,272.0	1625.7119,1649.9762,1649.9762,1638.0841	60.020836,57.391308,57.391308,58.666668	97576.586,94694.29,94694.29,96100.94	5420.9214,5260.794,5260.794,5338.941	0.541904,0.5499921,0.5499921,0.546028	79.91828155517578,80.53070831298828,80.53070831298828,80.56832122802734	0,0,1,1	0,5,0,4	0,11,0,8	0,129,0,70	1926.json
1520	3	1.5329157758969814E-4	0	0	0	1	0.94	0	1	15.0	6.0	27.0	11.0	21.0	38.0	166.90805	13.75	2294.9856	127.4992	0.05563602	126.36177825927734	0	0	0	0	1490.json
1815	8,8,8,8,8,8,8	0.0,0.0,0.0,0.0,0.0,0.0,0.0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2,2,2,2,2,2,2	2.4,2.4,2.4,2.4,2.4,2.4,2.4	1,1,1,1,1,1,1	8,8,8,8,8,8,8	27.0,29.0,27.0,27.0,27.0,27.0,27.0	9.0,9.0,9.0,9.0,9.0,9.0,9.0	61.0,61.0,65.0,65.0,61.0,61.0,65.0	17.0,17.0,18.0,18.0,17.0,17.0,18.0	36.0,38.0,36.0,36.0,36.0,36.0,36.0	78.0,78.0,83.0,83.0,78.0,78.0,83.0	403.25418,409.33835,429.1038,429.1038,403.25418,403.25418,429.1038	25.5,27.388887,27.0,27.0,25.5,25.5,27.0	10282.981,11211.322,11585.803,11585.803,10282.981,10282.981,11585.803	571.27673,622.85126,643.6557,643.6557,571.27673,571.27673,643.6557	0.13441806,0.13644612,0.14303459,0.14303459,0.13441806,0.13441806,0.14303459	105.6552963256836,105.57743072509766,105.33221435546875,105.33221435546875,105.6552963256836,105.6552963256836,105.33221435546875	0,0,2,3,11,42,117	0,3,3,2,1,2,0	0,6,6,4,2,4,0	0,21,31,24,29,16,29	1044.json
1868	3,3,3,3,3,3,4,4	0.9689236879348755,0.1980045586824417,0.20714353024959564,0.0813448578119278,0.0813448578119278,0.06628940254449844,0.025845125317573547,0.025855358690023422	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	1.0,0.94,0.94,0.94,0.94,0.94,2.45,2.45	0,0,0,0,0,0,0,0	0,0,0,2,2,2,2,2	13.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0	4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0	14.0,19.0,19.0,20.0,20.0,20.0,22.0,22.0	4.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0	17.0,18.0,18.0,17.0,17.0,17.0,20.0,20.0	18.0,24.0,24.0,25.0,25.0,25.0,29.0,29.0	73.57433,100.0782,100.0782,102.18657,102.18657,102.18657,125.335915,125.335915	6.5,12.5,12.5,11.666666,11.666666,11.666666,10.5,10.5	478.23315,1250.9775,1250.9775,1192.1766,1192.1766,1192.1766,1316.0271,1316.0271	26.568508,69.49875,69.49875,66.23203,66.23203,66.23203,73.11262,73.11262	0.024524778,0.0333594,0.0333594,0.034062188,0.034062188,0.034062188,0.04177864,0.04177864	130.621337890625,129.0215301513672,129.0215301513672,128.91311645507812,128.91311645507812,128.91311645507812,123.19084167480469,123.19084167480469	0,2,8,8,78,95,145,170	0,1,1,1,0,2,2,0	0,3,2,2,0,4,3,0	0,44,16,48,0,24,51,1	333.json
1597	4,3,3	0.0133760254830122,7.727647316642106E-4,7.822740590199828E-4	0,0,0	0,0,0	0,0,0	1,1,1	1.0,0.94,0.94	0,0,0	2,3,3	12.0,13.0,13.0	8.0,7.0,7.0	19.0,21.0,21.0	10.0,9.0,9.0	20.0,20.0,20.0	29.0,30.0,30.0	125.335915,129.65784,129.65784	7.5,8.357142,8.357142	940.01935,1083.569,1083.569	52.223297,60.198277,60.198277	0.04177864,0.04321928,0.04321928	123.19084167480469,127.67500305175781,127.67500305175781	0,208,208	0,1,1	0,3,2	0,24,4	2605.json
1991	4,4,5,11,11,11,11,12,12,12,12,12,12,12	0.0,1.1825704132206738E-4,7.276406977325678E-4,0.0446118526160717,0.0446118526160717,0.04197988659143448,0.03298246115446091,0.10595936328172684,0.10595936328172684,0.09089542925357819,0.11127222329378128,0.11887634545564651,0.1551520675420761,0.13215544819831848	0,0,0,1,1,1,1,1,1,1,1,0,0,0	0,0,0,1,1,1,1,1,1,1,1,0,0,0	0,0,0,2,2,2,2,2,2,2,2,0,0,0	1,1,1,3,3,3,3,4,4,4,4,3,3,3	1.66,1.66,1.5,1.43,1.43,1.43,1.43,1.37,1.37,1.37,1.37,1.37,1.37,1.37	0,0,0,1,1,1,1,1,1,1,1,1,1,1	1,1,1,3,3,3,3,5,5,6,6,5,5,6	17.0,17.0,18.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,24.0,24.0,26.0	9.0,8.0,9.0,9.0,9.0,9.0,10.0,12.0,12.0,13.0,12.0,13.0,12.0,12.0	27.0,26.0,28.0,47.0,47.0,47.0,48.0,55.0,55.0,58.0,57.0,52.0,51.0,54.0	10.0,9.0,10.0,15.0,15.0,15.0,16.0,20.0,20.0,21.0,20.0,19.0,18.0,18.0	26.0,25.0,27.0,37.0,37.0,37.0,38.0,40.0,40.0,41.0,41.0,37.0,36.0,38.0	37.0,35.0,38.0,62.0,62.0,62.0,64.0,75.0,75.0,79.0,77.0,71.0,69.0,72.0	173.91628,162.53496,180.68573,322.9861,322.9861,322.9861,335.86737,399.1446,399.1446,423.2466,412.5315,369.87122,356.72485,377.8508	9.444445,9.5625,10.0,23.333332,23.333332,23.333332,22.4,23.333332,23.333332,22.615383,24.166666,17.538462,18.0,19.5	1642.5426,1554.2405,1806.8573,7536.3423,7536.3423,7536.3423,7523.429,9313.373,9313.373,9571.885,9969.511,6486.972,6421.0474,7368.091	91.252365,86.346695,100.38096,418.68567,418.68567,418.68567,417.9683,517.4096,517.4096,531.77136,553.8617,360.38733,356.72485,409.33838	0.057972092,0.05417832,0.060228575,0.10766204,0.10766204,0.10766204,0.11195579,0.13304819,0.13304819,0.1410822,0.1375105,0.123290405,0.118908286,0.12595026	121.4874496459961,121.83938598632812,117.67395782470703,101.42052459716797,101.42052459716797,101.42052459716797,101.21717071533203,98.6800308227539,98.6800308227539,98.3751449584961,98.50848388671875,99.30610656738281,99.49429321289062,99.19511413574219	0,0,0,1,1,7,35,120,218,269,294,405,407,424	0,4,2,9,0,1,1,4,0,1,0,12,1,4	0,8,3,12,0,2,2,7,0,2,0,24,2,8	0,34,22,200,0,4,10,160,0,38,14,125,43,59	2311.json
1520	22	0.0	0	0	0	3	3.16	3	10	45.0	18.0	163.0	29.0	63.0	192.0	1147.6378	36.25	41601.87	2311.215	0.38254595	83.59871673583984	0	0	0	0	2326.json
1990	3,3	0.3544738292694092,0.3544738292694092	0,0	0,0	0,0	1,1	0.94,0.94	0,0	2,2	12.0,12.0	4.0,4.0	17.0,17.0	4.0,4.0	16.0,16.0	21.0,21.0	84.0,84.0	6.0,6.0	504.0,504.0	28.0,28.0	0.028,0.028	129.93223571777344,129.93223571777344	0,293	0,0	0,0	0,0	1947.json
995	3	0.3875032663345337	0	0	0	1	0.94	0	0	15.0	2.0	16.0	4.0	17.0	20.0	81.74926	15.0	1226.2389	68.12438	0.027249753	130.07347106933594	0	0	0	0	1182.json
1281	4,5,3	0.0,0.0,8.01710004452616E-4	0,0,0	0,0,0	0,0,0	1,1,1	2.45,2.19,0.94	0,0,0	3,6,2	19.0,22.0,15.0	10.0,11.0,7.0	32.0,43.0,21.0	13.0,16.0,9.0	29.0,33.0,22.0	45.0,59.0,30.0	218.60916,297.61923,133.78294	12.349999,16.0,9.642857	2699.823,4761.9077,1290.0497	149.99017,264.5504,71.669426	0.07286972,0.09920641,0.044594314	120.29814910888672,115.07886505126953,127.51214599609375	0,131,244	0,1,1	0,1,4	0,79,163	2483.json
1581	4	0.3191867172718048	0	0	0	1	1.0	0	1	15.0	4.0	24.0	6.0	19.0	30.0	127.43783	11.25	1433.6755	79.64864	0.042479277	123.10436248779297	0	0	0	0	530.json
1790	5,5,6,5	0.0,0.0,0.0,0.0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	4.66,4.66,2.21,2.33	0,0,0,0	1,1,1,1	14.0,14.0,14.0,14.0	10.0,10.0,10.0,10.0	34.0,34.0,34.0,34.0	19.0,19.0,19.0,19.0	24.0,24.0,24.0,24.0	53.0,53.0,53.0,53.0	243.003,243.003,243.003,243.003	13.3,13.3,13.3,13.3	3231.94,3231.94,3231.94,3231.94	179.55222,179.55222,179.55222,179.55222	0.081001,0.081001,0.081001,0.081001	116.13312530517578,116.13312530517578,113.17951202392578,116.13312530517578	0,3,4,92	0,0,6,0	0,0,11,0	0,0,41,30	2039.json
