Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1651	4,4	0.13021220266819,0.13021220266819	0,0	0,0	0,0	1,1	1.66,1.66	0,0	2,2	0,1	0,0	0,0	0,0	2184.json
1075	19	0.0019066525856032968	4	4	8	5	1.17	1	5	0	0	0	0	148.json
693	3	0.6990116238594055	0	0	0	1	0.94	0	0	0	0	0	0	731.json
1368	15	0.007533790543675423	0	0	0	4	2.68	2	5	0	0	0	0	183.json
1586	3	0.5221419930458069	0	0	0	1	0.94	0	0	0	0	0	0	1808.json
1071	24,23,23,23	0.0,0.0,0.0,0.0	4,4,4,4	4,4,4,4	8,8,8,8	5,5,5,5	11.03,9.69,9.69,9.69	1,1,1,1	13,13,13,13	0,0,1,1	0,5,0,4	0,11,0,8	0,129,0,70	1926.json
1520	3	1.5329157758969814E-4	0	0	0	1	0.94	0	1	0	0	0	0	1490.json
1815	8,8,8,8,8,8,8	0.0,0.0,0.0,0.0,0.0,0.0,0.0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	2,2,2,2,2,2,2	2.4,2.4,2.4,2.4,2.4,2.4,2.4	1,1,1,1,1,1,1	8,8,8,8,8,8,8	0,0,2,3,11,42,117	0,3,3,2,1,2,0	0,6,6,4,2,4,0	0,21,31,24,29,16,29	1044.json
1868	3,3,3,3,3,3,4,4	0.9689236879348755,0.1980045586824417,0.20714353024959564,0.0813448578119278,0.0813448578119278,0.06628940254449844,0.025845125317573547,0.025855358690023422	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	1.0,0.94,0.94,0.94,0.94,0.94,2.45,2.45	0,0,0,0,0,0,0,0	0,0,0,2,2,2,2,2	0,2,8,8,78,95,145,170	0,1,1,1,0,2,2,0	0,3,2,2,0,4,3,0	0,44,16,48,0,24,51,1	333.json
1597	4,3,3	0.0133760254830122,7.727647316642106E-4,7.822740590199828E-4	0,0,0	0,0,0	0,0,0	1,1,1	1.0,0.94,0.94	0,0,0	2,3,3	0,208,208	0,1,1	0,3,2	0,24,4	2605.json
1991	4,4,5,11,11,11,11,12,12,12,12,12,12,12	0.0,1.1825704132206738E-4,7.276406977325678E-4,0.0446118526160717,0.0446118526160717,0.04197988659143448,0.03298246115446091,0.10595936328172684,0.10595936328172684,0.09089542925357819,0.11127222329378128,0.11887634545564651,0.1551520675420761,0.13215544819831848	0,0,0,1,1,1,1,1,1,1,1,0,0,0	0,0,0,1,1,1,1,1,1,1,1,0,0,0	0,0,0,2,2,2,2,2,2,2,2,0,0,0	1,1,1,3,3,3,3,4,4,4,4,3,3,3	1.66,1.66,1.5,1.43,1.43,1.43,1.43,1.37,1.37,1.37,1.37,1.37,1.37,1.37	0,0,0,1,1,1,1,1,1,1,1,1,1,1	1,1,1,3,3,3,3,5,5,6,6,5,5,6	0,0,0,1,1,7,35,120,218,269,294,405,407,424	0,4,2,9,0,1,1,4,0,1,0,12,1,4	0,8,3,12,0,2,2,7,0,2,0,24,2,8	0,34,22,200,0,4,10,160,0,38,14,125,43,59	2311.json
1520	22	0.0	0	0	0	3	3.16	3	10	0	0	0	0	2326.json
1990	3,3	0.3544738292694092,0.3544738292694092	0,0	0,0	0,0	1,1	0.94,0.94	0,0	2,2	0,293	0,0	0,0	0,0	1947.json
1780	3,3,3,3	0.0,0.0,0.0,0.0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0.94,0.94,0.94,0.94	0,0,0,0	4,4,4,4	0,48,55,82	0,1,1,0	0,2,2,0	0,14,12,0	2063.json
995	3	0.3875032663345337	0	0	0	1	0.94	0	0	0	0	0	0	1182.json
1281	4,5,3	0.0,0.0,8.01710004452616E-4	0,0,0	0,0,0	0,0,0	1,1,1	2.45,2.19,0.94	0,0,0	3,6,2	0,131,244	0,1,1	0,1,4	0,79,163	2483.json
1581	4	0.3191867172718048	0	0	0	1	1.0	0	1	0	0	0	0	530.json
1790	5,5,6,5	0.0,0.0,0.0,0.0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	4.66,4.66,2.21,2.33	0,0,0,0	1,1,1,1	0,3,4,92	0,0,6,0	0,0,11,0	0,0,41,30	2039.json
1591	4,4,4	0.5930111408233643,0.5930111408233643,0.5930111408233643	0,0,0	0,0,0	0,0,0	1,1,1	1.0,1.0,1.0	0,0,0	2,2,2	0,1,1	0,0,0	0,0,0	0,0,0	526.json
924	3	0.12429381906986237	0	0	0	1	0.94	0	0	0	0	0	0	2736.json
1776	3,3	0.0,0.0	0,0	0,0	0,0	1,1	0.94,0.94	0,0	1,1	0,78	0,0	0,0	0,6	1737.json
1280	5	0.0388149619102478	0	0	0	1	0.98	0	1	0	0	0	0	1765.json
1578	3	0.7757787704467773	0	0	0	1	0.94	0	1	0	0	0	0	2569.json
1373	3	0.4851021468639374	0	0	0	1	0.94	0	0	0	0	0	0	2786.json
1110	3	0.03816257044672966	0	0	0	1	3.77	0	0	0	0	0	0	577.json
1643	3,3	0.05578306317329407,0.11067759245634079	0,0	0,0	0,0	1,1	0.94,0.94	0,0	1,0	0,275	0,1	0,2	0,20	44.json
1832	3,3,3,3	0.44366031885147095,0.44366031885147095,0.44366031885147095,0.6654404997825623	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0.94,0.94,0.94,0.94	0,0,0,0	1,1,1,0	0,57,134,215	0,0,0,1	0,0,0,2	0,0,0,30	1285.json
1075	3	0.9409566521644592	0	0	0	1	0.94	0	0	0	0	0	0	250.json
1380	10,9	0.8862597346305847,0.7247381210327148	0,0	0,0	0,0	1,1	3.69,3.92	1,1	2,2	0,1	0,2	0,7	0,22	927.json
476	3	0.0	0	0	0	1	0.94	0	2	0	0	0	0	1370.json
1623	7,4,4	0.15465198457241058,0.014759181067347527,0.004158989060670137	1,2,3	1,1,2	2,3,5	2,2,2	1.28,1.0,1.0	0,0,0	3,5,7	0,5,8	0,2,1	0,7,2	0,74,46	2271.json
1648	7	3.6754098255187273E-4	0	0	0	1	2.1	0	2	0	0	0	0	1937.json
1075	3	0.5298125743865967	0	0	0	1	0.94	0	0	0	0	0	0	225.json
1863	3,3,3	0.9747529625892639,0.9668755531311035,0.9669448733329773	0,0,0	0,0,0	0,0,0	1,1,1	0.94,0.94,0.94	0,0,0	0,0,0	0,7,165	0,1,0	0,2,0	0,5,4	1457.json
1649	4	0.05917994678020477	0	0	0	1	1.66	0	1	0	0	0	0	1538.json
1809	3,3,3	0.8915667533874512,0.8975938558578491,0.8975938558578491	0,0,0	0,0,0	0,0,0	1,1,1	0.94,0.94,0.94	0,0,0	0,0,0	0,32,111	0,1,0	0,2,0	0,5,0	1684.json
1649	4,4	0.4611567258834839,0.20886920392513275	0,0	0,0	0,0	1,1	1.66,1.66	0,0	1,1	0,53	0,1	0,2	0,29	1603.json
1413	12,13,13	0.021062012761831284,0.013772712089121342,0.029867077246308327	2,4,4	3,4,4	5,8,8	4,4,4	7.23,7.04,7.04	3,3,3	13,14,14	0,97,97	0,3,1	0,5,2	0,112,9	1975.json
1413	3	0.688104510307312	0	0	0	1	3.77	0	1	0	0	0	0	1982.json
1520	6	0.0	0	0	0	1	2.21	0	0	0	0	0	0	355.json
1685	23,23,28,28,22,22,22,22,22	2.973229275085032E-4,1.3898740871809423E-4,2.7835226501338184E-4,3.919254522770643E-4,0.002588609466329217,0.0025799148716032505,0.0022748687770217657,0.0025799148716032505,0.0022748687770217657	4,4,5,5,4,4,4,4,4	4,4,5,5,4,4,4,4,4	8,8,10,10,8,8,8,8,8	4,4,5,5,4,4,4,4,4	3.99,1.69,1.57,1.57,1.27,1.27,1.27,1.27,1.27	1,1,1,1,1,1,1,1,1	15,18,21,21,16,16,16,16,16	0,31,42,44,45,275,417,418,418	0,3,10,3,9,1,1,1,1	0,6,12,6,24,2,2,2,2	0,201,217,15,332,10,9,9,9	47.json
1947	3,3	0.9345443248748779,0.9345443248748779	0,0	0,0	0,0	1,1	0.94,0.94	0,0	0,0	0,249	0,0	0,0	0,0	2714.json
1315	3	0.2224208116531372	0	0	0	1	0.94	0	0	0	0	0	0	1907.json
1685	31,26,30,10	0.0,0.0,0.0,0.09870399534702301	1,2,2,1	12,13,15,1	13,15,17,2	9,10,12,2	2.09,1.15,1.52,4.36	8,9,11,1	9,11,13,2	0,17,313,332	0,10,7,6	0,25,14,32	0,226,232,906	70.json
1649	3	0.5939902663230896	0	0	0	1	0.94	0	1	0	0	0	0	1595.json
1520	3	0.8924760818481445	0	0	0	1	0.94	0	1	0	0	0	0	1701.json
1110	3	0.06613538414239883	0	0	0	1	3.77	0	0	0	0	0	0	578.json
1410	22,22	0.058765895664691925,0.05875754728913307	1,1	1,1	2,2	4,4	1.09,1.09	1,1	6,6	0,52	0,1	0,2	0,6	115.json
1784	3,3,3	0.36977726221084595,0.35724472999572754,0.35724472999572754	0,0,0	0,0,0	0,0,0	1,1,1	0.94,0.94,0.94	0,0,0	2,2,2	0,52,86	0,2,0	0,4,0	0,19,0	1134.json
1790	7,7,6,6	0.0,0.0,0.0,0.0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	4.2,4.2,2.21,2.21	0,0,0,0	1,1,1,1	0,3,4,92	0,0,6,0	0,0,13,0	0,0,52,36	2044.json
1649	4	0.1870705783367157	0	0	0	1	1.66	0	1	0	0	0	0	1601.json
1584	5	0.0	0	0	0	1	2.19	0	4	0	0	0	0	1385.json
1640	4	3.1795172253623605E-4	0	0	0	1	1.0	0	1	0	0	0	0	1366.json
