Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
467	4,4	0.754005491733551,0.5926798582077026	1,0	1,0	2,0	2,1	4.0,9.8	0,0	2,2	17.0,13.0	5.0,3.0	22.0,18.0	7.0,3.0	22.0,16.0	29.0,21.0	129.32352,84.0	11.9,6.5	1538.9498,546.0	85.497215,30.333334	0.043107837,0.028	122.79798126220703,125.27178192138672	0,47	0,2	0,4	0,65	4925.json
434	3	0.46105170249938965	0	0	0	1	3.77	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	0	6491.json
663	11,3	0.382763147354126,0.6574519276618958	3,0	3,0	6,0	3,1	5.34,3.77	2,0	0,0	15.0,11.0	9.0,4.0	34.0,13.0	14.0,4.0	24.0,15.0	48.0,17.0	220.07819,66.41714	11.666667,5.5	2567.5789,365.29425	142.64326,20.294125	0.07335939,0.022139046	103.4153823852539,131.1535186767578	0,0	0,1	0,10	0,206	2184.json
420	3,3	0.20531827211380005,0.20531827211380005	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	11.0,11.0	1.0,1.0	14.0,14.0	1.0,1.0	12.0,12.0	15.0,15.0	53.77444,53.77444	5.5,5.5	295.75943,295.75943	16.43108,16.43108	0.017924814,0.017924814	132.25152587890625,132.25152587890625	0,6	0,0	0,0	0,0	4913.json
1050	6	0.05271218344569206	1	1	2	2	6.53	1	2	21.0	6.0	33.0	12.0	27.0	45.0	213.96994	21.0	4493.3687	249.63159	0.07132331	113.61115264892578	0	0	0	0	148.json
503	3,3	0.804056704044342,0.7295476198196411	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	11.0,11.0	1.0,1.0	15.0,15.0	1.0,1.0	12.0,12.0	16.0,16.0	57.3594,57.3594	5.5,5.5	315.4767,315.4767	17.526484,17.526484	0.019119801,0.019119801	131.91592407226562,131.91592407226562	0,13	0,2	0,4	0,6	5081.json
867	8,8,8	0.2847696542739868,0.3088313639163971,0.3088313639163971	1,1,1	1,1,1	2,2,2	2,2,2	5.66,5.66,5.66	1,1,1	1,1,1	14.0,14.0,14.0	4.0,4.0,4.0	22.0,22.0,22.0	5.0,5.0,5.0	18.0,18.0,18.0	27.0,27.0,27.0	112.58798,112.58798,112.58798	8.75,8.75,8.75	985.14484,985.14484,985.14484	54.73027,54.73027,54.73027	0.037529327,0.037529327,0.037529327	112.28962707519531,112.28962707519531,112.28962707519531	0,265,426	0,1,0	0,2,0	0,13,0	4428.json
1758	10,10	0.1195182055234909,0.2907741665840149	2,2	2,2	4,4	2,2	9.5,9.5	1,1	6,6	23.0,24.0	5.0,5.0	52.0,54.0	11.0,11.0	28.0,29.0	63.0,65.0	302.86337,315.76877	25.300001,26.400002	7662.444,8336.296	425.6913,463.12756	0.10095446,0.10525626	103.529052734375,103.31206512451172	0,0	0,3	0,5	0,22	3721.json
2825	3,3,3,3	0.32000264525413513,0.32000264525413513,0.32000264525413513,0.32000264525413513	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	1,1,1,1	10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0	13.0,13.0,13.0,13.0	2.0,2.0,2.0,2.0	12.0,12.0,12.0,12.0	15.0,15.0,15.0,15.0	53.77444,53.77444,53.77444,53.77444	5.0,5.0,5.0,5.0	268.8722,268.8722,268.8722,268.8722	14.937344,14.937344,14.937344,14.937344	0.017924814,0.017924814,0.017924814,0.017924814	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625	0,333,907,1501	0,0,0,0	0,0,0,0	0,0,0,0	731.json
581	12,11	0.08870678395032883,0.13610251247882843	2,2	2,2	4,4	3,3	5.5,5.34	2,2	4,3	23.0,22.0	7.0,6.0	52.0,46.0	17.0,15.0	30.0,28.0	69.0,61.0	338.57544,293.24866	27.928572,27.5	9455.929,8064.338	525.32935,448.01877	0.11285848,0.09774955	99.76583099365234,101.92279052734375	0,0	0,1	0,3	0,56	183.json
2896	3,3,3,3,3	0.3147115409374237,0.3147115409374237,0.3147115409374237,0.3147115409374237,0.22125375270843506	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	1,1,1,1,1	11.0,11.0,11.0,11.0,11.0	2.0,2.0,2.0,2.0,2.0	13.0,13.0,13.0,13.0,13.0	2.0,2.0,2.0,2.0,2.0	13.0,13.0,13.0,13.0,13.0	15.0,15.0,15.0,15.0,15.0	55.506596,55.506596,55.506596,55.506596,55.506596	5.5,5.5,5.5,5.5,5.5	305.2863,305.2863,305.2863,305.2863,305.2863	16.96035,16.96035,16.96035,16.96035,16.96035	0.018502198,0.018502198,0.018502198,0.018502198,0.018502198	132.086669921875,132.086669921875,132.086669921875,132.086669921875,132.086669921875	0,319,404,978,2485	0,0,0,0,1	0,0,0,0,2	0,0,0,0,8	1808.json
