Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
467	4,4	0.754005491733551,0.5926798582077026	1,0	1,0	2,0	2,1	4.0,9.8	0,0	2,2	0,47	0,2	0,4	0,65	4925.json
434	3	0.46105170249938965	0	0	0	1	3.77	0	0	0	0	0	0	6491.json
663	11,3	0.382763147354126,0.6574519276618958	3,0	3,0	6,0	3,1	5.34,3.77	2,0	0,0	0,0	0,1	0,10	0,206	2184.json
420	3,3	0.20531827211380005,0.20531827211380005	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,6	0,0	0,0	0,0	4913.json
1050	6	0.05271218344569206	1	1	2	2	6.53	1	2	0	0	0	0	148.json
503	3,3	0.804056704044342,0.7295476198196411	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,13	0,2	0,4	0,6	5081.json
867	8,8,8	0.2847696542739868,0.3088313639163971,0.3088313639163971	1,1,1	1,1,1	2,2,2	2,2,2	5.66,5.66,5.66	1,1,1	1,1,1	0,265,426	0,1,0	0,2,0	0,13,0	4428.json
1758	10,10	0.1195182055234909,0.2907741665840149	2,2	2,2	4,4	2,2	9.5,9.5	1,1	6,6	0,0	0,3	0,5	0,22	3721.json
2825	3,3,3,3	0.32000264525413513,0.32000264525413513,0.32000264525413513,0.32000264525413513	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	1,1,1,1	0,333,907,1501	0,0,0,0	0,0,0,0	0,0,0,0	731.json
581	12,11	0.08870678395032883,0.13610251247882843	2,2	2,2	4,4	3,3	5.5,5.34	2,2	4,3	0,0	0,1	0,3	0,56	183.json
2896	3,3,3,3,3	0.3147115409374237,0.3147115409374237,0.3147115409374237,0.3147115409374237,0.22125375270843506	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	1,1,1,1,1	0,319,404,978,2485	0,0,0,0,1	0,0,0,0,2	0,0,0,0,8	1808.json
889	10,10,10,13,13,13,14,14,14	0.030643640086054802,0.030643640086054802,0.031596239656209946,0.0010900370543822646,0.0010900370543822646,0.0010900370543822646,3.102340560872108E-4,3.102340560872108E-4,0.0012665800750255585	2,2,2,4,4,4,4,4,4	2,2,2,4,4,4,4,4,4	4,4,4,8,8,8,8,8,8	3,3,3,5,5,5,5,5,5	3.2,3.2,3.2,10.22,10.22,10.22,9.9,9.9,9.9	0,0,0,1,1,1,1,1,1	9,9,9,16,16,16,18,18,19	0,0,9,9,9,9,11,94,202	0,0,1,10,0,0,1,0,4	0,0,2,18,0,0,1,0,6	0,0,7,201,0,0,53,0,48	5782.json
3542	3,3,3,3,3,3	0.778516411781311,0.778516411781311,0.778516411781311,0.778516411781311,0.778516411781311,0.778516411781311	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0	1,1,1,1,1,1	0,134,489,843,1050,1624	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1926.json
3996	8,8,8,8,8,8,8,8,8,9	0.2295592725276947,0.2388186752796173,0.2388186752796173,0.2388186752796173,0.4275566637516022,0.4275566637516022,0.5547166466712952,0.5547166466712952,0.5547166466712952,0.6317301392555237	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,2	5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.33	1,1,1,1,1,1,1,1,1,1	4,4,4,4,2,2,2,2,2,2	0,472,588,943,1296,1296,1397,1503,2078,3339	0,1,0,0,1,0,1,0,0,1	0,2,0,0,2,0,2,0,0,1	0,26,0,0,60,0,29,0,0,17	6513.json
581	3,3,3,3,3,3,3	0.2190910130739212,0.18949124217033386,0.0964205265045166,0.06402211636304855,0.048655882477760315,0.025718221440911293,0.025718221440911293	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,33,57,167	0,1,2,1,1,1,0	0,2,4,2,2,2,0	0,4,33,9,6,47,0	5586.json
3355	6,6,6,7,7,7,7,7	0.25214436650276184,0.24796554446220398,0.24796554446220398,0.21896424889564514,0.21896424889564514,0.21896424889564514,0.206071138381958,0.206071138381958	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2	5.5,5.5,5.5,5.11,5.11,5.11,5.11,5.11	0,0,0,1,1,1,1,1	0,0,0,0,0,0,0,0	0,112,302,459,862,1437,1712,1804	0,1,0,2,0,0,1,0	0,2,0,3,0,0,2,0	0,20,0,6,0,0,12,0	6428.json
2540	3,3,3,3,3,3	0.130769282579422,0.130769282579422,0.130769282579422,0.130769282579422,0.130769282579422,0.1443323791027069	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0	2,2,2,2,2,2	0,1,16,48,622,863	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,2	6262.json
2896	3,3,3,3,3,3,3	0.6342824101448059,0.6524443626403809,0.6524443626403809,0.6524443626403809,0.6703686714172363,0.7025299072265625,0.7025299072265625	0,0,0,0,0,0,0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0	1,1,1,1,1,1,1	0,1,404,978,1345,2485,2582	0,1,0,0,3,1,0	0,2,0,0,6,2,0	0,6,0,0,3,6,0	3663.json
602	3,3	0.8064045310020447,0.8064045310020447	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,0	0,0	0,0	0,0	415.json
