Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
946	3	0.35490167140960693	0	0	0	1	1.89	0	1	15.0	2.0	17.0	3.0	17.0	20.0	81.74926	11.25	919.6792	51.09329	0.027249753	130.07347106933594	0	0	0	0	4281.json
1727	3,3,3,3,3,3,3,3,3,3,3,3	0.6709058284759521,0.6709058284759521,0.6709058284759521,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.856850802898407,0.856850802898407,0.787403404712677,0.787403404712677	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0	14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0	1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0	12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0	15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0	53.77444,53.77444,53.77444,53.77444,53.77444,53.77444,53.77444,53.77444,64.72504,64.72504,64.72504,64.72504	5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0	295.75943,295.75943,295.75943,295.75943,295.75943,295.75943,295.75943,295.75943,388.35022,388.35022,388.35022,388.35022	16.43108,16.43108,16.43108,16.43108,16.43108,16.43108,16.43108,16.43108,21.575012,21.575012,21.575012,21.575012	0.017924814,0.017924814,0.017924814,0.017924814,0.017924814,0.017924814,0.017924814,0.017924814,0.021575011,0.021575011,0.021575011,0.021575011	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,131.28770446777344,131.28770446777344,131.28770446777344,131.28770446777344	0,19,87,88,90,90,103,112,438,444,788,892	0,0,0,1,0,0,0,0,1,0,1,0	0,0,0,2,0,0,0,0,2,0,2,0	0,0,0,9,0,0,0,0,28,0,8,0	6491.json
951	3	0.22849605977535248	0	0	0	1	1.89	0	1	12.0	5.0	16.0	7.0	17.0	23.0	94.01165	8.4	789.6978	43.8721	0.031337216	129.34671020507812	0	0	0	0	2184.json
1145	3,3	0.896574854850769,0.9495536088943481	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	11.0,11.0	2.0,2.0	12.0,12.0	2.0,2.0	13.0,13.0	14.0,14.0	51.806156,51.806156	5.5,5.5	284.93387,284.93387	15.829659,15.829659	0.01726872,0.01726872	132.4454345703125,132.4454345703125	0,0	0,1	0,2	0,12	148.json
1223	4,4,4,4,4,4	1.8225598614662886E-4,1.8225598614662886E-4,1.8225598614662886E-4,0.003730372991412878,0.0048139928840100765,0.0048139928840100765	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	2.0,2.0,2.0,2.0,2.0,2.0	0,0,0,0,0,0	4,4,4,3,3,3	16.0,16.0,16.0,17.0,17.0,17.0	6.0,6.0,6.0,5.0,5.0,5.0	27.0,27.0,27.0,28.0,28.0,28.0	9.0,9.0,9.0,10.0,10.0,10.0	22.0,22.0,22.0,22.0,22.0,22.0	36.0,36.0,36.0,38.0,38.0,38.0	160.53954,160.53954,160.53954,169.4584,169.4584,169.4584	12.0,12.0,12.0,17.0,17.0,17.0	1926.4744,1926.4744,1926.4744,2880.793,2880.793,2880.793	107.02635,107.02635,107.02635,160.04405,160.04405,160.04405	0.053513177,0.053513177,0.053513177,0.056486133,0.056486133,0.056486133	121.90362548828125,121.90362548828125,121.90362548828125,121.62247467041016,121.62247467041016,121.62247467041016	0,26,26,28,45,55	0,0,0,3,1,0	0,0,0,6,2,0	0,0,0,85,8,0	5081.json
3099	3,3,3,3,3,3	0.005118012893944979,0.005118012893944979,0.005238981917500496,0.005238981917500496,0.005238981917500496,0.005238981917500496	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,3.77,3.77,3.77,3.77	0,0,0,0,0,0	1,1,1,1,1,1	15.0,15.0,17.0,17.0,17.0,17.0	4.0,4.0,4.0,4.0,4.0,4.0	20.0,20.0,23.0,23.0,23.0,23.0	8.0,8.0,8.0,8.0,8.0,8.0	19.0,19.0,21.0,21.0,21.0,21.0	28.0,28.0,31.0,31.0,31.0,31.0	118.94197,118.94197,136.16183,136.16183,136.16183,136.16183	15.0,15.0,17.0,17.0,17.0,17.0	1784.1295,1784.1295,2314.7512,2314.7512,2314.7512,2314.7512	99.11831,99.11831,128.59729,128.59729,128.59729,128.59729	0.039647322,0.039647322,0.04538728,0.04538728,0.04538728,0.04538728	128.1235809326172,128.1235809326172,127.42049407958984,127.42049407958984,127.42049407958984,127.42049407958984	0,0,1,1067,1123,1137	0,0,3,0,0,0	0,0,6,0,0,0	0,0,34,0,0,0	4428.json
3099	3,3,3,3,3,3	1.059714995790273E-4,1.059714995790273E-4,1.1167964112246409E-4,1.1159029236296192E-4,1.1159029236296192E-4,1.1159029236296192E-4	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,3.77,3.77,3.77,3.77	0,0,0,0,0,0	1,1,1,1,1,1	15.0,15.0,17.0,16.0,16.0,16.0	5.0,5.0,5.0,5.0,5.0,5.0	22.0,22.0,25.0,24.0,24.0,24.0	11.0,11.0,11.0,11.0,11.0,11.0	20.0,20.0,22.0,21.0,21.0,21.0	33.0,33.0,36.0,35.0,35.0,35.0	142.62363,142.62363,160.53954,153.73111,153.73111,153.73111	16.5,16.5,18.7,17.6,17.6,17.6	2353.2898,2353.2898,3002.0894,2705.6675,2705.6675,2705.6675	130.73833,130.73833,166.78275,150.31487,150.31487,150.31487	0.04754121,0.04754121,0.053513177,0.051243704,0.051243704,0.051243704	127.17938995361328,127.17938995361328,126.56407165527344,126.78941345214844,126.78941345214844,126.78941345214844	0,0,1,1067,1123,1137	0,0,3,0,0,0	0,0,6,0,0,0	0,0,34,10,0,0	3721.json
707	5,5	0.4884646534919739,0.4884646534919739	0,0	0,0	0,0	1,1	1.96,1.96	0,0	2,2	13.0,13.0	5.0,5.0	23.0,23.0	8.0,8.0	18.0,18.0	31.0,31.0	129.26768,129.26768	10.400001,10.400001	1344.384,1344.384	74.688,74.688	0.04308923,0.04308923	119.41529846191406,119.41529846191406	0,1	0,0	0,0	0,0	183.json
950	8,8	0.5673620104789734,0.5673620104789734	2,2	1,1	3,3	3,3	3.87,3.87	2,2	1,1	16.0,16.0	6.0,6.0	26.0,26.0	8.0,8.0	22.0,22.0	34.0,34.0	151.62068,151.62068	10.666667,10.666667	1617.2874,1617.2874	89.8493,89.8493	0.050540227,0.050540227	110.5118637084961,110.5118637084961	0,115	0,0	0,0	0,0	5782.json
898	3,3,3	0.8882124423980713,0.8882124423980713,0.573482871055603	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,1	9.0,9.0,10.0	2.0,2.0,2.0	10.0,10.0,13.0	2.0,2.0,2.0	11.0,11.0,12.0	12.0,12.0,15.0	41.51318,41.51318,53.77444	4.5,4.5,5.0	186.80931,186.80931,268.8722	10.378295,10.378295,14.937344	0.013837727,0.013837727,0.017924814	133.59722900390625,133.59722900390625,132.25152587890625	0,64,449	0,0,1	0,0,2	0,0,15	5530.json
