Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
946	3	0.35490167140960693	0	0	0	1	1.89	0	1	0	0	0	0	4281.json
1727	3,3,3,3,3,3,3,3,3,3,3,3	0.6709058284759521,0.6709058284759521,0.6709058284759521,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.7330296635627747,0.856850802898407,0.856850802898407,0.787403404712677,0.787403404712677	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,19,87,88,90,90,103,112,438,444,788,892	0,0,0,1,0,0,0,0,1,0,1,0	0,0,0,2,0,0,0,0,2,0,2,0	0,0,0,9,0,0,0,0,28,0,8,0	6491.json
951	3	0.22849605977535248	0	0	0	1	1.89	0	1	0	0	0	0	2184.json
1145	3,3	0.896574854850769,0.9495536088943481	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,0	0,1	0,2	0,12	148.json
1223	4,4,4,4,4,4	1.8225598614662886E-4,1.8225598614662886E-4,1.8225598614662886E-4,0.003730372991412878,0.0048139928840100765,0.0048139928840100765	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	2.0,2.0,2.0,2.0,2.0,2.0	0,0,0,0,0,0	4,4,4,3,3,3	0,26,26,28,45,55	0,0,0,3,1,0	0,0,0,6,2,0	0,0,0,85,8,0	5081.json
3099	3,3,3,3,3,3	0.005118012893944979,0.005118012893944979,0.005238981917500496,0.005238981917500496,0.005238981917500496,0.005238981917500496	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,3.77,3.77,3.77,3.77	0,0,0,0,0,0	1,1,1,1,1,1	0,0,1,1067,1123,1137	0,0,3,0,0,0	0,0,6,0,0,0	0,0,34,0,0,0	4428.json
3099	3,3,3,3,3,3	1.059714995790273E-4,1.059714995790273E-4,1.1167964112246409E-4,1.1159029236296192E-4,1.1159029236296192E-4,1.1159029236296192E-4	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,3.77,3.77,3.77,3.77	0,0,0,0,0,0	1,1,1,1,1,1	0,0,1,1067,1123,1137	0,0,3,0,0,0	0,0,6,0,0,0	0,0,34,10,0,0	3721.json
3099	3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,8,8,8,11	0.7420796155929565,0.7420796155929565,0.7585309743881226,0.4013245105743408,0.4013245105743408,0.4013245105743408,0.4013245105743408,0.4050292372703552,0.17448002099990845,0.4050292372703552,0.27319008111953735,0.009311361238360405,0.007402358576655388,0.013470854610204697,0.021700860932469368,0.010526537895202637,0.0014714888529852033,0.0015070700319483876,0.001511076232418418,6.448272033594549E-4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3	1.89,1.89,3.77,4.0,4.0,4.0,4.0,3.92,3.92,3.92,5.06,4.62,4.62,4.62,1.89,1.89,2.4,2.4,2.4,2.41	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,1,1,1,1,1,2,1,1,2,2,2,2,2,3,3,3,3	0,0,1,203,1067,1123,1137,1795,1813,1823,1838,1839,1840,1857,1873,1920,1920,1935,1935,1977	0,0,3,1,0,0,0,2,2,2,1,1,1,4,1,4,2,6,1,3	0,0,6,1,0,0,0,3,4,4,2,1,2,8,2,8,2,12,2,3	0,0,22,31,0,0,0,26,28,28,7,49,22,26,35,32,86,9,1,93	731.json
1710	24,24,19,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,16,14,14,14,16,28,3,3	0.0,0.0,9.023175807669759E-4,0.0031969589181244373,0.0017196190310642123,0.0017196190310642123,0.0011520772241055965,0.0015048212371766567,0.002378284465521574,0.002549112308770418,0.0025765306781977415,0.002675257623195648,0.002675257623195648,0.018268397077918053,0.022835180163383484,0.022835180163383484,0.029560472816228867,0.0229631494730711,0.005510919261723757,0.0229631494730711,0.01381410751491785,0.01381410751491785,0.038290150463581085,0.0013663989957422018,0.4525521993637085,0.45257189869880676	3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,0,0	4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,0,0	7,7,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,9,0,0	7,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,1,1	4.57,4.57,4.42,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,7.16,7.16,7.16,3.58,3.58,3.38,3.58,3.58,3.58,4.73,5.94,1.89,1.89	3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,0,0	22,22,15,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,10,6,6,6,9,9,1,1	0,2,5,6,70,72,72,72,73,75,86,86,95,410,421,427,445,488,566,567,771,875,897,1028,1029,1118	0,2,8,6,4,0,1,3,2,1,0,2,0,1,4,0,2,2,2,0,4,0,13,20,1,1	0,4,21,15,8,0,2,6,4,2,0,4,0,4,8,0,4,4,2,2,8,0,21,23,35,2	0,12,400,287,76,0,12,41,53,10,1,8,0,257,20,0,154,12,171,171,32,0,220,922,1633,7	4623.json
707	5,5	0.4884646534919739,0.4884646534919739	0,0	0,0	0,0	1,1	1.96,1.96	0,0	2,2	0,1	0,0	0,0	0,0	183.json
