Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
3180	31,27,27,27,41,41	0.0033557612914592028,0.005189246963709593,0.006142209284007549,0.004622155334800482,3.2104706042446196E-4,3.1947519164532423E-4	1,1,1,1,3,3	1,1,1,1,3,3	2,2,2,2,6,6	3,2,2,2,4,4	3.02,2.87,2.87,2.87,2.7,2.7	2,1,1,1,1,1	10,9,8,9,12,12	0,4,85,233,356,884	0,1,1,1,22,2	0,6,2,2,27,4	0,142,37,23,553,2	26253.json
821	23	0.0	1	1	2	2	18.72	0	1	0	0	0	0	4281.json
2103	3,3,3	0.6593233942985535,0.6593233942985535,0.696841835975647	0,0,0	0,0,0	0,0,0	1,1,1	1.41,1.41,1.41	0,0,0	0,0,0	0,54,120	0,0,1	0,0,2	0,0,10	6491.json
2474	3	0.7516277432441711	0	0	0	1	1.41	0	1	0	0	0	0	11879.json
2375	10,10	0.17770299315452576,0.1545456349849701	0,0	0,0	0,0	1,1	4.21,4.21	0,0	11,11	0,226	0,1	0,2	0,12	15388.json
2836	3	0.4208962917327881	0	0	0	1	1.41	0	1	0	0	0	0	14050.json
3509	3,3,3,3	0.9617156386375427,0.9617156386375427,0.9617156386375427,0.9574421644210815	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.41,1.41,1.41,1.41	0,0,0,0	0,0,0,0	0,136,206,208	0,0,0,1	0,0,0,2	0,0,0,8	12851.json
3550	9,10,10,8	0.08966436237096786,0.07434665411710739,0.07434665411710739,0.2406504601240158	2,2,2,1	2,2,2,1	4,4,4,2	3,3,3,2	2.75,2.7,2.7,2.34	1,2,2,1	5,4,4,3	0,39,173,510	0,4,0,5	0,7,0,12	0,65,0,161	24667.json
3315	8,7,3,3,3	0.14705780148506165,0.11641691625118256,0.0018165631918236613,0.00313564226962626,0.0021515965927392244	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	2,2,1,1,1	2.34,2.27,1.41,1.41,1.41	1,1,0,0,0	2,2,2,2,2	0,405,757,794,1165	0,1,1,1,1	0,3,6,2,2	0,28,126,43,18	27672.json
2438	4	0.6313504576683044	0	0	0	1	1.5	0	1	0	0	0	0	16260.json
2836	3	0.03249379247426987	0	0	0	1	1.41	0	0	0	0	0	0	14758.json
1989	5,5	0.22500063478946686,0.21335259079933167	0,0	0,0	0,0	1,1	5.02,5.02	0,0	3,3	0,1033	0,1	0,2	0,4	8739.json
2883	4,4	0.6327239871025085,0.6327239871025085	0,0	0,0	0,0	1,1	1.5,1.5	0,0	1,1	0,26	0,0	0,0	0,0	21187.json
2005	5	0.006366219837218523	0	0	0	1	1.47	0	7	0	0	0	0	25505.json
2629	10,8,8,8	0.02161085046827793,0.028530670329928398,0.028530670329928398,0.027514589950442314	3,3,3,3	3,3,3,3	6,6,6,6	4,3,3,3	2.1,2.12,2.12,2.12	0,0,0,0	5,5,5,5	0,10,10,29	0,3,0,1	0,8,0,2	0,109,0,16	18737.json
3256	3,3,3,3	0.1608770191669464,0.0,0.038712408393621445,0.16086629033088684	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.41,1.41,1.41,1.41	0,0,0,0	1,2,2,1	0,341,346,605	0,2,1,1	0,4,2,2	0,39,12,21	26730.json
2223	3	0.9512563943862915	0	0	0	1	1.41	0	0	0	0	0	0	22515.json
3033	3	0.0020036082714796066	0	0	0	1	1.41	0	3	0	0	0	0	11120.json
3067	3,3,3,3	0.4266256093978882,0.4266256093978882,0.4266256093978882,0.5400073528289795	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.41,1.41,1.41,1.41	0,0,0,0	1,1,1,1	0,0,4,41	0,2,0,2	0,4,0,4	0,4,0,24	15746.json
