Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1610	3	0.5918906331062317	0	0	0	1	3.77	0	0	10.0	4.0	12.0	4.0	14.0	16.0	60.91768	5.0	304.58838	16.921577	0.020305892	131.60296630859375	0	0	0	0	4925.json
3906	19,19,19,19,19,13,18	0.028846288099884987,0.02997170016169548,0.02997170016169548,0.02997170016169548,0.029253335669636726,0.05407669395208359,0.013011631555855274	2,2,2,2,2,2,2	2,2,2,2,2,2,2	4,4,4,4,4,4,4	6,6,6,6,6,4,4	6.01,6.01,6.01,6.01,6.01,6.74,6.11	1,1,1,1,1,1,1	7,7,7,7,7,5,11	27.0,27.0,27.0,27.0,26.0,27.0,35.0	9.0,9.0,9.0,9.0,9.0,7.0,11.0	72.0,72.0,72.0,72.0,70.0,54.0,85.0	21.0,21.0,21.0,21.0,21.0,15.0,28.0	36.0,36.0,36.0,36.0,35.0,34.0,46.0	93.0,93.0,93.0,93.0,91.0,69.0,113.0	480.80304,480.80304,480.80304,480.80304,466.76474,351.03494,624.1625	31.499998,31.499998,31.499998,31.499998,30.333332,28.92857,44.545452	15145.295,15145.295,15145.295,15145.295,14158.53,10154.938,27803.6	841.4053,841.4053,841.4053,841.4053,786.585,564.16327,1544.6444	0.16026768,0.16026768,0.16026768,0.16026768,0.15558824,0.117011644,0.20805416	89.80770874023438,89.80770874023438,89.80770874023438,89.80770874023438,89.96179962158203,98.05121612548828,89.7866439819336	0,228,270,1266,3150,3483,3721	0,1,0,0,1,1,10	0,2,0,0,2,8,21	0,5,0,0,12,86,277	4281.json
1610	4	0.7325300574302673	0	0	0	1	9.8	0	3	18.0	2.0	22.0	4.0	20.0	26.0	112.37013	18.0	2022.6624	112.37013	0.03745671	123.75868225097656	0	0	0	0	4913.json
1027	28,28,28	0.0,0.0,0.0	3,3,3	4,4,4	7,7,7	4,4,4	11.95,11.95,11.95	3,3,3	14,14,14	52.0,52.0,52.0	24.0,24.0,24.0	163.0,163.0,163.0	52.0,52.0,52.0	76.0,76.0,76.0	215.0,215.0,215.0	1343.3044,1343.3044,1343.3044	56.333336,56.333336,56.333336	75672.82,75672.82,75672.82	4204.0454,4204.0454,4204.0454	0.44776815,0.44776815,0.44776815	78.64327239990234,78.64327239990234,78.64327239990234	0,206,382	0,1,1	0,2,2	0,7,7	148.json
3906	3	0.903901219367981	0	0	0	1	3.77	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	0	8739.json
3413	3,3	0.8394021391868591,0.8394021391868591	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	10.0,10.0	3.0,3.0	11.0,11.0	4.0,4.0	13.0,13.0	15.0,15.0	55.506596,55.506596	6.666667,6.666667	370.04398,370.04398	20.557999,20.557999	0.018502198,0.018502198	132.086669921875,132.086669921875	0,773	0,0	0,0	0,0	5081.json
205	24	0.0019109519198536873	7	4	11	5	6.06	2	17	40.0	18.0	127.0	42.0	58.0	169.0	989.99884	46.666664	46199.945	2566.6636	0.32999963	82.49746704101562	0	0	0	0	4428.json
3140	13,14,14,12,11,13,14	0.19948379695415497,0.1185251995921135,0.1185251995921135,0.058190181851387024,0.08839748799800873,0.11676501482725143,0.10158691555261612	5,7,7,7,6,7,7	4,6,6,4,4,5,5	9,13,13,11,10,12,12	5,5,5,4,4,4,4	8.02,7.84,7.84,5.12,5.34,7.38,7.23	2,2,2,2,2,2,2	3,4,4,6,6,7,7	26.0,28.0,28.0,26.0,26.0,28.0,29.0	7.0,9.0,9.0,9.0,7.0,7.0,9.0	53.0,61.0,61.0,61.0,56.0,60.0,63.0	14.0,17.0,17.0,19.0,15.0,16.0,18.0	33.0,37.0,37.0,35.0,33.0,35.0,38.0	67.0,78.0,78.0,80.0,71.0,76.0,81.0	337.9744,406.33737,406.33737,410.34265,358.15198,389.8255,425.08215	26.0,26.444443,26.444443,27.444445,27.857141,32.0,29.0	8787.334,10745.365,10745.365,11261.626,9977.09,12474.416,12327.383	488.1852,596.9647,596.9647,625.6459,554.2828,693.02313,684.8546	0.112658136,0.13544579,0.13544579,0.13678089,0.11938399,0.12994184,0.14169405	98.01837921142578,95.85991668701172,95.85991668701172,98.53614807128906,100.65311431884766,97.50618743896484,95.85540008544922	0,490,500,1714,1928,1930,2023	0,2,0,5,2,3,1	0,3,0,12,5,4,1	0,77,0,140,62,34,22	3721.json
1798	10	0.12623848021030426	2	2	4	3	7.33	2	3	27.0	7.0	46.0	13.0	34.0	59.0	300.1603	25.071428	7525.4478	418.08044	0.10005344	103.34567260742188	0	0	0	0	8365.json
281	20	3.2698296126909554E-4	2	2	4	3	8.49	1	10	36.0	17.0	96.0	31.0	53.0	127.0	727.4459	32.82353	23877.342	1326.519	0.24248198	87.51353454589844	0	0	0	0	731.json
