Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2671	4,4	0.40346759557724,0.40346759557724	0,0	0,0	0,0	1,1	4.0,4.0	0,0	1,1	15.0,15.0	4.0,4.0	24.0,24.0	5.0,5.0	19.0,19.0	29.0,29.0	123.1899,123.1899	9.375,9.375	1154.9054,1154.9054	64.16141,64.16141	0.0410633,0.0410633	123.28064727783203,123.28064727783203	0,6	0,0	0,0	0,0	2184.json
1952	3	0.7687375545501709	0	0	0	1	3.77	0	2	13.0	3.0	17.0	4.0	16.0	21.0	84.0	8.666667	728.0	40.444443	0.028	129.93223571777344	0	0	0	0	148.json
4702	1,1	0.9870077967643738,0.9870077967643738	0,0	0,0	0,0	1,1	0.0,0.0	0,0	0,0	9.0,9.0	2.0,2.0	10.0,10.0	2.0,2.0	11.0,11.0	12.0,12.0	41.51318,41.51318	4.5,4.5	186.80931,186.80931	10.378295,10.378295	0.013837727,0.013837727	151.39474487304688,151.39474487304688	0,1387	0,0	0,0	0,0	3721.json
4820	3,3,3,3,3	0.21151518821716309,0.21151518821716309,0.21151518821716309,0.21151518821716309,0.21151518821716309	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	2,2,2,2,2	12.0,12.0,12.0,12.0,12.0	1.0,1.0,1.0,1.0,1.0	16.0,16.0,16.0,16.0,16.0	1.0,1.0,1.0,1.0,1.0	13.0,13.0,13.0,13.0,13.0	17.0,17.0,17.0,17.0,17.0	62.907475,62.907475,62.907475,62.907475,62.907475	6.0,6.0,6.0,6.0,6.0	377.44485,377.44485,377.44485,377.44485,377.44485	20.969158,20.969158,20.969158,20.969158,20.969158	0.020969158,0.020969158,0.020969158,0.020969158,0.020969158	131.43582153320312,131.43582153320312,131.43582153320312,131.43582153320312,131.43582153320312	0,1035,1035,1167,1505	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	183.json
4820	5,4,4	0.038063809275627136,0.015873322263360023,0.015873322263360023	0,0,0	0,0,0	0,0,0	1,1,1	3.2,2.0,2.0	0,0,0	2,2,2	13.0,14.0,14.0	4.0,4.0,4.0	21.0,21.0,21.0	7.0,7.0,7.0	17.0,18.0,18.0	28.0,28.0,28.0	114.44896,116.757904,116.757904	11.375,12.25,12.25	1301.8569,1430.2843,1430.2843	72.325386,79.460236,79.460236	0.038149655,0.0389193,0.0389193	120.0484390258789,123.55950164794922,123.55950164794922	0,189,1505	0,1,0	0,2,0	0,24,0	4016.json
2113	3	0.00670072203502059	0	0	0	1	1.89	0	2	15.0	5.0	22.0	7.0	20.0	29.0	125.335915	10.5	1316.0271	73.11262	0.04177864	127.8512954711914	0	0	0	0	3198.json
4758	3,3,3,3	0.0023481184616684914,0.0024041577707976103,0.0024041577707976103,8.967037429101765E-4	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	15.0,15.0,15.0,18.0	5.0,5.0,5.0,5.0	21.0,21.0,21.0,24.0	7.0,7.0,7.0,7.0	20.0,20.0,20.0,23.0	28.0,28.0,28.0,31.0	121.013985,121.013985,121.013985,140.23042	10.5,10.5,10.5,12.599999	1270.6469,1270.6469,1270.6469,1766.9032	70.59149,70.59149,70.59149,98.161285	0.040337995,0.040337995,0.040337995,0.046743475	128.0337677001953,128.0337677001953,128.0337677001953,127.26738739013672	0,159,1443,3101	0,1,0,1	0,2,0,2	0,3,0,3	3663.json
3764	8,8,8,8	0.12606671452522278,0.12606671452522278,0.12606671452522278,0.23547504842281342	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	3.71,3.71,3.71,3.71	1,1,1,1	3,3,3,3	22.0,22.0,22.0,22.0	10.0,10.0,10.0,10.0	46.0,46.0,46.0,42.0	17.0,17.0,17.0,16.0	32.0,32.0,32.0,32.0	63.0,63.0,63.0,58.0	315.0,315.0,315.0,290.0	18.7,18.7,18.7,17.6	5890.5,5890.5,5890.5,5104.0	327.25,327.25,327.25,283.55554	0.105,0.105,0.105,0.096666664	106.93966674804688,106.93966674804688,106.93966674804688,107.36966705322266	0,111,449,1143	0,0,0,1	0,0,0,2	0,0,0,24	415.json
4677	3,3,3,3,3	0.6587802171707153,0.6420592069625854,0.6369033455848694,0.6369033455848694,0.9138051867485046	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	1,1,1,1,0	10.0,10.0,10.0,10.0,9.0	2.0,2.0,2.0,2.0,2.0	13.0,13.0,13.0,13.0,10.0	2.0,2.0,2.0,2.0,2.0	12.0,12.0,12.0,12.0,11.0	15.0,15.0,15.0,15.0,12.0	53.77444,53.77444,53.77444,53.77444,41.51318	5.0,5.0,5.0,5.0,4.5	268.8722,268.8722,268.8722,268.8722,186.80931	14.937344,14.937344,14.937344,14.937344,10.378295	0.017924814,0.017924814,0.017924814,0.017924814,0.013837727	132.25152587890625,132.25152587890625,132.25152587890625,132.25152587890625,133.59722900390625	0,17,635,1362,1535	0,3,1,0,1	0,6,2,0,2	0,12,5,0,14	4040.json
1952	3	0.6654700040817261	0	0	0	1	3.77	0	0	13.0	4.0	15.0	4.0	17.0	19.0	77.6618	6.5	504.80167	28.044537	0.025887266	130.34019470214844	0	0	0	0	3421.json
2495	5	0.6861585974693298	2	2	4	3	3.92	0	1	21.0	7.0	36.0	11.0	28.0	47.0	225.94568	16.5	3728.1038	207.11688	0.07531523	116.05157470703125	0	0	0	0	431.json
