Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2671	4,4	0.40346759557724,0.40346759557724	0,0	0,0	0,0	1,1	4.0,4.0	0,0	1,1	0,6	0,0	0,0	0,0	2184.json
1952	3	0.7687375545501709	0	0	0	1	3.77	0	2	0	0	0	0	148.json
4702	1,1	0.9870077967643738,0.9870077967643738	0,0	0,0	0,0	1,1	0.0,0.0	0,0	0,0	0,1387	0,0	0,0	0,0	3721.json
4820	3,3,3,3,3	0.21151518821716309,0.21151518821716309,0.21151518821716309,0.21151518821716309,0.21151518821716309	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	2,2,2,2,2	0,1035,1035,1167,1505	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	183.json
4820	5,4,4	0.038063809275627136,0.015873322263360023,0.015873322263360023	0,0,0	0,0,0	0,0,0	1,1,1	3.2,2.0,2.0	0,0,0	2,2,2	0,189,1505	0,1,0	0,2,0	0,24,0	4016.json
2113	3	0.00670072203502059	0	0	0	1	1.89	0	2	0	0	0	0	3198.json
4758	3,3,3,3	0.0023481184616684914,0.0024041577707976103,0.0024041577707976103,8.967037429101765E-4	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,159,1443,3101	0,1,0,1	0,2,0,2	0,3,0,3	3663.json
3764	8,8,8,8	0.12606671452522278,0.12606671452522278,0.12606671452522278,0.23547504842281342	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	3.71,3.71,3.71,3.71	1,1,1,1	3,3,3,3	0,111,449,1143	0,0,0,1	0,0,0,2	0,0,0,24	415.json
4677	3,3,3,3,3	0.6587802171707153,0.6420592069625854,0.6369033455848694,0.6369033455848694,0.9138051867485046	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	1,1,1,1,0	0,17,635,1362,1535	0,3,1,0,1	0,6,2,0,2	0,12,5,0,14	4040.json
1952	3	0.6654700040817261	0	0	0	1	3.77	0	0	0	0	0	0	3421.json
2495	5	0.6861585974693298	2	2	4	3	3.92	0	1	0	0	0	0	431.json
4820	3,3	0.7358826994895935,0.7358826994895935	0,0	0,0	0,0	1,1	1.89,1.89	0,0	2,2	0,1505	0,0	0,0	0,0	3796.json
4032	23,23,18,19,21,21,21,19	4.0830549551174045E-4,4.0830549551174045E-4,0.01636751927435398,0.015466256067156792,0.006169901229441166,0.004874065518379211,0.001267545623704791,9.518979932181537E-4	10,10,7,7,7,7,6,6	8,8,5,5,5,5,4,4	18,18,12,12,12,12,10,10	8,8,5,5,5,5,5,5	4.87,4.87,5.32,5.33,5.32,5.32,5.32,4.29	4,4,4,4,4,4,4,3	14,14,7,7,8,8,8,8	0,717,1414,1424,2343,2352,2383,2870	0,0,1,1,3,2,7,14	0,0,7,1,4,4,14,30	0,0,359,46,87,6,112,112	3575.json
4677	3,3,3,3	0.7251454591751099,0.710246205329895,0.7007753849029541,0.7007753849029541	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,17,635,1362	0,3,1,0	0,6,2,0	0,12,5,0	4044.json
4660	3,3,3,3,3	0.7389223575592041,0.7389223575592041,0.7389223575592041,0.7389223575592041,0.7389223575592041	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	2,2,2,2,2	0,875,875,1007,1345	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	3018.json
1421	3	0.5639527440071106	0	0	0	1	1.89	0	1	0	0	0	0	1044.json
4011	13,13,13,13,12	0.16402363777160645,0.15616066753864288,0.1730336844921112,0.1730336844921112,0.14488181471824646	10,10,10,10,10	5,5,5,5,5	15,15,15,15,15	3,3,3,3,3	5.17,5.17,5.17,5.17,5.28	2,2,2,2,2	7,7,7,7,7	0,50,275,696,2354	0,1,1,0,1	0,2,2,0,3	0,8,11,0,91	4080.json
1592	8	0.7938093543052673	2	2	4	3	2.83	1	2	0	0	0	0	333.json
1763	4	0.011113789863884449	1	1	2	2	4.0	0	3	0	0	0	0	284.json
63	3	0.08601625263690948	0	0	0	1	1.89	0	1	0	0	0	0	2514.json
4820	3,3,3,3	0.15521711111068726,0.3720197379589081,0.15521711111068726,0.15521711111068726	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	2,1,2,2	0,129,170,1505	0,1,1,0	0,2,2,0	0,13,13,0	4160.json
304	14	0.06724239885807037	1	1	2	2	2.7	1	8	0	0	0	0	2605.json
4820	3,3,3,3,3	0.7573726773262024,0.7573726773262024,0.7573726773262024,0.7573726773262024,0.7573726773262024	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	1.89,1.89,1.89,1.89,1.89	0,0,0,0,0	0,0,0,0,0	0,1035,1035,1167,1505	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	220.json
