Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
32	3	0.7810276746749878	0	0	0	1	3.77	0	0	10.0	2.0	12.0	3.0	12.0	15.0	53.77444	7.5	403.30832	22.406017	0.017924814	132.25152587890625	0	0	0	0	2184.json
419	3	0.7800279259681702	0	0	0	1	3.77	0	0	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	131.9385528564453	0	0	0	0	148.json
208	7,5	0.4152476489543915,0.6874092221260071	1,0	1,0	2,0	2,1	5.11,3.92	1,0	4,3	16.0,12.0	8.0,4.0	31.0,22.0	9.0,4.0	24.0,16.0	40.0,26.0	183.3985,104.0	9.0,6.0	1650.5864,624.0	91.69925,34.666668	0.061132833,0.034666665	111.91561889648438,120.54627227783203	0,0	0,1	0,4	0,137	183.json
1547	5,5,5,3	0.030870741233229637,0.030870741233229637,0.030870741233229637,0.0012989571550861	2,2,2,0	1,1,1,0	3,3,3,0	2,2,2,1	5.99,5.99,5.99,3.77	1,1,1,0	2,2,2,1	19.0,19.0,19.0,16.0	4.0,4.0,4.0,5.0	29.0,29.0,29.0,23.0	8.0,8.0,8.0,8.0	23.0,23.0,23.0,21.0	37.0,37.0,37.0,31.0	167.3718,167.3718,167.3718,136.16183	19.0,19.0,19.0,12.8	3180.0642,3180.0642,3180.0642,1742.8715	176.67023,176.67023,176.67023,96.826195	0.0557906,0.0557906,0.0557906,0.04538728	117.84197235107422,117.84197235107422,117.84197235107422,127.42049407958984	0,98,100,243	0,0,0,1	0,0,0,4	0,0,0,47	1926.json
500	5,5,6,6	0.010027165524661541,0.010027165524661541,0.0029830432031303644,0.018980534747242928	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	7.16,7.16,5.5,5.5	0,0,0,0	3,3,4,4	20.0,20.0,23.0,25.0	8.0,8.0,12.0,12.0	36.0,36.0,47.0,46.0	14.0,14.0,20.0,17.0	28.0,28.0,35.0,37.0	50.0,50.0,67.0,63.0	240.36775,240.36775,343.66196,328.1956	17.5,17.5,19.166666,17.708332	4206.4355,4206.4355,6586.854,5811.7964	233.69086,233.69086,365.93634,322.87756	0.08012258,0.08012258,0.11455399,0.10939853	116.1898193359375,116.1898193359375,111.37727355957031,111.61672973632812	0,0,0,0	0,2,3,6	0,4,5,11	0,46,115,145	415.json
5	3	0.759047269821167	0	0	0	1	3.77	0	1	11.0	3.0	14.0	4.0	14.0	18.0	68.53239	7.3333335	502.57086	27.920603	0.022844128	130.99049377441406	0	0	0	0	1490.json
1547	3,3,3,3	0.9456406831741333,0.8432421088218689,0.8432421088218689,0.8432421088218689	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	9.0,11.0,11.0,11.0	2.0,2.0,2.0,2.0	10.0,12.0,12.0,12.0	2.0,2.0,2.0,2.0	11.0,13.0,13.0,13.0	12.0,14.0,14.0,14.0	41.51318,51.806156,51.806156,51.806156	4.5,5.5,5.5,5.5	186.80931,284.93387,284.93387,284.93387	10.378295,15.829659,15.829659,15.829659	0.013837727,0.01726872,0.01726872,0.01726872	133.59722900390625,132.4454345703125,132.4454345703125,132.4454345703125	0,58,99,100	0,1,0,0	0,2,0,0	0,5,0,0	1044.json
70	3	0.2529531419277191	0	0	0	1	3.77	0	1	12.0	2.0	16.0	2.0	14.0	18.0	68.53239	6.0	411.19434	22.84413	0.022844128	130.99049377441406	0	0	0	0	333.json
1442	3,3	0.0,0.0	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	12.0,12.0	3.0,2.0	14.0,13.0	5.0,4.0	15.0,14.0	19.0,17.0	74.23092,64.72504	10.0,12.0	742.3092,776.70044	41.2394,43.150024	0.024743639,0.021575011	130.57513427734375,131.28770446777344	0,1	0,1	0,2	0,6	220.json
375	3	0.7717682123184204	0	0	0	1	3.77	0	1	15.0	3.0	17.0	3.0	18.0	20.0	83.398506	7.5	625.4888	34.749374	0.027799502	129.9696044921875	0	0	0	0	307.json
597	5	0.1389428675174713	2	1	3	2	5.99	1	1	14.0	4.0	22.0	7.0	18.0	29.0	120.92783	12.25	1481.366	82.29811	0.040309276	119.53209686279297	0	0	0	0	2311.json
597	5	0.0037609890569001436	4	1	5	2	5.99	1	2	14.0	5.0	27.0	10.0	19.0	37.0	157.17332	14.0	2200.4265	122.24592	0.052391108	118.16889190673828	0	0	0	0	2326.json
595	3	0.0025328379124403	0	0	0	1	3.77	0	1	15.0	5.0	22.0	8.0	20.0	30.0	129.65784	12.0	1555.894	86.43856	0.04321928	127.67500305175781	0	0	0	0	1947.json
595	3	0.001787868095561862	0	0	0	1	3.77	0	1	18.0	5.0	25.0	8.0	23.0	33.0	149.27754	14.400001	2149.5967	119.422035	0.04975918	126.9422836303711	0	0	0	0	2063.json
673	10	0.45807892084121704	3	3	6	3	5.06	1	3	21.0	7.0	45.0	11.0	28.0	56.0	269.21188	16.5	4441.996	246.77756	0.089737296	103.91152954101562	0	0	0	0	1182.json
1417	4,4,4,4,4	0.004160651471465826,7.425162475556135E-4,6.462443270720541E-4,2.523654547985643E-4,2.7397775556892157E-4	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	6.63,6.63,6.63,6.63,6.63	0,0,0,0,0	3,3,3,3,3	14.0,15.0,15.0,15.0,15.0	5.0,5.0,5.0,6.0,6.0	21.0,23.0,23.0,24.0,24.0	6.0,7.0,7.0,8.0,8.0	19.0,20.0,20.0,21.0,21.0	27.0,30.0,30.0,32.0,32.0	114.694046,129.65784,129.65784,140.55415,140.55415	8.400001,10.5,10.5,10.0,10.0	963.43005,1361.4072,1361.4072,1405.5415,1405.5415	53.52389,75.633736,75.633736,78.08564,78.08564	0.03823135,0.04321928,0.04321928,0.046851385,0.046851385	123.65223693847656,123.01455688476562,123.01455688476562,122.5949478149414,122.5949478149414	0,2,38,415,437	0,3,3,1,1	0,6,6,2,2	0,122,11,7,5	530.json
