Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
32	3	0.7810276746749878	0	0	0	1	3.77	0	0	0	0	0	0	2184.json
419	3	0.7800279259681702	0	0	0	1	3.77	0	0	0	0	0	0	148.json
208	7,5	0.4152476489543915,0.6874092221260071	1,0	1,0	2,0	2,1	5.11,3.92	1,0	4,3	0,0	0,1	0,4	0,137	183.json
1547	5,5,5,3	0.030870741233229637,0.030870741233229637,0.030870741233229637,0.0012989571550861	2,2,2,0	1,1,1,0	3,3,3,0	2,2,2,1	5.99,5.99,5.99,3.77	1,1,1,0	2,2,2,1	0,98,100,243	0,0,0,1	0,0,0,4	0,0,0,47	1926.json
500	5,5,6,6	0.010027165524661541,0.010027165524661541,0.0029830432031303644,0.018980534747242928	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	7.16,7.16,5.5,5.5	0,0,0,0	3,3,4,4	0,0,0,0	0,2,3,6	0,4,5,11	0,46,115,145	415.json
5	3	0.759047269821167	0	0	0	1	3.77	0	1	0	0	0	0	1490.json
1547	3,3,3,3	0.9456406831741333,0.8432421088218689,0.8432421088218689,0.8432421088218689	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	0,58,99,100	0,1,0,0	0,2,0,0	0,5,0,0	1044.json
70	3	0.2529531419277191	0	0	0	1	3.77	0	1	0	0	0	0	333.json
1173	6	0.08525064587593079	0	0	0	1	9.8	0	3	0	0	0	0	284.json
1442	3,3	0.0,0.0	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,1	0,1	0,2	0,6	220.json
375	3	0.7717682123184204	0	0	0	1	3.77	0	1	0	0	0	0	307.json
597	5	0.1389428675174713	2	1	3	2	5.99	1	1	0	0	0	0	2311.json
597	5	0.0037609890569001436	4	1	5	2	5.99	1	2	0	0	0	0	2326.json
595	3	0.0025328379124403	0	0	0	1	3.77	0	1	0	0	0	0	1947.json
595	3	0.001787868095561862	0	0	0	1	3.77	0	1	0	0	0	0	2063.json
673	10	0.45807892084121704	3	3	6	3	5.06	1	3	0	0	0	0	1182.json
1417	4,4,4,4,4	0.004160651471465826,7.425162475556135E-4,6.462443270720541E-4,2.523654547985643E-4,2.7397775556892157E-4	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	6.63,6.63,6.63,6.63,6.63	0,0,0,0,0	3,3,3,3,3	0,2,38,415,437	0,3,3,1,1	0,6,6,2,2	0,122,11,7,5	530.json
1468	3,3,3,3	1.8736737547442317E-4,1.8736737547442317E-4,1.8736737547442317E-4,0.0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	1,1,1,1	0,19,21,163	0,0,0,1	0,0,0,2	0,0,0,24	2039.json
1378	9,9	0.0028865989297628403,0.00242913281545043	2,2	1,1	3,3	2,2	5.06,5.06	1,1	10,10	0,0	0,3	0,6	0,12	526.json
1055	3,4	4.469208652153611E-4,0.06711715459823608	0,0	0,0	0,0	1,1	3.77,6.63	0,0	1,1	0,871	0,3	0,4	0,26	403.json
1304	3,3	0.018603594973683357,0.026281239464879036	0,0	0,0	0,0	1,1	3.77,3.77	0,0	1,1	0,444	0,1	0,2	0,7	1737.json
1304	3,3,3	0.2863287925720215,0.4557426869869232,0.2742868661880493	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,2	0,444,444	0,1,1	0,2,2	0,7,15	1765.json
483	3	0.8072784543037415	0	0	0	1	3.77	0	1	0	0	0	0	577.json
559	8,8	0.01773562841117382,0.010239101946353912	1,1	1,1	2,2	2,2	5.66,5.66	1,1	8,8	0,523	0,2	0,4	0,36	44.json
1023	3	0.0391305647790432	0	0	0	1	3.77	0	2	0	0	0	0	1285.json
375	3	0.08924777805805206	0	0	0	1	3.77	0	4	0	0	0	0	250.json
1668	3,3,3,3,3,3,3,3,3	0.44833531975746155,0.8436797261238098,0.8436797261238098,0.8436797261238098,0.9254549741744995,0.9307359457015991,0.806020200252533,0.806020200252533,0.806020200252533	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,52,68,68,183,191,192,220,221	0,2,0,0,1,1,1,0,0	0,4,0,0,2,2,2,0,0	0,31,0,0,13,6,5,0,0	927.json
1304	3,3	0.027342071756720543,0.04469494894146919	0,0	0,0	0,0	1,1	3.77,3.77	0,0	1,1	0,444	0,1	0,2	0,7	2228.json
574	3,3,3,3	0.3939073085784912,0.23111961781978607,0.06423752754926682,0.30648016929626465	0,1,1,0	0,1,1,0	0,2,2,0	1,2,2,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,2,1	0,0,24,148	0,1,2,3	0,2,4,6	0,51,42,51	2271.json
595	3	0.0024535751435905695	0	0	0	1	3.77	0	1	0	0	0	0	2140.json
504	3	0.0023480053059756756	0	0	0	1	3.77	0	1	0	0	0	0	1937.json
1637	4,4,4,4,4,4	0.46067383885383606,0.46067383885383606,0.46067383885383606,0.46067383885383606,0.2575444281101227,0.46067383885383606	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	4.0,4.0,4.0,4.0,4.0,4.0	0,0,0,0,0,0	1,1,1,1,1,1	0,188,190,190,568,569	0,0,0,0,1,1	0,0,0,0,2,2	0,0,0,0,11,11	225.json
853	22,22,22,25,25,3	0.026649946346879005,0.02615242451429367,0.050938837230205536,0.023648306727409363,0.012137915939092636,0.6759043335914612	6,6,6,7,8,0	5,5,5,6,7,0	11,11,11,13,15,0	6,6,6,7,7,1	5.49,5.49,5.5,5.33,5.33,3.77	1,1,1,1,1,0	8,8,8,9,10,2	0,6,6,94,236,570	0,1,3,3,1,1	0,2,4,3,2,29	0,1,58,51,28,612	2212.json
