Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
2605	3	0.189265638589859	0	0	0	1	3.77	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	0	2184.json
2402	9,9,8	1.7162415315397084E-4,0.0,0.001387692173011601	6,7,5	3,4,3	9,11,8	5,5,4	5.33,5.33,4.8	1,1,1	7,7,4	34.0,36.0,29.0	12.0,13.0,12.0	83.0,86.0,55.0	24.0,25.0,17.0	46.0,49.0,41.0	107.0,111.0,72.0	591.0211,623.2328,385.74374	34.0,34.615383,20.541666	20094.719,21573.441,7923.8193	1116.3733,1198.5245,440.2122	0.19700705,0.20774426,0.12858124	101.0693359375,100.79338073730469,105.4261474609375	0,0,0	0,2,3	0,4,7	0,24,182	148.json
1248	21	0.07958903163671494	1	2	3	5	7.05	2	4	34.0	15.0	87.0	31.0	49.0	118.0	662.53577	35.13333	23277.088	1293.1715	0.22084525	86.7491455078125	0	0	0	0	731.json
3538	48,55,64,64,38	0.0,0.0,0.0,0.0,0.0	2,6,8,8,9	8,10,12,12,7	10,16,20,20,16	15,18,21,21,13	4.83,5.45,5.77,5.77,6.52	2,3,3,3,3	15,20,25,25,21	36.0,41.0,43.0,43.0,32.0	30.0,37.0,41.0,41.0,30.0	219.0,272.0,330.0,331.0,224.0	75.0,88.0,103.0,103.0,65.0	66.0,78.0,84.0,84.0,62.0	294.0,360.0,433.0,434.0,289.0	1777.0519,2262.7449,2767.8733,2774.2656,1720.7628	45.0,48.756756,54.012196,54.012196,34.666668	79967.336,110324.1,149498.9,149844.17,59653.113	4442.63,6129.1167,8305.495,8324.676,3314.0618	0.5923506,0.75424826,0.9226244,0.9247552,0.5735876	65.92644500732422,61.77466583251953,57.58175277709961,57.569759368896484,70.33838653564453	0,286,1021,1058,2332	0,8,10,72,8	0,8,10,144,47	0,307,339,81,993	1808.json
2361	22,22,22	8.540882845409214E-4,0.0010038127657026052,0.0010217300150543451	2,2,2	2,2,2	4,4,4	4,4,4	7.09,7.09,7.09	2,2,2	9,9,9	38.0,38.0,38.0	15.0,14.0,14.0	127.0,126.0,126.0	37.0,36.0,36.0	53.0,52.0,52.0	164.0,162.0,162.0	939.37897,923.47125,923.47125	46.86667,48.857143,48.857143	44025.562,45118.168,45118.168	2445.8645,2506.565,2506.565	0.31312633,0.30782375,0.30782375	84.40997314453125,84.49878692626953,84.49878692626953	0,9,16	0,2,1	0,4,2	0,16,1	1926.json
3526	13,13	0.04762939363718033,0.04767904803156853	2,2	2,2	4,4	4,4	4.92,4.92	2,2	7,7	19.0,19.0	15.0,15.0	41.0,41.0	30.0,30.0	34.0,34.0	71.0,71.0	361.20987,361.20987	19.0,19.0	6862.9873,6862.9873	381.27707,381.27707	0.12040329,0.12040329	97.90263366699219,97.90263366699219	0,12	0,1	0,2	0,15	3198.json
2524	8,8,8,8	0.25871995091438293,0.24732771515846252,0.26157474517822266,0.04936293885111809	1,1,1,1	1,1,1,1	2,2,2,2	2,2,2,2	5.66,5.66,5.66,5.66	1,1,1,1	3,3,3,5	22.0,22.0,22.0,19.0	6.0,6.0,6.0,6.0	40.0,40.0,40.0,46.0	10.0,10.0,10.0,11.0	28.0,28.0,28.0,25.0	50.0,50.0,50.0,57.0	240.36775,240.36775,240.36775,264.6998	18.333332,18.333332,18.333332,17.416668	4406.7417,4406.7417,4406.7417,4610.1885	244.81898,244.81898,244.81898,256.12158	0.08012258,0.08012258,0.08012258,0.08823327	108.34576416015625,108.34576416015625,108.34576416015625,107.84434509277344	0,217,297,2234	0,1,1,2	0,2,2,4	0,7,21,90	415.json
2605	9,29,28	0.41997575759887695,0.016294730827212334,0.0044938442297279835	2,3,3	2,5,7	4,8,10	3,6,8	5.9,9.33,9.33	1,2,2	7,20,22	20.0,28.0,29.0	10.0,19.0,19.0	51.0,131.0,141.0	16.0,46.0,44.0	30.0,47.0,48.0	67.0,177.0,185.0	328.76166,983.16223,1033.218	16.0,33.894737,33.57895	5260.1865,33324.027,34694.375	292.23257,1851.3348,1927.4653	0.10958722,0.32772073,0.344406	104.57923126220703,79.23778533935547,79.0880355834961	0,123,1720	0,23,7	0,30,16	0,678,206	431.json
2013	3	0.8927947282791138	0	0	0	1	3.77	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	0	1490.json
1997	3	0.5496434569358826	0	0	0	1	3.77	0	1	15.0	4.0	18.0	5.0	19.0	23.0	97.70234	9.375	915.9594	50.886635	0.032567445	129.14646911621094	0	0	0	0	3018.json
