Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
3929	4,4,4,4,4,3,3,3,3,4,4,4	0.7682205438613892,0.5050844550132751,0.5050844550132751,0.5050844550132751,0.3258354663848877,0.6274085640907288,0.6215647459030151,0.5633921027183533,0.5633921027183533,0.6587761640548706,0.6587761640548706,0.16228900849819183	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	2.0,2.0,2.0,2.0,2.0,1.89,1.89,1.89,1.89,2.0,2.0,2.0	0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,2,2,2,2,2,1,1,1	12.0,12.0,12.0,12.0,13.0,13.0,13.0,15.0,15.0,14.0,14.0,15.0	4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0	15.0,16.0,16.0,16.0,19.0,17.0,17.0,22.0,22.0,20.0,20.0,21.0	4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0	16.0,17.0,17.0,17.0,18.0,16.0,16.0,17.0,17.0,17.0,17.0,20.0	19.0,21.0,21.0,21.0,24.0,20.0,20.0,24.0,24.0,23.0,23.0,26.0	76.0,85.83672,85.83672,85.83672,100.0782,80.0,80.0,98.099106,98.099106,94.01165,94.01165,112.37013	6.0,6.0,6.0,6.0,6.5,6.5,6.5,7.5,7.5,7.0,7.0,7.5	456.0,515.0203,515.0203,515.0203,650.5083,520.0,520.0,735.7433,735.7433,658.08154,658.08154,842.776	25.333334,28.61224,28.61224,28.61224,36.13935,28.88889,28.88889,40.874626,40.874626,36.560085,36.560085,46.82089	0.025333334,0.028612241,0.028612241,0.028612241,0.0333594,0.026666667,0.026666667,0.0326997,0.0326997,0.031337216,0.031337216,0.03745671	125.79222106933594,125.15930938720703,125.15930938720703,125.15930938720703,124.361083984375,130.18594360351562,130.18594360351562,129.12539672851562,129.12539672851562,124.6862564086914,124.6862564086914,123.75868225097656	0,1,2,2,2,55,55,2605,2791,3136,3161,3177	0,1,0,0,1,1,1,1,0,2,0,1	0,2,0,0,2,3,2,2,0,3,0,2	0,14,0,0,11,38,9,23,0,23,0,14	148.json
3905	3,3,3,3,3,3,3,3,3,3	0.17693732678890228,0.17693732678890228,0.2586742639541626,0.3733155429363251,0.3733155429363251,0.4544236958026886,0.4544236958026886,0.4544236958026886,0.39582088589668274,0.4346645176410675	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89	0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,1,1,1,1,1	10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	11.0,11.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0	2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0	12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0	13.0,13.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0	46.604515,46.604515,60.91768,60.91768,60.91768,60.91768,60.91768,60.91768,60.91768,60.91768	5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0	233.02258,233.02258,365.50607,365.50607,365.50607,365.50607,365.50607,365.50607,365.50607,365.50607	12.945699,12.945699,20.305893,20.305893,20.305893,20.305893,20.305893,20.305893,20.305893,20.305893	0.015534839,0.015534839,0.020305892,0.020305892,0.020305892,0.020305892,0.020305892,0.020305892,0.020305892,0.020305892	132.9956512451172,132.9956512451172,131.60296630859375,131.60296630859375,131.60296630859375,131.60296630859375,131.60296630859375,131.60296630859375,131.60296630859375,131.60296630859375	0,2,139,202,219,220,707,2767,3878,3878	0,0,1,2,0,2,0,0,1,1	0,0,2,4,0,4,0,0,2,2	0,0,12,16,0,21,0,0,8,4	731.json
2745	3,3	0.6276854276657104,0.6276854276657104	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	12.0,12.0	3.0,3.0	16.0,16.0	4.0,4.0	15.0,15.0	20.0,20.0	78.13781,78.13781	8.0,8.0	625.1025,625.1025	34.727917,34.727917	0.026045937,0.026045937	130.30841064453125,130.30841064453125	0,1607	0,0	0,0	0,0	1808.json
3101	19,10,15,16,7,8,8	0.0016886855009943247,0.012417552061378956,0.010929690673947334,0.002679358934983611,0.017503932118415833,0.016303008422255516,0.016303008422255516	1,1,1,1,0,0,0	1,1,1,1,0,0,0	2,2,2,2,0,0,0	4,3,4,4,1,1,1	3.1,3.45,3.31,3.6,5.42,5.29,5.29	2,2,2,2,0,0,0	8,4,6,6,5,6,6	38.0,28.0,34.0,35.0,20.0,21.0,21.0	13.0,7.0,9.0,10.0,5.0,5.0,5.0	93.0,62.0,83.0,96.0,36.0,39.0,39.0	30.0,17.0,22.0,24.0,8.0,8.0,8.0	51.0,35.0,43.0,45.0,25.0,26.0,26.0	123.0,79.0,105.0,120.0,44.0,47.0,47.0	697.7083,405.21335,569.7578,659.0224,204.32967,220.92067,220.92067	43.846153,34.0,41.555553,42.0,16.0,16.800001,16.800001	30591.826,13777.254,23676.602,27678.941,3269.2747,3711.4675,3711.4675	1699.5459,765.403,1315.3667,1537.719,181.62637,206.19264,206.19264	0.23256944,0.13507111,0.18991928,0.21967414,0.06810989,0.07364022,0.07364022	88.3315200805664,101.78517150878906,93.21448516845703,91.41212463378906,111.58363342285156,109.01446533203125,109.01446533203125	0,239,250,303,388,399,1963	0,1,6,7,6,1,0	0,11,7,13,23,1,0	0,376,206,168,635,39,0	415.json
2713	3,9,13,13,13,13	0.9403808116912842,0.306226909160614,0.041034769266843796,0.08201080560684204,0.08201080560684204,0.11053062975406647	0,0,1,1,1,1	0,0,1,1,1,1	0,0,2,2,2,2	1,2,3,3,3,3	2.0,3.14,3.69,3.58,3.58,3.58	0,1,2,2,2,2	0,2,6,6,6,6	15.0,26.0,32.0,32.0,32.0,32.0	5.0,8.0,10.0,10.0,10.0,10.0	18.0,49.0,75.0,75.0,75.0,71.0	5.0,13.0,19.0,19.0,19.0,19.0	20.0,34.0,42.0,42.0,42.0,42.0	23.0,62.0,94.0,94.0,94.0,90.0	99.40434,315.4227,506.87784,506.87784,506.87784,485.30856	7.5,21.125,30.4,30.4,30.4,30.4	745.5326,6663.3047,15409.086,15409.086,15409.086,14753.38	41.418476,370.1836,856.0603,856.0603,856.0603,819.6322	0.03313478,0.1051409,0.16895927,0.16895927,0.16895927,0.16176952	129.05665588378906,105.02461242675781,96.37081909179688,96.37081909179688,96.37081909179688,96.59693908691406	0,4,11,205,1575,1914	0,7,4,2,0,1	0,9,4,3,0,2	0,273,229,62,0,13	431.json
2217	3,6,6,6,6,6,6,6	0.8182773590087891,0.13746720552444458,0.13106229901313782,0.13106229901313782,0.12892259657382965,0.13106229901313782,0.13106229901313782,0.05318446084856987	0,0,0,0,0,0,0,0	0,1,1,1,1,1,1,1	0,1,1,1,1,1,1,1	1,2,2,2,2,2,2,2	1.89,2.75,2.75,2.75,2.75,2.75,2.75,2.75	0,1,1,1,1,1,1,1	0,3,3,3,3,3,3,3	12.0,18.0,18.0,18.0,19.0,18.0,18.0,20.0	2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0	15.0,34.0,34.0,34.0,38.0,34.0,34.0,41.0	3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0	14.0,22.0,22.0,22.0,23.0,22.0,22.0,24.0	18.0,42.0,42.0,42.0,46.0,42.0,42.0,49.0	68.53239,187.29613,187.29613,187.29613,208.08385,187.29613,187.29613,224.66316	9.0,18.0,18.0,18.0,19.0,18.0,18.0,20.0	616.7915,3371.3303,3371.3303,3371.3303,3953.593,3371.3303,3371.3303,4493.263	34.266193,187.29613,187.29613,187.29613,219.64406,187.29613,187.29613,249.62573	0.022844128,0.062432043,0.062432043,0.062432043,0.069361284,0.062432043,0.062432043,0.07488772	130.99049377441406,114.30350494384766,114.30350494384766,114.30350494384766,113.7562026977539,114.30350494384766,114.30350494384766,113.3575668334961	0,0,8,8,594,594,1079,1488	0,3,2,0,1,1,0,2	0,3,4,0,2,2,0,4	0,152,14,0,29,29,0,6	1490.json
3917	9,9,7,7,7,7,7,8,8,8,8	0.8475144505500793,0.7200344800949097,0.23131674528121948,0.23113714158535004,0.14442738890647888,0.13361713290214539,0.1453830599784851,0.16008935868740082,0.15763238072395325,0.1706405133008957,0.1706405133008957	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	5.14,5.14,5.42,5.42,5.42,5.42,5.42,5.29,5.2,5.2,5.2	0,0,0,0,0,0,0,0,0,0,0	0,0,1,1,1,1,1,1,1,1,1	13.0,13.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0	3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0	20.0,20.0,19.0,18.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0	13.0,13.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0	16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0	33.0,33.0,26.0,25.0,25.0,25.0,25.0,28.0,28.0,29.0,29.0	132.0,132.0,106.27403,100.0,100.0,100.0,100.0,112.0,112.0,116.0,116.0	28.166668,28.166668,16.333332,15.166666,15.166666,15.166666,15.166666,19.5,19.5,19.5,19.5	3718.0002,3718.0002,1735.8091,1516.6666,1516.6666,1516.6666,1516.6666,2184.0,2184.0,2262.0,2262.0	206.55557,206.55557,96.43384,84.259254,84.259254,84.259254,84.259254,121.333336,121.333336,125.666664,125.666664	0.044,0.044,0.035424676,0.033333335,0.033333335,0.033333335,0.033333335,0.037333332,0.037333332,0.038666666,0.038666666	109.78439331054688,109.78439331054688,114.98294830322266,115.29936981201172,115.29936981201172,115.29936981201172,115.29936981201172,112.5468521118164,112.5468521118164,112.3643798828125,112.3643798828125	0,1,1,17,32,46,72,72,2779,3118,3149	0,1,5,1,1,4,2,4,0,2,0	0,2,12,2,2,8,4,7,0,4,0	0,25,90,7,21,58,4,34,8,26,0	1044.json
1280	3,3,3,3	0.07640761882066727,0.07640761882066727,0.07640761882066727,0.07640761882066727	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	9.0,9.0,9.0,9.0	2.0,2.0,2.0,2.0	10.0,10.0,10.0,10.0	2.0,2.0,2.0,2.0	11.0,11.0,11.0,11.0	12.0,12.0,12.0,12.0	41.51318,41.51318,41.51318,41.51318	4.5,4.5,4.5,4.5	186.80931,186.80931,186.80931,186.80931	10.378295,10.378295,10.378295,10.378295	0.013837727,0.013837727,0.013837727,0.013837727	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,0,142,142	0,0,0,0	0,0,0,0	0,0,0,0	333.json
692	6,6	0.2796310782432556,0.07201629877090454	1,1	1,1	2,2	2,2	8.57,8.57	1,1	1,1	25.0,25.0	5.0,9.0	36.0,40.0	8.0,12.0	30.0,34.0	44.0,52.0	215.90318,264.54807	20.0,16.666668	4318.0635,4409.135	239.89241,244.95193	0.07196773,0.08818269	113.56437683105469,112.50777435302734	0,52	0,1	0,2	0,39	284.json
27	3,3	0.7986206412315369,0.8983238935470581	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	9.0,9.0	2.0,2.0	10.0,10.0	2.0,2.0	11.0,11.0	12.0,12.0	41.51318,41.51318	4.5,4.5	186.80931,186.80931	10.378295,10.378295	0.013837727,0.013837727	133.59722900390625,133.59722900390625	0,0	0,2	0,4	0,27	220.json
