Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1884	10,10,10	0.538853645324707,0.538853645324707,0.538853645324707	1,1,1	1,1,1	2,2,2	2,2,2	4.08,4.08,4.08	2,2,2	0,0,0	0,1671,1671	0,0,0	0,0,0	0,0,0	4925.json
2299	3,3,3	0.30193307995796204,0.30193307995796204,0.30193307995796204	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	0,126,126	0,0,0	0,0,0	0,0,0	6491.json
855	22	0.003216266632080078	3	3	6	4	4.17	3	8	0	0	0	0	2184.json
1884	2,2,2	0.6008337736129761,0.6008337736129761,0.6008337736129761	0,0,0	0,0,0	0,0,0	1,1,1	0.0,0.0,0.0	0,0,0	0,0,0	0,1671,1671	0,0,0	0,0,0	0,0,0	4913.json
2353	3,3,3,3	0.5922548770904541,0.5922548770904541,0.5922548770904541,0.5922548770904541	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	0,0,0,0	0,90,180,1440	0,2,0,0	0,4,0,0	0,10,0,0	148.json
1440	15,25,20,8,8	0.0,0.0,0.0,0.0824001207947731,0.0824001207947731	5,9,1,0,0	4,5,1,0,0	9,14,2,0,0	3,4,2,1,1	2.07,4.63,4.27,3.97,3.97	1,2,2,1,1	17,21,16,1,1	0,470,624,996,1226	0,24,3,1,0	0,38,11,14,0	0,763,343,856,0	8739.json
760	4	0.13344155251979828	0	0	0	1	2.0	0	2	0	0	0	0	11120.json
2220	5,5,5	0.5286369919776917,0.5286369919776917,0.5286369919776917	0,0,0	0,0,0	0,0,0	1,1,1	1.96,1.96,1.96	0,0,0	2,2,2	0,6,6	0,0,0	0,0,0	0,0,0	3721.json
2285	7,7,7,5,5	0.17060983180999756,0.17060983180999756,0.17060983180999756,0.1609610766172409,0.1609610766172409	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2,2,2,2,2	23.39,23.39,23.39,2.99,2.99	1,1,1,1,1	2,2,2,2,2	0,112,112,226,1507	0,0,0,1,0	0,0,0,4,0	0,0,0,268,0	8365.json
2523	3,3,3	0.8590623140335083,0.8590623140335083,0.8590623140335083	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	0,0,0	0,350,1609	0,0,0	0,0,0	0,0,0	731.json
210	4	0.488751083612442	0	0	0	1	2.0	0	3	0	0	0	0	4623.json
