Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
888	3	0.7968969941139221	0	0	0	1	1.89	0	0	0	0	0	0	4925.json
443	5	0.26384931802749634	1	1	2	2	2.99	1	2	0	0	0	0	4281.json
3006	28,29,35,34,5,5	0.006773396860808134,0.0030670801643282175,5.312798311933875E-4,6.384848966263235E-4,0.00980643555521965,0.009889899753034115	5,5,6,6,0,0	5,5,6,6,0,0	10,10,12,12,0,0	7,7,8,8,1,1	5.54,5.59,5.31,5.32,3.58,3.58	4,4,4,4,0,0	7,9,13,12,2,2	0,0,0,0,52,273	0,4,8,0,4,2	0,7,10,1,41,4	0,97,237,45,1348,18	6491.json
1962	9,9	0.31680798530578613,0.31680798530578613	1,1	1,1	2,2	2,2	2.27,2.27	1,1	4,4	0,970	0,1	0,2	0,9	2184.json
275	3,3	0.9223106503486633,0.7283811569213867	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,1	0,41	0,1	0,2	0,49	4913.json
2835	7,7,7	0.5164281725883484,0.5164281725883484,0.5164281725883484	0,0,0	0,0,0	0,0,0	2,2,2	3.02,3.02,3.02	1,1,1	1,1,1	0,105,116	0,0,0	0,0,0	0,0,0	148.json
1619	3	8.120792917907238E-4	0	0	0	1	1.89	0	1	0	0	0	0	15388.json
650	3,3	0.38403642177581787,0.4029273986816406	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,14	0,1	0,2	0,6	14050.json
2170	26	1.7555183148942888E-4	2	5	7	6	2.73	2	5	0	0	0	0	12851.json
616	2,3	0.98905348777771,0.0865534171462059	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,1	0,299	0,3	0,6	0,58	14758.json
2790	7,7	0.6088982224464417,0.8264771699905396	1,1	1,1	2,2	2,2	5.11,5.11	1,1	3,3	0,7	0,4	0,8	0,16	8739.json
2772	8,7,4	0.09465278685092926,0.23149257898330688,0.116145558655262	1,1,0	1,1,0	2,2,0	2,2,1	2.4,2.56,2.0	1,1,0	0,0,1	0,23,2574	0,2,1	0,5,5	0,82,90	5081.json
2702	7,6	8.572206716053188E-4,3.936915018130094E-4	0,0	0,0	0,0	1,1	3.46,1.8	0,0	3,1	0,40	0,1	0,3	0,45	18737.json
1284	3	0.0732642412185669	0	0	0	1	1.89	0	0	0	0	0	0	11120.json
1691	3	0.06565389037132263	0	0	0	1	1.89	0	1	0	0	0	0	4428.json
2323	3	0.6176765561103821	0	0	0	1	1.89	0	1	0	0	0	0	8474.json
3865	3,3,3,3,3,4	0.8745490312576294,0.8550460338592529,0.8550460338592529,0.8550460338592529,0.8550460338592529,0.844282865524292	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,2.0	0,0,0,0,0,0	1,1,1,1,1,1	0,98,744,764,927,1057	0,2,0,0,0,2	0,4,0,0,0,3	0,12,0,0,0,28	15746.json
4340	3,3,3,3,3,3,3,5,5,5	0.758572518825531,0.758572518825531,0.10787563771009445,0.004390326794236898,0.003132300451397896,0.003132300451397896,0.003132300451397896,0.03061559423804283,0.03061559423804283,0.03061559423804283	0,0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,0,1,1,1	0,0,0,0,0,0,0,2,2,2	1,1,1,1,1,1,1,2,2,2	1.89,1.89,1.89,1.89,1.89,1.89,1.89,2.99,2.99,2.99	0,0,0,0,0,0,0,1,1,1	1,1,1,1,1,1,1,2,2,2	0,0,18,18,18,1218,1238,1626,1649,1664	0,0,3,1,1,0,0,3,0,0	0,0,6,2,2,0,0,4,0,0	0,0,38,18,4,0,0,61,0,0	3721.json
2065	3	0.01446948479861021	0	0	0	1	1.89	0	1	0	0	0	0	14017.json
571	3	0.7936010360717773	0	0	0	1	1.89	0	1	0	0	0	0	8365.json
1884	35,35,35,36	0.007025411818176508,0.0035515488125383854,0.003714346792548895,0.0036741134244948626	2,2,2,2	5,5,5,5	7,7,7,7	7,7,7,7	4.4,5.8,5.8,5.91	3,4,4,4	11,12,12,12	0,187,329,1539	0,22,1,1	0,45,2,1	0,329,19,50	731.json
2936	3,3,4,4,4,4	0.01763220690190792,0.018311088904738426,0.06987292319536209,0.06518274545669556,0.06331074237823486,0.06518274545669556	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	1.89,1.89,2.0,2.0,2.0,2.0	0,0,0,0,0,0	2,2,2,2,2,2	0,0,128,163,242,364	0,1,2,1,1,1	0,2,3,2,2,2	0,11,34,7,4,4	17454.json
86	12	0.0	0	0	0	1	4.71	0	8	0	0	0	0	4623.json
