Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1543	5,3,3,3,3	0.3653765916824341,0.930927038192749,0.935847282409668,0.930927038192749,0.9042691588401794	1,0,0,0,0	1,0,0,0,0	2,0,0,0,0	2,1,1,1,1	2.71,0.94,0.94,0.94,0.94	0,0,0,0,0	0,0,0,0,0	13.0,9.0,10.0,9.0,9.0	3.0,2.0,2.0,2.0,2.0	16.0,10.0,11.0,10.0,10.0	4.0,2.0,2.0,2.0,2.0	16.0,11.0,12.0,11.0,11.0	20.0,12.0,13.0,12.0,12.0	80.0,41.51318,46.604515,41.51318,41.51318	8.666667,4.5,5.0,4.5,4.5	693.3334,186.80931,233.02258,186.80931,186.80931	38.51852,10.378295,12.945699,10.378295,10.378295	0.026666667,0.013837727,0.015534839,0.013837727,0.013837727	121.6805648803711,133.59722900390625,132.9956512451172,133.59722900390625,133.59722900390625	0,0,62,331,596	0,2,1,1,1	0,6,2,2,2	0,108,6,6,7	2184.json
316	4	0.1346352994441986	0	0	0	1	1.66	0	1	14.0	7.0	19.0	7.0	21.0	26.0	114.20025	7.0	799.40173	44.41121	0.03806675	123.67467498779297	0	0	0	0	148.json
1377	6,6,6	0.6149967908859253,0.6149967908859253,0.619306206703186	1,1,1	1,1,1	2,2,2	2,2,2	1.37,1.37,1.37	1,1,1	2,2,2	22.0,22.0,22.0	5.0,5.0,5.0	34.0,34.0,34.0	9.0,9.0,9.0	27.0,27.0,27.0	43.0,43.0,43.0	204.46016,204.46016,204.46016	19.8,19.8,19.8	4048.311,4048.311,4048.311	224.90617,224.90617,224.90617	0.06815339,0.06815339,0.06815339	113.8475570678711,113.8475570678711,113.8475570678711	0,430,498	0,0,1	0,0,2	0,0,6	731.json
1507	3,3	0.18729713559150696,0.19338439404964447	0,0	0,0	0,0	1,1	0.94,0.94	0,0	1,1	15.0,15.0	3.0,3.0	22.0,22.0	3.0,3.0	18.0,18.0	25.0,25.0	104.24813,104.24813	7.5,7.5	781.86096,781.86096	43.43672,43.43672	0.034749378,0.034749378	128.8092498779297,128.8092498779297	0,560	0,1	0,2	0,13	183.json
1663	4,4,4	0.47547513246536255,0.47547513246536255,0.5239202976226807	0,0,0	0,0,0	0,0,0	1,1,1	1.0,1.0,1.0	0,0,0	0,0,0	13.0,13.0,14.0	2.0,2.0,2.0	16.0,16.0,17.0	4.0,4.0,4.0	15.0,15.0,16.0	20.0,20.0,21.0	78.13781,78.13781,84.0	13.0,13.0,14.0	1015.7915,1015.7915,1176.0	56.43286,56.43286,65.333336	0.026045937,0.026045937,0.028	125.64796447753906,125.64796447753906,125.27178192138672	0,717,1224	0,0,1	0,0,2	0,0,10	1808.json
2187	8,8,8,8,3,3,3,8,8,8	0.16294680535793304,0.16294680535793304,0.16294680535793304,0.1519732028245926,0.29341402649879456,0.2896466553211212,0.2896466553211212,0.15677359700202942,0.1764611452817917,0.1764611452817917	3,3,3,3,0,0,0,3,3,3	2,2,2,2,0,0,0,2,2,2	5,5,5,5,0,0,0,5,5,5	3,3,3,3,1,1,1,3,3,3	3.87,3.87,3.87,1.94,0.94,0.94,0.94,1.94,1.94,1.94	2,2,2,2,0,0,0,2,2,2	4,4,4,4,1,1,1,4,4,4	20.0,20.0,20.0,20.0,11.0,11.0,11.0,20.0,20.0,20.0	7.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0	41.0,41.0,41.0,41.0,15.0,15.0,15.0,41.0,41.0,41.0	14.0,14.0,14.0,14.0,5.0,5.0,5.0,14.0,14.0,14.0	27.0,27.0,27.0,27.0,15.0,15.0,15.0,27.0,27.0,27.0	55.0,55.0,55.0,55.0,20.0,20.0,20.0,55.0,55.0,55.0	261.51883,261.51883,261.51883,261.51883,78.13781,78.13781,78.13781,261.51883,261.51883,261.51883	20.0,20.0,20.0,20.0,6.875,6.875,6.875,20.0,20.0,20.0	5230.3765,5230.3765,5230.3765,5230.3765,537.19745,537.19745,537.19745,5230.3765,5230.3765,5230.3765	290.57648,290.57648,290.57648,290.57648,29.844303,29.844303,29.844303,290.57648,290.57648,290.57648	0.08717294,0.08717294,0.08717294,0.08717294,0.026045937,0.026045937,0.026045937,0.08717294,0.08717294,0.08717294	107.67721557617188,107.67721557617188,107.67721557617188,107.67721557617188,130.30841064453125,130.30841064453125,130.30841064453125,107.67721557617188,107.67721557617188,107.67721557617188	0,145,162,245,524,525,529,534,687,1240	0,0,0,0,3,1,0,6,2,0	0,0,0,0,11,2,0,7,4,0	0,0,0,36,160,3,0,171,12,0	1926.json
1628	3,3	0.2645385265350342,0.2645385265350342	0,0	0,0	0,0	1,1	0.94,0.94	0,0	1,1	15.0,15.0	7.0,7.0	18.0,18.0	8.0,8.0	22.0,22.0	26.0,26.0	115.94522,115.94522	8.571429,8.571429	993.8163,993.8163	55.212017,55.212017	0.038648408,0.038648408	128.2562713623047,128.2562713623047	0,682	0,0	0,0	0,0	431.json
1642	10,10,10,10,10,10,10,10,10,11,14	0.496160626411438,0.496160626411438,0.41998395323753357,0.37719258666038513,0.37719258666038513,0.37719258666038513,0.37719258666038513,0.39051055908203125,0.41112807393074036,0.4024908244609833,0.4744367003440857	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	2,2,2,2,2,2,2,2,2,2,3	2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.76,3.26	2,2,2,2,2,2,2,2,2,2,3	2,2,2,2,2,2,2,2,2,3,3	20.0,20.0,22.0,21.0,21.0,21.0,21.0,20.0,20.0,21.0,22.0	7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0	35.0,35.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,40.0,47.0	7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0	27.0,27.0,30.0,29.0,29.0,29.0,29.0,28.0,28.0,29.0,31.0	42.0,42.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,49.0,57.0	199.70528,199.70528,225.71696,223.46713,223.46713,223.46713,223.46713,221.13832,221.13832,238.04108,282.3892	10.0,10.0,12.375,11.8125,11.8125,11.8125,11.8125,11.25,11.25,11.8125,12.222223	1997.0527,1997.0527,2793.2476,2639.7056,2639.7056,2639.7056,2639.7056,2487.8062,2487.8062,2811.86,3451.4238	110.94737,110.94737,155.18042,146.65031,146.65031,146.65031,146.65031,138.21146,138.21146,156.21445,191.74577	0.06656843,0.06656843,0.07523899,0.07448904,0.07448904,0.07448904,0.07448904,0.07371277,0.07371277,0.07934702,0.094129734	105.69454193115234,105.69454193115234,105.05785369873047,105.10994720458984,105.10994720458984,105.10994720458984,105.10994720458984,105.16442108154297,105.16442108154297,103.23738861083984,98.2121810913086	0,40,246,415,514,696,749,899,902,1495,1497	0,0,2,1,0,0,1,2,1,3,12	0,0,4,2,0,0,2,4,2,5,20	0,0,39,6,0,0,1,21,6,37,135	1490.json
719	3	0.9074358344078064	0	0	0	1	0.94	0	1	13.0	4.0	15.0	5.0	17.0	20.0	81.74926	8.125	664.2127	36.900707	0.027249753	130.07347106933594	0	0	0	0	1044.json
21	3,3	0.40394312143325806,0.40394312143325806	0,0	0,0	0,0	1,1	0.94,0.94	0,0	2,2	12.0,12.0	3.0,3.0	16.0,16.0	4.0,4.0	15.0,15.0	20.0,20.0	78.13781,78.13781	8.0,8.0	625.1025,625.1025	34.727917,34.727917	0.026045937,0.026045937	130.30841064453125,130.30841064453125	0,11	0,0	0,0	0,0	333.json
