Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
5191	12,11,8,8,8,8,8,9,9	0.12466135621070862,0.05647411569952965,0.0347394123673439,0.034978028386831284,0.034978028386831284,0.03710414096713066,0.03710414096713066,0.045730505138635635,0.06516005843877792	1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1	2,2,2,2,2,2,2,2,2	2,2,2,2,2,2,2,2,2	8.92,9.2,5.07,5.07,5.07,5.07,5.07,4.79,4.79	0,0,0,0,0,0,0,1,1	11,11,11,11,11,11,11,11,11	29.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0	14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0	65.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,62.0	22.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0	43.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0	87.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,81.0	472.08502,439.31927,439.31927,439.31927,439.31927,439.31927,439.31927,444.67682,433.96173	22.785713,21.538462,21.538462,21.538462,21.538462,21.538462,21.538462,21.538462,20.461538	10756.794,9462.262,9462.262,9462.262,9462.262,9462.262,9462.262,9577.654,8879.524	597.5997,525.6812,525.6812,525.6812,525.6812,525.6812,525.6812,532.0919,493.30692	0.15736167,0.14643976,0.14643976,0.14643976,0.14643976,0.14643976,0.14643976,0.1482256,0.14465392	98.26728820800781,100.05091857910156,105.20986938476562,105.20986938476562,105.20986938476562,105.20986938476562,105.20986938476562,103.23875427246094,103.36558532714844	0,372,1567,2051,2057,2058,2058,2834,3913	0,1,0,1,1,1,1,2,1	0,4,0,2,2,2,2,3,2	0,82,28,8,0,10,0,6,9	4925.json
5191	3,3,3	0.79117751121521,0.7338162064552307,0.7338162064552307	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	11.0,11.0,11.0	4.0,3.0,3.0	12.0,12.0,12.0	5.0,5.0,5.0	15.0,14.0,14.0	17.0,17.0,17.0	66.41714,64.72504,64.72504	6.875,9.166666,9.166666	456.61783,593.3128,593.3128	25.367657,32.961823,32.961823	0.022139046,0.021575011,0.021575011	131.1535186767578,131.28770446777344,131.28770446777344	0,372,1567	0,1,0	0,2,0	0,11,0	6491.json
5191	3,3,3	0.1204436719417572,0.653750479221344,0.653750479221344	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	16.0,12.0,12.0	2.0,2.0,2.0	18.0,13.0,13.0	4.0,4.0,4.0	18.0,14.0,14.0	22.0,17.0,17.0	91.73836,64.72504,64.72504	16.0,12.0,12.0	1467.8137,776.70044,776.70044	81.545204,43.150024,43.150024	0.030579453,0.021575011,0.021575011	129.47398376464844,131.28770446777344,131.28770446777344	0,372,1567	0,2,0	0,4,0	0,25,0	2184.json
5191	5,3,7,6,6,6,7	0.8590818643569946,0.08604340255260468,0.2132260799407959,0.21654339134693146,0.1987871676683426,0.1987871676683426,0.20496909320354462	0,0,1,1,1,1,1	0,0,1,1,1,1,1	0,0,2,2,2,2,2	1,1,2,2,2,2,2	3.92,3.77,6.57,5.5,5.5,5.5,5.11	0,0,0,0,0,0,1	3,3,5,5,5,5,5	17.0,15.0,25.0,25.0,25.0,25.0,25.0	7.0,5.0,10.0,10.0,10.0,10.0,10.0	30.0,21.0,42.0,42.0,42.0,42.0,43.0	9.0,5.0,12.0,12.0,12.0,12.0,12.0	24.0,20.0,35.0,35.0,35.0,35.0,35.0	39.0,26.0,54.0,54.0,54.0,54.0,55.0	178.81354,112.37013,276.9813,276.9813,276.9813,276.9813,282.11057	10.928572,7.5,15.000001,15.000001,15.000001,15.000001,15.000001	1954.1765,842.776,4154.7197,4154.7197,4154.7197,4154.7197,4231.6587	108.56536,46.82089,230.81776,230.81776,230.81776,230.81776,235.09215	0.059604514,0.03745671,0.092327096,0.092327096,0.092327096,0.092327096,0.094036855	117.72811889648438,128.41912841796875,109.77171325683594,112.26895904541016,112.26895904541016,112.26895904541016,109.67630004882812	0,372,753,1567,2051,2057,2834	0,1,9,0,1,1,2	0,6,12,0,2,2,3	0,79,177,29,8,0,6	4913.json
4582	29,27	0.01264420710504055,0.015338744036853313	2,2	3,3	5,5	4,4	2.55,4.64	2,2	12,12	30.0,30.0	17.0,17.0	115.0,115.0	39.0,39.0	47.0,47.0	154.0,154.0	855.4067,855.4067	34.411766,34.411766	29436.055,29436.055	1635.3364,1635.3364	0.28513557,0.28513557	80.4216079711914,81.57923889160156	0,958	0,0	0,0	0,430	148.json
5191	3,3	0.924047589302063,0.924047589302063	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	9.0,9.0	2.0,2.0	10.0,10.0	2.0,2.0	11.0,11.0	12.0,12.0	41.51318,41.51318	4.5,4.5	186.80931,186.80931	10.378295,10.378295	0.013837727,0.013837727	133.59722900390625,133.59722900390625	0,1567	0,0	0,0	0,0	731.json
4214	3,3,3,3	0.09908314794301987,0.14409072697162628,0.15414245426654816,0.15414245426654816	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	9.0,10.0,11.0,11.0	2.0,2.0,2.0,2.0	10.0,11.0,12.0,12.0	2.0,2.0,2.0,2.0	11.0,12.0,13.0,13.0	12.0,13.0,14.0,14.0	41.51318,46.604515,51.806156,51.806156	4.5,5.0,5.5,5.5	186.80931,233.02258,284.93387,284.93387	10.378295,12.945699,15.829659,15.829659	0.013837727,0.015534839,0.01726872,0.01726872	133.59722900390625,132.9956512451172,132.4454345703125,132.4454345703125	0,170,200,590	0,1,1,0	0,2,2,0	0,13,7,0	183.json
3372	3	0.35396045446395874	0	0	0	1	3.77	0	0	12.0	2.0	13.0	4.0	14.0	17.0	64.72504	12.0	776.70044	43.150024	0.021575011	131.28770446777344	0	0	0	0	1808.json
1311	4,6,3	0.004847800824791193,0.02453959733247757,0.0034552444703876972	0,0,0	0,0,0	0,0,0	1,1,1	9.8,10.99,3.77	0,0,0	7,10,9	22.0,22.0,21.0	5.0,5.0,3.0	35.0,42.0,39.0	7.0,6.0,4.0	27.0,27.0,24.0	42.0,48.0,43.0	199.70528,228.2346,197.15338	15.4,13.200001,14.0	3075.4612,3012.697,2760.1475	170.85895,167.37206,153.34152	0.06656843,0.0760782,0.065717794	120.76844787597656,113.50555419921875,125.49577331542969	0,125,686	0,5,1	0,8,3	0,93,39	1926.json
486	3	0.658504068851471	0	0	0	1	3.77	0	1	11.0	3.0	14.0	4.0	14.0	18.0	68.53239	7.3333335	502.57086	27.920603	0.022844128	130.99049377441406	0	0	0	0	5530.json
