Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1416	8,8,3	0.7153182625770569,0.7616723775863647,0.6516383290290833	2,2,0	1,1,0	3,3,0	2,2,1	3.12,6.24,1.89	1,1,0	2,2,1	0,1,7	0,8,3	0,16,12	0,31,97	4281.json
1063	3	0.7327319979667664	0	0	0	1	1.89	0	2	0	0	0	0	6491.json
172	3,3,3,3	0.07440588623285294,0.07440588623285294,1.5418586554005742E-4,1.5418586554005742E-4	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,12,14,30	0,0,1,0	0,0,2,0	0,0,20,0	4913.json
4372	6,6,6	0.47703471779823303,0.46293196082115173,0.46293196082115173	0,0,0	1,1,1	1,1,1	2,2,2	5.5,2.75,2.75	1,1,1	1,1,1	0,1383,2434	0,0,0	0,0,0	0,15,0	148.json
6061	12,12,12,11,10,9,9,10,10,10,10,10,13,16,16,21,21	0.006365999113768339,0.006999047473073006,0.014203177765011787,0.07179621607065201,0.054101623594760895,0.008300956338644028,0.008300956338644028,0.1351763904094696,0.1351763904094696,0.1351763904094696,0.1351763904094696,0.1351763904094696,0.034969937056303024,0.032313279807567596,0.032313279807567596,0.0,0.0	3,3,3,3,3,3,3,3,3,3,3,3,5,7,7,7,7	2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,6,6	5,5,5,5,5,5,5,5,5,5,5,5,9,12,12,13,13	3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,7,7	1.44,2.89,2.89,2.86,2.8,2.67,2.67,3.49,3.49,3.49,3.49,3.49,2.46,2.4,2.4,3.18,3.18	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4	14,14,12,9,9,7,7,6,6,6,6,6,8,9,9,14,14	0,539,623,752,775,829,1199,1203,1746,1746,3072,4120,4194,4343,5246,5410,5442	0,0,2,1,1,1,1,6,0,0,0,0,7,4,0,19,5	0,0,4,3,3,5,2,9,0,0,0,0,11,4,0,33,10	0,56,30,105,115,93,2,147,0,0,0,0,147,76,0,521,55	8739.json
160	3,3	0.021729720756411552,0.023773077875375748	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,2	0,2	0,4	0,24	5081.json
1416	3,3	0.07132692635059357,0.07075484097003937	0,0	0,0	0,0	1,1	3.77,1.89	0,0	1,1	0,14	0,3	0,6	0,16	4428.json
1927	4,4	0.09710854291915894,0.09710854291915894	0,0	0,0	0,0	1,1	2.0,2.0	0,0	2,2	0,1110	0,0	0,0	0,0	8474.json
42	3,3	0.24291187524795532,0.22202907502651215	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,3	0,1	0,2	0,8	3721.json
679	10,10	0.39074593782424927,0.39074593782424927	1,1	1,1	2,2	2,2	2.15,2.15	1,1	7,7	0,0	0,0	0,0	0,0	8365.json
97	33	0.0	7	6	13	9	2.36	2	19	0	0	0	0	731.json
1110	12,12,12	0.1350882351398468,0.1373700052499771,0.07164061069488525	3,3,4	2,2,2	5,5,6	4,4,4	3.77,3.77,3.77	2,2,2	3,3,4	0,421,422	0,1,1	0,2,2	0,4,18	4623.json
4372	3,3,3	0.5704091787338257,0.5704091787338257,0.5704091787338257	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	0,1383,2434	0,0,0	0,0,0	0,0,0	183.json
1081	3	0.7796823978424072	0	0	0	1	1.89	0	0	0	0	0	0	1808.json
4077	3,3,3,3	0.21662215888500214,0.21662215888500214,0.21662215888500214,0.09336699545383453	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,1088,2135,2557	0,0,0,1	0,0,0,2	0,0,0,3	5782.json
6426	3,3,3,3,3,3,3,3,3	0.07993355393409729,0.07993355393409729,0.2380453497171402,0.2332887053489685,0.22606810927391052,0.2176891416311264,0.2176891416311264,0.2221817523241043,0.2221817523241043	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,3.77,3.77,1.89,1.89	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,46,1323,2110,2111,2111,3437,4485	0,0,1,1,1,3,0,0,0	0,0,2,2,2,6,0,0,0	0,0,42,14,6,17,0,10,0	9386.json
834	3,3	0.5319919586181641,0.8916972279548645	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,17	0,2	0,4	0,15	1926.json
1063	3,3	0.16969284415245056,0.16969284415245056	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,0	0,0	0,0	0,0	6513.json
176	5,5	0.002425794256851077,0.0026055099442601204	0,0	0,0	0,0	1,1	3.58,3.58	0,0	10,10	0,6	0,1	0,2	0,5	4016.json
4077	3,3,3,3	0.8083541989326477,0.8083541989326477,0.8083541989326477,0.8168466687202454	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,1088,2135,4067	0,0,0,1	0,0,0,2	0,0,0,12	5586.json
1077	3	0.2080446481704712	0	0	0	1	1.89	0	1	0	0	0	0	6428.json
2316	3,3,3,3	0.23548179864883423,0.278764933347702,0.2771620452404022,0.2771620452404022	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,1.89,1.89,1.89	0,0,0,0	1,1,1,1	0,10,100,375	0,2,1,0	0,4,2,0	0,21,5,0	6348.json
42	3,3	0.23845267295837402,0.19835227727890015	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,3	0,1	0,2	0,8	3663.json
5626	35,30,30,30,30,30,31,31,34,34,40,34,34	2.405414415989071E-4,3.8704293547198176E-4,2.2196880308911204E-4,1.569507730891928E-4,1.6633985796943307E-4,1.6633985796943307E-4,1.7620704602450132E-4,1.7620704602450132E-4,0.0,0.0,0.0,0.0,0.0	7,7,7,7,7,7,7,7,7,7,8,7,7	11,11,11,11,11,11,11,11,11,11,14,11,11	18,18,18,18,18,18,18,18,18,18,22,18,18	12,11,11,11,11,11,11,11,11,11,14,11,11	5.42,4.63,4.63,4.63,4.63,4.63,4.55,4.55,4.71,4.71,5.21,4.71,4.71	6,5,5,5,5,5,5,5,5,5,6,5,5	15,14,14,14,14,14,14,14,23,23,26,17,17	0,290,346,347,1310,1360,1391,2637,2983,3685,3728,4655,5616	0,23,3,3,1,0,4,0,3,0,9,3,5	0,52,6,6,2,0,7,0,3,0,12,15,10	0,279,55,15,6,0,24,0,371,0,247,490,20	9518.json
2554	3,3	0.9413757920265198,0.9413757920265198	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,616	0,0	0,0	0,0	415.json
6426	3,3,3,3,3,3,3,3,3	0.10874829441308975,0.10874829441308975,0.31182125210762024,0.30618295073509216,0.29758191108703613,0.28753697872161865,0.28753697872161865,0.2929314970970154,0.2929314970970154	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	1.89,1.89,1.89,1.89,1.89,3.77,3.77,1.89,1.89	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	0,0,46,1323,2110,2111,2111,3437,4485	0,0,1,1,1,3,0,0,0	0,0,2,2,2,6,0,0,0	0,0,42,14,6,17,0,10,0	9358.json
892	3,3	0.080237478017807,0.06892883777618408	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,0	0,1	0,2	0,10	7397.json
42	3	0.2483699470758438	0	0	0	1	1.89	0	1	0	0	0	0	3421.json
844	9,6,6	0.7383702397346497,0.688837468624115,0.5569008588790894	2,1,1	2,1,1	4,2,2	3,2,2	3.77,2.75,2.75	2,1,1	6,2,3	0,60,534	0,1,3	0,6,6	0,123,26	4374.json
2732	3,3	0.8516380786895752,0.8505394458770752	0,0	0,0	0,0	1,1	3.77,1.89	0,0	0,0	0,795	0,0	0,0	0,16	431.json
2306	3,3,3	0.2473563551902771,0.24587251245975494,0.24587251245975494	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	1,1,1	0,90,365	0,1,0	0,2,0	0,5,0	6171.json
42	3,3	0.255188912153244,0.2483699470758438	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,3	0,1	0,2	0,8	3796.json
42	3	0.7498134970664978	0	0	0	1	1.89	0	0	0	0	0	0	3575.json
2316	8,8,8	0.30188697576522827,0.30188697576522827,0.288191556930542	2,2,2	2,2,2	4,4,4	2,2,2	2.83,2.83,2.83	1,1,1	0,0,0	0,375,545	0,0,1	0,0,2	0,0,4	6239.json
892	3,3	0.10181359946727753,0.08775418251752853	0,0	0,0	0,0	1,1	1.89,1.89	0,0	1,1	0,0	0,1	0,2	0,10	7359.json
