Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1583	3,3,3,20,6	0.7033023238182068,0.7578991055488586,0.7578991055488586,0.06649097800254822,0.43009182810783386	0,0,0,5,1	0,0,0,4,1	0,0,0,9,2	1,1,1,6,2	3.77,3.77,3.77,16.8,5.5	0,0,0,5,1	1,1,1,6,1	0,621,733,1238,1291	0,1,0,18,1	0,2,0,19,16	0,11,0,592,508	4925.json
733	11,12,21,20	0.012377242557704449,0.015047348104417324,4.377994337119162E-4,3.8554726052097976E-4	4,4,6,6	2,2,4,4	6,6,10,10	3,3,5,5	8.42,10.07,11.7,10.61	1,1,2,2	8,8,12,12	0,1,333,519	0,2,14,1	0,4,19,2	0,39,284,14	4281.json
1706	3,3,5,5	0.6174572706222534,0.6174572706222534,0.17812713980674744,0.1741589903831482	0,0,1,0	0,0,1,0	0,0,2,0	1,1,2,1	3.77,3.77,5.99,5.99	0,0,1,1	0,0,1,1	0,856,1199,1526	0,0,3,1	0,0,4,2	0,0,99,10	6491.json
1685	3,3	0.19741028547286987,0.19741028547286987	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,835	0,0	0,0	0,0	2184.json
607	5,3	0.046202972531318665,0.06939432770013809	0,0	0,0	0,0	1,1	9.33,3.77	0,0	0,0	0,390	0,1	0,2	0,18	4913.json
2179	16,17,17,17	0.024485832080245018,0.006856628693640232,0.024767931550741196,0.024767931550741196	1,1,1,1	2,2,2,2	3,3,3,3	4,4,4,4	6.86,7.14,7.14,7.14	2,2,2,2	3,4,4,4	0,130,1256,1328	0,2,2,0	0,3,4,0	0,136,47,0	11879.json
22	11	0.0	0	0	0	1	6.34	1	17	0	0	0	0	12851.json
2307	14,23,15,15,27,27,29,30,30,30,24,26	0.06443148851394653,0.04255190119147301,0.08620762079954147,0.08620762079954147,0.0015898642595857382,0.0015898642595857382,0.0017879646038636565,0.0,0.0,0.0,0.0,0.0	3,1,1,1,1,1,1,1,1,1,1,1	2,1,1,1,1,1,1,1,1,1,1,1	5,2,2,2,2,2,2,2,2,2,2,2	6,5,5,5,8,8,8,8,8,8,6,6	14.56,13.92,10.72,10.72,10.37,10.37,10.69,10.8,10.8,10.8,9.98,11.15	5,4,3,3,3,3,3,3,3,3,3,3	4,6,5,5,17,17,18,18,18,18,16,16	0,2,21,27,41,118,223,874,1245,1457,1639,1639	0,14,13,0,15,0,4,9,1,0,2,4	0,18,35,0,15,0,4,17,2,0,10,6	0,312,316,0,441,0,78,198,19,0,176,58	8739.json
1664	3,3	0.5910856127738953,0.5910856127738953	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,814	0,0	0,0	0,0	11120.json
2382	10,10,10,10,10,10	0.005756656639277935,0.005756656639277935,0.005756656639277935,0.005756656639277935,0.005756656639277935,0.01741473190486431	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	1,1,1,1,1,1	3.2,3.2,3.2,3.2,3.2,3.2	0,0,0,0,0,0	12,12,12,12,12,6	0,1,1,1,1532,2094	0,0,0,0,0,7	0,0,0,0,0,14	0,0,0,0,0,110	4428.json
915	3,3,3	0.8459022641181946,0.8459022641181946,0.8238587379455566	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	0,43,65	0,0,0	0,0,0	0,0,6	8474.json
870	3,3,3	0.5888761281967163,0.5888761281967163,0.31937918066978455	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	0,20,71	0,0,1	0,0,2	0,0,6	3721.json
715	3	0.8238587379455566	0	0	0	1	3.77	0	0	0	0	0	0	8365.json
852	3,3	0.6429855227470398,0.6429855227470398	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,2	0,0	0,0	0,0	731.json
1991	14,15,16,16,16,16	0.1100587546825409,0.06314442306756973,0.015181390568614006,0.015181390568614006,0.015181390568614006,0.014815215021371841	4,4,7,7,7,7	4,4,7,7,7,7	8,8,14,14,14,14	5,5,7,7,7,7	6.57,6.44,7.86,7.86,7.86,7.86	2,2,2,2,2,2	6,6,7,7,7,7	0,384,659,1141,1261,1437	0,2,4,0,0,5	0,3,7,0,0,10	0,23,82,0,0,64	4623.json
1097	6,6,6	0.05727434158325195,0.05727434158325195,0.05969144031405449	2,2,2	1,1,1	3,3,3	2,2,2	10.07,10.07,10.07	0,0,0	3,3,3	0,246,457	0,0,2	0,0,4	0,0,2	183.json
912	3,3	0.25319957733154297,0.25319957733154297	0,0	0,0	0,0	1,1	3.77,3.77	0,0	1,1	0,62	0,0	0,0	0,0	11890.json
1072	7,7,7	0.16626645624637604,0.16626645624637604,0.16626645624637604	1,1,1	1,1,1	2,2,2	2,2,2	5.11,5.11,5.11	1,1,1	3,3,3	0,16,221	0,0,0	0,0,0	0,0,0	5782.json
1706	3,3,3	0.7825507521629333,0.7825507521629333,0.7825507521629333	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	0,3,856	0,0,0	0,0,0	0,0,0	9386.json
747	3	0.20634004473686218	0	0	0	1	3.77	0	0	0	0	0	0	1926.json
10	18,18	0.0829404890537262,0.0829404890537262	6,6	4,4	10,10	7,7	10.96,10.96	4,4	4,4	0,0	0,0	0,0	0,0	11181.json
1072	3,3,3	0.7594778537750244,0.7594778537750244,0.7594778537750244	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	0,0,0	0,16,221	0,0,0	0,0,0	0,0,0	5530.json
507	23	0.0026649299543350935	1	6	7	7	5.21	2	6	0	0	0	0	6513.json
795	13	0.008979232981801033	1	1	2	2	15.64	1	11	0	0	0	0	4016.json
478	5	0.13774007558822632	2	1	3	2	5.99	1	3	0	0	0	0	5586.json
