Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1023	3	0.9206726551055908	0	0	0	1	1.89	0	0	15.0	4.0	18.0	4.0	19.0	22.0	93.45441	7.5	700.9081	38.93934	0.03115147	129.37762451171875	0	0	0	0	4925.json
1023	3	0.9525805115699768	0	0	0	1	1.89	0	0	10.0	3.0	11.0	3.0	13.0	14.0	51.806156	5.0	259.0308	14.390599	0.01726872	132.4454345703125	0	0	0	0	4913.json
92	4	0.6678951382637024	0	0	0	1	1.73	0	1	12.0	3.0	15.0	4.0	15.0	19.0	74.23092	8.0	593.84735	32.99152	0.024743639	125.91468811035156	0	0	0	0	148.json
1083	5,5	0.2834603786468506,0.2834603786468506	2,2	2,2	4,4	3,3	1.96,1.96	0,0	2,2	19.0,19.0	7.0,7.0	37.0,37.0	15.0,15.0	26.0,26.0	52.0,52.0	244.42288,244.42288	20.357141,20.357141	4975.751,4975.751	276.4306,276.4306	0.0814743,0.0814743	115.64282989501953,115.64282989501953	0,20	0,0	0,0	0,0	5081.json
370	10	0.0012465545441955328	1	1	2	3	4.08	2	5	30.0	8.0	66.0	17.0	38.0	83.0	435.578	31.875	13884.049	771.33606	0.14519267	101.40941619873047	0	0	0	0	3721.json
673	4	0.9391267895698547	0	0	0	1	2.0	0	0	12.0	3.0	14.0	4.0	15.0	18.0	70.32403	8.0	562.5922	31.255123	0.023441343	126.19583892822266	0	0	0	0	731.json
433	17	3.326337318867445E-4	4	5	9	5	4.65	3	10	22.0	17.0	80.0	37.0	39.0	117.0	618.3921	23.941175	14805.033	822.50183	0.2061307	90.5309066772461	0	0	0	0	183.json
817	3,9,55	0.8040055632591248,0.49389970302581787,0.0	0,0,5	0,2,19	0,2,24	1,3,20	1.89,2.95,7.17	0,1,5	0,3,14	10.0,23.0,48.0	3.0,7.0,39.0	11.0,46.0,257.0	3.0,12.0,98.0	13.0,30.0,87.0	14.0,58.0,355.0	51.806156,284.59964,2287.2449	5.0,19.714287,60.307693	259.0308,5610.6787,137938.47	14.390599,311.70438,7663.248	0.01726872,0.094866544,0.76241493	132.4454345703125,105.32933044433594,61.2586669921875	0,0,220	0,7,53	0,8,59	0,170,2136	1808.json
1148	4,4,4	0.007177149411290884,0.011952393688261509,0.011972584761679173	1,1,1	1,1,1	2,2,2	2,2,2	2.0,2.0,2.0	0,0,0	1,1,1	21.0,21.0,22.0	7.0,7.0,7.0	28.0,28.0,29.0	11.0,11.0,11.0	28.0,28.0,29.0	39.0,39.0,40.0	187.48685,187.48685,194.31924	16.5,16.5,17.285713	3093.533,3093.533,3358.9468	171.86295,171.86295,186.60815	0.062495615,0.062495615,0.06477308	120.86674499511719,120.86674499511719,120.68061828613281	0,85,299	0,2,1	0,4,2	0,12,6	1926.json
1171	2,2,2,2,2,2,2,2,2,3,3,3	0.9760151505470276,0.9602776765823364,0.9639990329742432,0.9639990329742432,0.9983713030815125,0.9983713030815125,0.9983713030815125,0.9983713030815125,0.9983713030815125,0.7751151323318481,0.7751151323318481,0.7751151323318481	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1,1	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,1.89,1.89	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,1,1	13.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0	3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0	15.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0	3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0	16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,8.0,11.0,11.0,11.0	18.0,19.0,19.0,19.0,9.0,9.0,9.0,9.0,9.0,14.0,14.0,14.0	72.0,76.0,76.0,76.0,27.0,27.0,27.0,27.0,27.0,48.432045,48.432045,48.432045	6.5,6.5,6.5,6.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5	468.0,494.0,494.0,494.0,94.5,94.5,94.5,94.5,94.5,217.9442,217.9442,217.9442	26.0,27.444445,27.444445,27.444445,5.25,5.25,5.25,5.25,5.25,12.108011,12.108011,12.108011	0.024,0.025333334,0.025333334,0.025333334,0.009,0.009,0.009,0.009,0.009,0.016144015,0.016144015,0.016144015	137.30235290527344,137.02120971679688,137.02120971679688,137.02120971679688,142.4026641845703,142.4026641845703,142.4026641845703,142.4026641845703,142.4026641845703,132.79563903808594,132.79563903808594,132.79563903808594	0,4,203,587,590,590,632,632,646,651,691,784	0,1,1,0,1,0,0,0,0,1,0,0	0,2,2,0,2,0,0,0,0,2,0,0	0,6,5,0,77,0,0,0,0,22,0,0	5530.json
