Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1849	6,6	0.1468554437160492,0.4950713515281677	2,2	1,1	3,3	2,2	4.0,4.0	1,1	2,2	20.0,19.0	7.0,6.0	32.0,29.0	11.0,9.0	27.0,25.0	43.0,38.0	204.46016,176.46652	15.714285,14.25	3212.9453,2514.648	178.49696,139.70267	0.06815339,0.058822174	113.8475570678711,114.61321258544922	0,21	0,2	0,4	0,31	148.json
1635	3	0.034744106233119965	0	0	0	1	3.77	0	2	16.0	3.0	26.0	4.0	19.0	30.0	127.43783	10.666667	1359.3369	75.518715	0.042479277	127.76480865478516	0	0	0	0	731.json
1828	3	0.6326672434806824	0	0	0	1	3.77	0	1	10.0	3.0	13.0	4.0	13.0	17.0	62.907475	6.666667	419.38318	23.299065	0.020969158	131.43582153320312	0	0	0	0	183.json
1849	3	0.15128472447395325	0	0	0	1	3.77	0	1	17.0	4.0	19.0	5.0	21.0	24.0	105.41562	10.625	1120.0409	62.224495	0.03513854	128.7513427734375	0	0	0	0	415.json
1653	3,3,3	0.5301458239555359,0.4192638397216797,0.3756285309791565	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	10.0,10.0,10.0	2.0,2.0,2.0	13.0,13.0,13.0	2.0,2.0,2.0	12.0,12.0,12.0	15.0,15.0,15.0	53.77444,53.77444,53.77444	5.0,5.0,5.0	268.8722,268.8722,268.8722	14.937344,14.937344,14.937344	0.017924814,0.017924814,0.017924814	132.25152587890625,132.25152587890625,132.25152587890625	0,2,4	0,1,1	0,2,2	0,10,11	431.json
1849	4,3,3	0.3269307315349579,0.27985990047454834,0.3031156361103058	0,0,0	0,0,0	0,0,0	1,1,1	4.0,3.77,3.77	0,0,0	2,2,2	21.0,16.0,16.0	4.0,3.0,3.0	32.0,21.0,21.0	6.0,4.0,4.0	25.0,19.0,19.0	38.0,25.0,25.0	176.46652,106.19819,106.19819	15.75,10.666667,10.666667	2779.3477,1132.7808,1132.7808	154.4082,62.932266,62.932266	0.058822174,0.035399396,0.035399396	121.41175079345703,128.712890625,128.712890625	0,30,438	0,1,1	0,3,2	0,103,9	1044.json
1849	3	0.6873442530632019	0	0	0	1	3.77	0	0	11.0	5.0	15.0	7.0	16.0	22.0	88.0	7.7	677.6	37.644444	0.029333333	129.69032287597656	0	0	0	0	333.json
1849	3	0.8607852458953857	0	0	0	1	3.77	0	0	9.0	2.0	10.0	2.0	11.0	12.0	41.51318	4.5	186.80931	10.378295	0.013837727	133.59722900390625	0	0	0	0	220.json
1849	16,14	0.0,0.02014121226966381	6,6	5,5	11,11	6,6	6.91,5.39	5,5	12,8	33.0,26.0	15.0,7.0	103.0,75.0	31.0,23.0	48.0,33.0	134.0,98.0	748.38495,494.35062	34.1,42.714287	25519.926,21115.834	1417.7737,1173.1019	0.24946165,0.16478354	90.2908935546875,94.61039733886719	0,34	0,4	0,10	0,283	307.json
1920	4	0.5482996106147766	0	0	0	1	1.89	0	3	12.0	3.0	20.0	3.0	15.0	23.0	89.85848	6.0	539.1509	29.952827	0.029952828	124.92120361328125	0	0	0	0	1182.json
1849	13	3.661945229396224E-4	0	0	0	3	5.84	1	8	19.0	9.0	51.0	18.0	28.0	69.0	331.7075	19.0	6302.4424	350.13568	0.110569164	98.57569885253906	0	0	0	0	530.json
1849	10,9	0.03243733197450638,0.03154372051358223	3,3	2,2	5,5	3,3	7.33,7.54	2,2	6,6	21.0,21.0	7.0,7.0	44.0,44.0	17.0,17.0	28.0,28.0	61.0,61.0	293.24866,293.24866	25.5,25.5	7477.841,7477.841	415.4356,415.4356	0.09774955,0.09774955	103.46681213378906,105.17365264892578	0,132	0,0	0,0	0,4	526.json
1849	3	0.2712157070636749	0	0	0	1	3.77	0	2	15.0	3.0	20.0	4.0	18.0	24.0	100.0782	10.0	1000.782	55.599	0.0333594	129.0215301513672	0	0	0	0	403.json
1849	8,8	0.05213688686490059,0.05213688686490059	1,1	1,1	2,2	2,2	6.24,6.24	1,1	2,2	18.0,18.0	6.0,6.0	34.0,34.0	12.0,12.0	24.0,24.0	46.0,46.0	210.90826,210.90826	18.0,18.0	3796.3486,3796.3486	210.90826,210.90826	0.070302755,0.070302755	109.02564239501953,109.02564239501953	0,14	0,0	0,0	0,0	577.json
1849	4,4	1.3075547758489847E-4,3.0192488338798285E-4	0,0	0,0	0,0	1,1	4.0,4.0	0,0	2,2	14.0,13.0	8.0,8.0	26.0,24.0	12.0,12.0	22.0,21.0	38.0,36.0	169.4584,158.12343	10.5,9.75	1779.3132,1541.7034	98.85074,85.650185	0.056486133,0.05270781	121.62247467041016,121.98247528076172	0,34	0,1	0,2	0,5	250.json
1835	5,6,6,6,6,7,3	0.005512175150215626,0.8541846871376038,0.8572403192520142,0.4618226885795593,0.8572403192520142,0.2875444293022156,0.18909169733524323	2,1,1,1,1,1,0	1,1,1,1,1,1,0	3,2,2,2,2,2,0	2,2,2,2,2,2,1	3.2,5.5,5.5,5.5,5.5,5.11,3.77	1,1,1,1,1,1,0	2,1,1,2,1,2,1	22.0,16.0,17.0,18.0,17.0,18.0,13.0	7.0,4.0,4.0,4.0,4.0,5.0,3.0	37.0,22.0,23.0,27.0,23.0,27.0,16.0	13.0,6.0,6.0,7.0,6.0,8.0,5.0	29.0,20.0,21.0,22.0,21.0,23.0,16.0	50.0,28.0,29.0,34.0,29.0,35.0,21.0	242.89906,121.013985,127.377205,151.62068,127.377205,158.32466,84.0	20.428572,12.0,12.75,15.75,12.75,14.400001,10.833333	4962.081,1452.1678,1624.0593,2388.0256,1624.0593,2279.8752,910.0	275.67117,80.675995,90.22552,132.66809,90.22552,126.65974,50.555557	0.08096635,0.040337995,0.042459067,0.050540227,0.042459067,0.052774888,0.028	115.90534973144531,116.57478332519531,116.30830383300781,115.40231323242188,116.30830383300781,112.68008422851562,129.93223571777344	0,2,3,3,3,134,193	0,5,1,1,1,1,1	0,8,2,2,2,2,6	0,142,1,25,25,32,63	927.json
1849	3,3	0.8675714731216431,0.8328880071640015	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	10.0,9.0	2.0,2.0	11.0,10.0	2.0,2.0	12.0,11.0	13.0,12.0	46.604515,41.51318	5.0,4.5	233.02258,186.80931	12.945699,10.378295	0.015534839,0.013837727	132.9956512451172,133.59722900390625	0,116	0,2	0,4	0,10	225.json
1821	8,8,8,8,8,9	0.5768817067146301,0.5768817067146301,0.5314396619796753,0.5314396619796753,0.5314396619796753,0.38587966561317444	2,2,2,2,2,2	2,2,2,2,2,2	4,4,4,4,4,4	2,2,2,2,2,2	5.9,5.9,5.9,5.9,5.9,5.99	1,1,1,1,1,1	2,2,2,2,2,3	21.0,21.0,22.0,22.0,22.0,23.0	8.0,8.0,8.0,8.0,8.0,9.0	34.0,34.0,38.0,38.0,38.0,42.0	12.0,12.0,12.0,12.0,12.0,14.0	29.0,29.0,30.0,30.0,30.0,32.0	46.0,46.0,50.0,50.0,50.0,56.0	223.46713,223.46713,245.34451,245.34451,245.34451,280.0	15.75,15.75,16.5,16.5,16.5,17.88889	3519.6074,3519.6074,4048.1846,4048.1846,4048.1846,5008.889	195.53375,195.53375,224.89914,224.89914,224.89914,278.2716	0.07448904,0.07448904,0.08178151,0.08178151,0.08178151,0.093333334	108.72486877441406,108.72486877441406,108.23919677734375,108.23919677734375,108.23919677734375,105.64405822753906	0,79,309,447,447,504	0,0,2,0,0,1	0,0,4,0,0,1	0,2,56,0,0,53	774.json
1635	9	0.09330439567565918	0	0	0	1	9.98	1	2	21.0	3.0	46.0	5.0	24.0	51.0	233.83308	17.5	4092.0789	227.3377	0.07794436	106.81100463867188	0	0	0	0	719.json
1477	3,3	0.04005980119109154,0.5467144250869751	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	11.0,11.0	5.0,3.0	17.0,15.0	5.0,3.0	16.0,14.0	22.0,18.0	88.0,68.53239	5.5,5.5	484.0,376.92813	26.88889,20.940453	0.029333333,0.022844128	129.69032287597656,130.99049377441406	0,11	0,2	0,4	0,46	786.json
1732	10,10	0.20541425049304962,0.09897430986166	1,1	1,1	2,2	3,3	8.2,8.2	2,2	6,7	26.0,27.0	9.0,9.0	48.0,52.0	13.0,14.0	35.0,36.0	61.0,66.0	312.88626,341.21506	18.777777,21.0	5875.308,7165.516	326.406,398.08423	0.10429542,0.11373835	103.12975311279297,102.6790542602539	0,0	0,1	0,2	0,17	70.json
1849	3,3,3	0.0,0.0,0.0	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	6,6,6	23.0,23.0,24.0	5.0,5.0,5.0	39.0,37.0,38.0	8.0,8.0,8.0	28.0,28.0,29.0	47.0,45.0,46.0	225.94568,216.33098,223.46713	18.4,18.4,19.2	4157.4004,3980.49,4290.5693	230.96669,221.13834,238.36496	0.07531523,0.072110325,0.07448904	124.78694915771484,125.01306915283203,124.84430694580078	0,881,884	0,1,1	0,2,2	0,2,7	564.json
1849	3	0.5969946980476379	0	0	0	1	3.77	0	0	11.0	2.0	12.0	2.0	13.0	14.0	51.806156	5.5	284.93387	15.829659	0.01726872	132.4454345703125	0	0	0	0	296.json
1849	9,5	0.1431029736995697,0.6134650707244873	2,0	1,0	3,0	3,1	7.33,5.99	2,0	3,5	21.0,20.0	8.0,6.0	37.0,30.0	11.0,8.0	29.0,26.0	48.0,38.0	233.1831,178.61671	14.4375,13.333334	3366.581,2381.5564	187.03229,132.30869	0.077727705,0.059538905	106.365478515625,117.73384857177734	0,214	0,3	0,9	0,103	753.json
1849	4,4	0.5759947896003723,0.5759947896003723	0,0	0,0	0,0	1,1	6.63,6.63	0,0	0,0	12.0,12.0	4.0,4.0	13.0,13.0	4.0,4.0	16.0,16.0	17.0,17.0	68.0,68.0	6.0,6.0	408.0,408.0	22.666666,22.666666	0.022666667,0.022666667	126.37059020996094,126.37059020996094	0,14	0,0	0,0	0,0	578.json
1849	3	0.09585566818714142	0	0	0	1	3.77	0	2	15.0	4.0	19.0	5.0	19.0	24.0	101.950264	9.375	955.78375	53.0991	0.03398342	128.92515563964844	0	0	0	0	115.json
1849	24	0.02582618035376072	4	6	10	7	9.31	4	7	36.0	9.0	114.0	31.0	45.0	145.0	796.3187	62.0	49371.76	2742.8757	0.26543957	83.1695327758789	0	0	0	0	1134.json
1849	11,10	0.009956048801541328,0.024773024022579193	3,3	3,3	6,6	4,4	8.61,5.99	1,1	5,5	20.0,20.0	12.0,12.0	46.0,46.0	28.0,28.0	32.0,32.0	74.0,74.0	370.0,370.0	23.333332,23.333332	8633.333,8633.333	479.6296,479.6296	0.123333335,0.123333335	100.48387908935547,102.02790832519531	0,70	0,0	0,0	0,9	797.json
1849	7,8,8,9,9,9	0.03720627725124359,0.22807855904102325,0.22472117841243744,0.17945316433906555,0.3515297770500183,0.3515297770500183	1,1,1,1,1,1	1,1,1,1,1,1	2,2,2,2,2,2	2,2,2,2,2,2	5.11,7.42,7.42,8.43,8.43,8.43	1,1,1,1,1,1	8,10,10,11,8,8	28.0,29.0,29.0,30.0,27.0,27.0	8.0,7.0,7.0,7.0,8.0,8.0	57.0,61.0,61.0,64.0,52.0,52.0	11.0,10.0,10.0,10.0,11.0,11.0	36.0,36.0,36.0,37.0,35.0,35.0	68.0,71.0,71.0,74.0,63.0,63.0	351.5549,367.0647,367.0647,385.49957,323.14484,323.14484	19.25,20.714287,20.714287,21.428572,18.5625,18.5625	6767.4316,7603.4834,7603.4834,8260.705,5998.376,5998.376	375.9684,422.41574,422.41574,458.92807,333.2431,333.2431	0.11718497,0.1223549,0.1223549,0.12849985,0.10771494,0.10771494	108.53195190429688,106.14424896240234,106.14424896240234,103.98135375976562,104.89884185791016,104.89884185791016	0,207,213,216,443,443	0,3,1,2,1,1	0,4,2,3,2,2	0,41,5,20,37,1	327.json
1849	3	0.5704111456871033	0	0	0	1	3.77	0	2	13.0	3.0	18.0	5.0	16.0	23.0	92.0	10.833333	996.6666	55.37037	0.030666666	129.4591827392578	0	0	0	0	381.json
1849	4	0.009201287291944027	0	0	0	1	4.0	0	5	19.0	7.0	30.0	7.0	26.0	37.0	173.91628	9.5	1652.2046	91.78915	0.057972092	121.4874496459961	0	0	0	0	131.json
1832	3,3,3,3,3	0.7030903697013855,0.6936315894126892,0.6763615608215332,0.726726233959198,0.726726233959198	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	1,0,0,0,0	11.0,11.0,11.0,11.0,11.0	3.0,2.0,2.0,2.0,2.0	14.0,12.0,12.0,12.0,12.0	4.0,3.0,3.0,3.0,3.0	14.0,13.0,13.0,13.0,13.0	18.0,15.0,15.0,15.0,15.0	68.53239,55.506596,55.506596,55.506596,55.506596	7.3333335,8.25,8.25,8.25,8.25	502.57086,457.9294,457.9294,457.9294,457.9294	27.920603,25.440523,25.440523,25.440523,25.440523	0.022844128,0.018502198,0.018502198,0.018502198,0.018502198	130.99049377441406,132.086669921875,132.086669921875,132.086669921875,132.086669921875	0,0,0,197,321	0,2,3,3,0	0,4,6,6,0	0,34,3,9,0	890.json
1849	10,10,10,10,10,10	0.08061103522777557,0.13998214900493622,0.4866304397583008,0.24621911346912384,0.32197120785713196,0.3156411647796631	2,2,2,2,2,2	1,1,1,1,1,1	3,3,3,3,3,3	3,3,3,3,3,3	5.43,5.43,5.14,5.14,5.14,5.6	1,1,1,1,1,1	4,4,2,2,2,2	29.0,28.0,27.0,27.0,27.0,27.0	10.0,10.0,8.0,8.0,8.0,7.0	50.0,48.0,46.0,47.0,46.0,46.0	15.0,14.0,13.0,14.0,12.0,11.0	39.0,38.0,35.0,35.0,35.0,34.0	65.0,62.0,59.0,61.0,58.0,57.0	343.55115,325.37152,302.6277,312.88626,297.4984,289.98538	21.75,19.6,21.9375,23.625,20.25,21.214285	7472.2373,6377.2817,6638.895,7391.938,6024.343,6151.8325	415.1243,354.29343,368.8275,410.6632,334.6857,341.76846	0.11451705,0.10845717,0.10087589,0.10429542,0.09916614,0.09666179	102.6435775756836,102.9262924194336,103.3031005859375,103.12975311279297,103.39199829101562,103.5250015258789	0,21,21,21,22,363	0,1,2,1,1,1	0,2,4,2,2,2	0,38,46,7,13,90	185.json
1849	3,3	0.7217341065406799,0.7217341065406799	0,0	0,0	0,0	1,1	3.77,3.77	0,0	1,1	12.0,12.0	3.0,3.0	15.0,15.0	4.0,4.0	15.0,15.0	19.0,19.0	74.23092,74.23092	8.0,8.0	593.84735,593.84735	32.99152,32.99152	0.024743639,0.024743639	130.57513427734375,130.57513427734375	0,70	0,0	0,0	0,0	798.json
1849	3,3,4,6	0.20955707132816315,0.20955707132816315,0.30287474393844604,0.6637278199195862	0,0,0,1	0,0,0,1	0,0,0,2	1,1,1,2	3.77,3.77,3.32,3.06	0,0,0,1	0,0,1,1	14.0,14.0,15.0,19.0	2.0,2.0,2.0,3.0	16.0,16.0,19.0,26.0	2.0,2.0,2.0,5.0	16.0,16.0,17.0,22.0	18.0,18.0,21.0,31.0	72.0,72.0,85.83672,138.24239	7.0,7.0,7.5,15.833333	504.0,504.0,643.77545,2188.8376	28.0,28.0,35.765305,121.60209	0.024,0.024,0.028612241,0.046080794	130.7338104248047,130.7338104248047,125.15930938720703,115.88265228271484	0,19,19,20	0,0,1,4	0,0,1,5	0,0,33,83	505.json
1651	8,8,9,12,12	0.0018721029628068209,0.0013321005972102284,0.0024150570388883352,0.01110725849866867,0.006199264898896217	0,0,0,2,2	0,0,0,1,1	0,0,0,3,3	2,2,2,3,3	6.63,6.63,6.29,6.93,6.93	1,1,1,2,2	6,6,6,7,7	29.0,28.0,30.0,33.0,33.0	10.0,11.0,11.0,10.0,10.0	61.0,61.0,64.0,72.0,72.0	17.0,20.0,20.0,23.0,23.0	39.0,39.0,41.0,43.0,43.0	78.0,81.0,84.0,95.0,95.0	412.26138,428.11758,450.03436,515.4952,515.4952	24.650002,25.454546,27.272728,37.95,37.95	10162.244,10897.539,12273.665,19563.043,19563.043	564.5691,605.4188,681.8703,1086.8357,1086.8357	0.13742046,0.14270586,0.15001145,0.17183173,0.17183173	105.5404281616211,105.34417724609375,103.17647552490234,97.57984924316406,97.57984924316406	0,0,3,200,201	0,2,2,5,1	0,4,3,6,2	0,21,22,89,7	935.json
1849	3	0.14290589094161987	0	0	0	1	3.77	0	0	14.0	5.0	17.0	5.0	19.0	22.0	93.45441	7.0	654.18085	36.34338	0.03115147	129.37762451171875	0	0	0	0	269.json
1920	3,3,3	0.09628605842590332,0.10932859033346176,0.010822678916156292	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	2,3,2	14.0,15.0,15.0	4.0,3.0,6.0	20.0,22.0,21.0	4.0,3.0,6.0	18.0,18.0,21.0	24.0,25.0,27.0	100.0782,104.24813,118.59257	7.0,7.5,7.5	700.5474,781.86096,889.4443	38.9193,43.43672,49.41357	0.0333594,0.034749378,0.039530855	129.0215301513672,128.8092498779297,128.1388702392578	0,98,98	0,1,1	0,2,2	0,6,47	1169.json
1849	3	0.2517508566379547	0	0	0	1	3.77	0	3	15.0	3.0	21.0	6.0	18.0	27.0	112.58798	15.0	1688.8197	93.82332	0.037529327	128.4090576171875	0	0	0	0	943.json
