Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
1849	6,6	0.1468554437160492,0.4950713515281677	2,2	1,1	3,3	2,2	4.0,4.0	1,1	2,2	0,21	0,2	0,4	0,31	148.json
1635	3	0.034744106233119965	0	0	0	1	3.77	0	2	0	0	0	0	731.json
1828	3	0.6326672434806824	0	0	0	1	3.77	0	1	0	0	0	0	183.json
1849	3	0.15128472447395325	0	0	0	1	3.77	0	1	0	0	0	0	415.json
1653	3,3,3	0.5301458239555359,0.4192638397216797,0.3756285309791565	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,1	0,2,4	0,1,1	0,2,2	0,10,11	431.json
1849	4,3,3	0.3269307315349579,0.27985990047454834,0.3031156361103058	0,0,0	0,0,0	0,0,0	1,1,1	4.0,3.77,3.77	0,0,0	2,2,2	0,30,438	0,1,1	0,3,2	0,103,9	1044.json
1849	3	0.6873442530632019	0	0	0	1	3.77	0	0	0	0	0	0	333.json
1849	3	0.8607852458953857	0	0	0	1	3.77	0	0	0	0	0	0	220.json
1849	16,14	0.0,0.02014121226966381	6,6	5,5	11,11	6,6	6.91,5.39	5,5	12,8	0,34	0,4	0,10	0,283	307.json
1920	4	0.5482996106147766	0	0	0	1	1.89	0	3	0	0	0	0	1182.json
1849	13	3.661945229396224E-4	0	0	0	3	5.84	1	8	0	0	0	0	530.json
1849	10,9	0.03243733197450638,0.03154372051358223	3,3	2,2	5,5	3,3	7.33,7.54	2,2	6,6	0,132	0,0	0,0	0,4	526.json
1849	3	0.2712157070636749	0	0	0	1	3.77	0	2	0	0	0	0	403.json
1849	8,8	0.05213688686490059,0.05213688686490059	1,1	1,1	2,2	2,2	6.24,6.24	1,1	2,2	0,14	0,0	0,0	0,0	577.json
1849	4,4	1.3075547758489847E-4,3.0192488338798285E-4	0,0	0,0	0,0	1,1	4.0,4.0	0,0	2,2	0,34	0,1	0,2	0,5	250.json
1835	5,6,6,6,6,7,3	0.005512175150215626,0.8541846871376038,0.8572403192520142,0.4618226885795593,0.8572403192520142,0.2875444293022156,0.18909169733524323	2,1,1,1,1,1,0	1,1,1,1,1,1,0	3,2,2,2,2,2,0	2,2,2,2,2,2,1	3.2,5.5,5.5,5.5,5.5,5.11,3.77	1,1,1,1,1,1,0	2,1,1,2,1,2,1	0,2,3,3,3,134,193	0,5,1,1,1,1,1	0,8,2,2,2,2,6	0,142,1,25,25,32,63	927.json
1849	3,3	0.8675714731216431,0.8328880071640015	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,116	0,2	0,4	0,10	225.json
1821	8,8,8,8,8,9	0.5768817067146301,0.5768817067146301,0.5314396619796753,0.5314396619796753,0.5314396619796753,0.38587966561317444	2,2,2,2,2,2	2,2,2,2,2,2	4,4,4,4,4,4	2,2,2,2,2,2	5.9,5.9,5.9,5.9,5.9,5.99	1,1,1,1,1,1	2,2,2,2,2,3	0,79,309,447,447,504	0,0,2,0,0,1	0,0,4,0,0,1	0,2,56,0,0,53	774.json
1635	9	0.09330439567565918	0	0	0	1	9.98	1	2	0	0	0	0	719.json
1477	3,3	0.04005980119109154,0.5467144250869751	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,11	0,2	0,4	0,46	786.json
1732	10,10	0.20541425049304962,0.09897430986166	1,1	1,1	2,2	3,3	8.2,8.2	2,2	6,7	0,0	0,1	0,2	0,17	70.json
1849	3,3,3	0.0,0.0,0.0	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	6,6,6	0,881,884	0,1,1	0,2,2	0,2,7	564.json
1849	3	0.5969946980476379	0	0	0	1	3.77	0	0	0	0	0	0	296.json
1849	9,5	0.1431029736995697,0.6134650707244873	2,0	1,0	3,0	3,1	7.33,5.99	2,0	3,5	0,214	0,3	0,9	0,103	753.json
1849	4,4	0.5759947896003723,0.5759947896003723	0,0	0,0	0,0	1,1	6.63,6.63	0,0	0,0	0,14	0,0	0,0	0,0	578.json
1849	3	0.09585566818714142	0	0	0	1	3.77	0	2	0	0	0	0	115.json
1849	24	0.02582618035376072	4	6	10	7	9.31	4	7	0	0	0	0	1134.json
1849	11,10	0.009956048801541328,0.024773024022579193	3,3	3,3	6,6	4,4	8.61,5.99	1,1	5,5	0,70	0,0	0,0	0,9	797.json
1849	7,8,8,9,9,9	0.03720627725124359,0.22807855904102325,0.22472117841243744,0.17945316433906555,0.3515297770500183,0.3515297770500183	1,1,1,1,1,1	1,1,1,1,1,1	2,2,2,2,2,2	2,2,2,2,2,2	5.11,7.42,7.42,8.43,8.43,8.43	1,1,1,1,1,1	8,10,10,11,8,8	0,207,213,216,443,443	0,3,1,2,1,1	0,4,2,3,2,2	0,41,5,20,37,1	327.json
1849	3	0.5704111456871033	0	0	0	1	3.77	0	2	0	0	0	0	381.json
1849	4	0.009201287291944027	0	0	0	1	4.0	0	5	0	0	0	0	131.json
1832	3,3,3,3,3	0.7030903697013855,0.6936315894126892,0.6763615608215332,0.726726233959198,0.726726233959198	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.77,3.77,3.77,3.77,3.77	0,0,0,0,0	1,0,0,0,0	0,0,0,197,321	0,2,3,3,0	0,4,6,6,0	0,34,3,9,0	890.json
1849	10,10,10,10,10,10	0.08061103522777557,0.13998214900493622,0.4866304397583008,0.24621911346912384,0.32197120785713196,0.3156411647796631	2,2,2,2,2,2	1,1,1,1,1,1	3,3,3,3,3,3	3,3,3,3,3,3	5.43,5.43,5.14,5.14,5.14,5.6	1,1,1,1,1,1	4,4,2,2,2,2	0,21,21,21,22,363	0,1,2,1,1,1	0,2,4,2,2,2	0,38,46,7,13,90	185.json
1849	3,3	0.7217341065406799,0.7217341065406799	0,0	0,0	0,0	1,1	3.77,3.77	0,0	1,1	0,70	0,0	0,0	0,0	798.json
1849	3,3,4,6	0.20955707132816315,0.20955707132816315,0.30287474393844604,0.6637278199195862	0,0,0,1	0,0,0,1	0,0,0,2	1,1,1,2	3.77,3.77,3.32,3.06	0,0,0,1	0,0,1,1	0,19,19,20	0,0,1,4	0,0,1,5	0,0,33,83	505.json
1651	8,8,9,12,12	0.0018721029628068209,0.0013321005972102284,0.0024150570388883352,0.01110725849866867,0.006199264898896217	0,0,0,2,2	0,0,0,1,1	0,0,0,3,3	2,2,2,3,3	6.63,6.63,6.29,6.93,6.93	1,1,1,2,2	6,6,6,7,7	0,0,3,200,201	0,2,2,5,1	0,4,3,6,2	0,21,22,89,7	935.json
1849	3	0.14290589094161987	0	0	0	1	3.77	0	0	0	0	0	0	269.json
1920	3,3,3	0.09628605842590332,0.10932859033346176,0.010822678916156292	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	2,3,2	0,98,98	0,1,1	0,2,2	0,6,47	1169.json
1849	3	0.2517508566379547	0	0	0	1	3.77	0	3	0	0	0	0	943.json
1849	18	0.11773697286844254	4	3	7	5	7.17	2	2	0	0	0	0	302.json
1801	4,6,3	0.04290218651294708,0.30873459577560425,0.668917715549469	0,0,0	0,0,0	0,0,0	1,1,1	4.0,9.98,3.77	0,0,0	3,5,4	0,159,166	0,5,1	0,7,6	0,53,139	758.json
1671	7,9,9	0.2949987053871155,0.10982910543680191,0.08968351036310196	0,0,0	0,0,0	0,0,0	2,2,2	6.05,9.32,9.32	1,1,1	1,2,2	0,1,1	0,5,1	0,8,2	0,176,6	1125.json
1849	7,8	0.09102605283260345,0.11176107823848724	0,0	0,0	0,0	1,1	8.24,7.94	1,1	2,2	0,30	0,1	0,1	0,13	81.json
1849	3	1.4028127770870924E-4	0	0	0	1	3.77	0	5	0	0	0	0	334.json
1552	5	0.7348819375038147	1	1	2	2	5.99	1	2	0	0	0	0	647.json
1849	6,6	0.6499731540679932,0.6653835773468018	1,1	1,1	2,2	2,2	5.5,5.5	1,1	1,1	0,884	0,1	0,2	0,7	331.json
1849	5	0.31601667404174805	0	0	0	2	5.99	1	1	0	0	0	0	738.json
1849	3	0.7500641942024231	0	0	0	1	3.77	0	2	0	0	0	0	379.json
1849	6,5,5	0.9154725074768066,0.9624975323677063,0.7149773240089417	1,0,0	1,0,0	2,0,0	2,1,1	2.31,3.92,3.92	1,0,0	1,2,2	0,177,395	0,3,2	0,7,5	0,129,22	1073.json
1832	3	0.47331419587135315	0	0	0	1	3.77	0	1	0	0	0	0	1138.json
1909	3,3	0.6389514207839966,0.3839488923549652	0,0	0,0	0,0	1,1	3.77,3.77	0,0	2,3	0,3	0,1	0,2	0,8	1141.json
1797	3,4,3	0.18724435567855835,0.00844974722713232,0.005649674218147993	0,0,0	0,0,0	0,0,0	1,1,1	3.77,9.8,3.77	0,0,0	2,2,1	0,3,6	0,3,1	0,5,3	0,52,30	689.json
1546	3,3,3,3	0.02506371960043907,0.012974862940609455,0.013735591433942318,0.014542547054588795	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	3.77,3.77,3.77,3.77	0,0,0,0	0,0,0,0	0,1,1,1	0,1,1,1	0,2,2,2	0,17,4,7	410.json
1849	6,5,5,6,6	0.0323772206902504,0.025670126080513,0.005964110139757395,2.902075939346105E-4,3.7132331635802984E-4	2,0,0,0,0	1,0,0,0,0	3,0,0,0,0	2,1,1,1,1	6.7,3.92,3.92,3.77,3.77	1,0,0,0,0	4,4,5,8,8	0,23,30,437,438	0,4,1,1,1	0,8,2,1,2	0,119,28,86,9	1039.json
1849	13	0.29702189564704895	1	2	3	3	9.33	3	3	0	0	0	0	736.json
1477	3,3	0.04005980119109154,0.5467144250869751	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,11	0,2	0,4	0,46	788.json
1849	3	0.7224549055099487	0	0	0	1	3.77	0	0	0	0	0	0	292.json
1849	6,7,7,7,7,7,5,5	0.024491233751177788,0.18413865566253662,0.09129776805639267,0.07140550017356873,0.15883633494377136,0.16363196074962616,0.007962819188833237,0.014642435126006603	2,2,2,2,2,2,0,0	1,1,1,1,1,1,0,0	3,3,3,3,3,3,0,0	2,2,2,2,2,2,2,2	3.85,5.11,5.11,5.11,5.11,5.11,5.99,5.99	1,1,1,1,1,1,1,1	5,5,7,8,6,6,5,4	0,47,48,49,59,116,116,117	0,5,4,3,3,2,2,1	0,8,8,6,6,4,7,2	0,113,33,38,19,8,158,15	957.json
1849	3	0.48133203387260437	0	0	0	1	3.77	0	2	0	0	0	0	940.json
1490	6	0.013552059419453144	2	1	3	2	5.5	1	7	0	0	0	0	252.json
1849	14,14	0.029278237372636795,0.029844146221876144	3,3	2,2	5,5	4,4	7.62,7.62	2,2	6,6	0,330	0,2	0,4	0,18	190.json
1763	3,3,3	0.6218708753585815,0.6218708753585815,0.506269633769989	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,2	0,47,332	0,0,1	0,0,2	0,0,10	601.json
1849	9,9,9,9,9,9	0.032092269510030746,0.0656469315290451,0.3191521465778351,0.1323186159133911,0.18969324231147766,0.18186728656291962	3,3,3,3,3,3	2,2,2,2,2,2	5,5,5,5,5,5	3,3,3,3,3,3	2.67,2.67,2.27,2.27,2.27,5.33	1,1,1,1,1,1	5,5,3,3,3,3	0,21,21,21,22,363	0,1,2,1,1,1	0,2,4,2,2,2	0,38,46,7,13,92	176.json
1919	3,3,3	0.013714054599404335,0.01763402298092842,0.01907053217291832	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	2,3,2	0,97,97	0,1,1	0,2,2	0,6,15	1165.json
1849	3	0.05139954015612602	0	0	0	1	3.77	0	1	0	0	0	0	119.json
1920	3	0.9206094741821289	0	0	0	1	1.89	0	0	0	0	0	0	1198.json
1849	3,3,3,3	0.24607834219932556,0.24769015610218048,0.24769015610218048,0.5334233045578003	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1.89,3.77,3.77,3.77	0,0,0,0	2,2,2,2	0,71,72,363	0,0,0,1	0,0,0,2	0,16,0,11	829.json
1849	3	0.6761637330055237	0	0	0	1	1.89	0	0	0	0	0	0	1135.json
1917	3,3,3	0.5717207789421082,0.5717207789421082,0.4963568150997162	0,0,0	0,0,0	0,0,0	1,1,1	3.77,3.77,3.77	0,0,0	1,1,3	0,1,86	0,0,1	0,0,2	0,0,27	1225.json
1849	11,11	0.058124348521232605,0.24922721087932587	3,3	2,2	5,5	4,4	6.9,6.9	2,2	4,4	0,332	0,3	0,4	0,7	99.json
1743	13,14,13,12,12,12,12,12,12,12,12,13,14,14,13,18,18,19	0.005488587077707052,0.0047167763113975525,0.005488587077707052,0.01079544797539711,0.005958778318017721,0.00717517314478755,0.023086607456207275,1.6407971270382404E-4,1.125352646340616E-4,1.0579482477623969E-4,0.0072623081505298615,0.0,0.0,0.0,0.0,0.0,1.957435451913625E-4,2.816874475684017E-4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4	5.9,5.83,5.9,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.9,5.83,5.83,5.9,5.43,5.43,5.39	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	9,10,9,8,11,11,8,13,14,14,11,15,18,18,17,18,15,14	0,2,80,89,89,89,90,90,90,90,90,92,94,94,105,224,225,717	0,2,0,1,4,1,4,2,1,1,1,2,1,2,1,9,1,3	0,3,1,3,8,2,8,4,2,2,2,3,1,4,3,13,2,5	0,80,55,66,67,32,46,86,13,7,86,123,82,21,70,308,58,91	775.json
1849	9,9,9,9,9	0.08841562271118164,0.1645752191543579,0.28665846586227417,0.36751675605773926,0.34929537773132324	3,3,3,3,3	2,2,2,2,2	5,5,5,5,5	3,3,3,3,3	5.66,5.66,5.37,5.37,5.33	1,1,1,1,1	5,5,3,3,3	0,21,21,22,363	0,1,2,1,1	0,2,4,2,2	0,46,39,13,80	147.json
