Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
5257	4,4,4,4,4,4,3,11,15,19,19,19,20,19,19,19,19,19	0.6841679215431213,0.6841679215431213,0.6841679215431213,0.6841679215431213,0.6841679215431213,0.6841679215431213,0.9918696880340576,0.4858892261981964,0.38747602701187134,0.38625937700271606,0.38625937700271606,0.38391607999801636,0.5278856754302979,0.6303034424781799,0.49761325120925903,0.6303034424781799,0.6305776238441467,0.6303034424781799	0,0,0,0,0,0,0,3,4,5,5,5,5,6,6,6,6,6	0,0,0,0,0,0,0,3,4,5,5,5,5,6,6,6,6,6	0,0,0,0,0,0,0,6,8,10,10,10,10,12,12,12,12,12	1,1,1,1,1,1,1,2,3,4,4,4,3,4,4,4,4,4	3.46,3.46,3.46,3.46,3.46,3.46,3.46,5.91,5.69,5.36,5.36,5.36,7.76,6.0,6.0,6.0,6.0,6.0	0,0,0,0,0,0,0,1,2,2,2,2,1,2,2,2,2,2	2,2,2,2,2,2,0,9,10,11,11,11,10,10,10,10,10,10	0,265,418,418,447,814,1395,1644,1655,1656,1804,1993,2228,2859,3446,3457,4808,4853	0,0,0,0,0,0,1,9,9,5,0,1,10,5,1,1,1,1	0,0,0,0,0,0,2,10,11,5,0,2,18,6,2,2,2,2	0,0,0,0,0,0,52,236,338,55,0,6,240,69,16,16,5,5	4281.json
3437	3	0.5024425387382507	0	0	0	1	0.0	0	0	0	0	0	0	6491.json
449	4	0.46565720438957214	0	0	0	1	3.46	0	1	0	0	0	0	2184.json
3896	23,23,23,23,23,23,23,27,27,27	0.0016587977297604084,0.001664404640905559,0.0016700307605788112,0.001664404640905559,0.001664404640905559,0.001664404640905559,0.001664404640905559,8.870303863659501E-4,0.0010174002964049578,0.0011620240984484553	4,4,4,4,4,4,4,4,4,4	6,6,6,6,6,6,6,6,6,6	10,10,10,10,10,10,10,10,10,10	5,5,5,5,5,5,5,6,6,6	7.55,7.55,7.55,7.55,7.55,7.55,7.55,7.24,7.23,7.23	4,4,4,4,4,4,4,5,5,5	14,14,14,14,14,14,14,15,15,15	0,53,70,85,156,442,884,1019,1553,2389	0,1,2,1,0,0,0,6,1,1	0,2,4,2,0,0,0,7,3,2	0,2,2,2,0,0,0,164,77,53	4913.json
3601	4,4,4	0.05489746481180191,0.6049079298973083,0.6049079298973083	0,0,0	0,0,0	0,0,0	1,1,1	3.46,3.46,3.46	0,0,0	0,0,0	0,197,2093	0,1,0	0,2,0	0,35,0	148.json
3163	4,4,4	0.6242201924324036,0.6242201924324036,0.7744059562683105	0,0,0	0,0,0	0,0,0	1,1,1	3.46,3.46,3.46	0,0,0	0,0,0	0,151,1936	0,0,1	0,0,2	0,0,9	5081.json
5562	4,4,12,12,12,12,12,12,5,5,12,5,5,5,5,5,4,13,13	0.9406822323799133,0.943277895450592,0.3186366558074951,0.5228186845779419,0.7178546786308289,0.598403811454773,0.6007316708564758,0.6053736805915833,0.9733978509902954,0.9733978509902954,0.37035369873046875,0.9074376225471497,0.9074376225471497,0.9074376225471497,0.9074376225471497,0.9074376225471497,0.943277895450592,0.37000781297683716,0.37000781297683716	0,0,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,1,1	0,0,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,1,1	0,0,4,4,4,4,4,4,0,0,4,0,0,0,0,0,0,2,2	1,1,3,3,3,3,3,3,1,1,3,1,1,1,1,1,1,2,2	3.92,3.92,7.93,7.93,7.93,7.93,7.93,7.93,3.96,3.96,7.67,4.0,4.0,4.0,4.0,4.0,3.92,6.66,6.66	0,0,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,1,1	2,2,7,7,6,6,6,6,3,3,6,3,3,3,3,3,2,4,4	0,23,129,163,169,233,290,302,555,570,610,610,723,723,752,1119,1249,1676,2109	0,1,9,2,4,4,1,4,2,0,9,1,0,0,0,0,1,11,0	0,2,9,4,8,8,2,8,10,0,12,10,0,0,0,0,3,13,0	0,6,227,36,48,71,2,4,130,0,222,199,0,0,0,0,36,204,0	4428.json
2913	3,3	0.8189108371734619,0.8189108371734619	0,0	0,0	0,0	1,1	3.77,3.77	0,0	0,0	0,584	0,0	0,0	0,0	8474.json
3754	4,4	0.36434683203697205,0.36434683203697205	0,0	0,0	0,0	1,1	3.46,3.46	0,0	0,0	0,301	0,0	0,0	0,0	3721.json
2913	3,3,3,3	0.7998751997947693,0.8813077807426453,0.7998751997947693,0.7998751997947693	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0.0,0.0,0.0,0.0	0,0,0,0	0,0,0,0	0,1,20,584	0,1,1,0	0,2,2,0	0,27,27,0	8365.json
2114	8	0.05427471548318863	0	0	0	1	3.87	0	4	0	0	0	0	731.json
5609	4,4,4,4,4,4,4,4	0.8620026707649231,0.8620026707649231,0.8620026707649231,0.8620026707649231,0.8620026707649231,0.8620026707649231,0.8620026707649231,0.8620026707649231	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,617,770,770,777,799,1166,2156	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	4623.json
3791	4,4,4,4,4	0.9454575181007385,0.9454575181007385,0.9454575181007385,0.9454575181007385,0.9454575181007385	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	3.46,3.46,3.46,3.46,3.46	0,0,0,0,0	0,0,0,0,0	0,51,53,53,664	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	183.json
4739	3,3,3	0.8288450241088867,0.8288450241088867,0.8288450241088867	0,0,0	0,0,0	0,0,0	1,1,1	0.0,0.0,0.0	0,0,0	0,0,0	0,296,1285	0,0,0	0,0,0	0,0,0	1808.json
1877	4	0.00551712466403842	0	0	0	1	3.46	0	0	0	0	0	0	5782.json
4956	4,4,4,4,4,4,4,4,4	0.8012657761573792,0.8012657761573792,0.8012657761573792,0.8012657761573792,0.8012657761573792,0.8012657761573792,0.7451764345169067,0.7451764345169067,0.7451764345169067	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1	3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,117,117,146,513,1217,1431,1736,1861	0,0,0,0,0,0,1,0,0	0,0,0,0,0,0,2,0,0	0,0,0,0,0,0,7,0,0	9386.json
5302	4,4,4,9,9,9,9,19,19,19,19,19,19	0.8370743989944458,0.6829068660736084,0.1116577535867691,0.25166329741477966,0.25166329741477966,0.25166329741477966,0.25166329741477966,0.15568238496780396,0.15568238496780396,0.15568238496780396,0.12879090011119843,0.14979411661624908,0.14979411661624908	0,0,0,1,1,1,1,3,3,3,3,3,3	0,0,0,1,1,1,1,3,3,3,3,3,3	0,0,0,2,2,2,2,6,6,6,6,6,6	1,1,1,2,2,2,2,4,4,4,4,4,4	3.46,3.46,3.46,5.03,5.03,5.03,5.03,7.02,7.02,7.02,6.88,7.02,7.02	0,0,0,1,1,1,1,2,2,2,2,2,2	1,2,4,4,4,4,4,6,6,6,6,6,6	0,39,127,128,310,463,463,485,492,859,1430,1479,1849	0,1,1,6,0,0,0,13,0,0,4,2,0	0,2,2,7,0,0,0,16,0,0,7,5,0	0,18,33,102,0,0,0,152,0,0,131,112,0	1926.json
5244	4,4,4,4,4,4,4,4,4,4	0.02515309676527977,0.02515309676527977,0.02515309676527977,0.02515309676527977,0.02515309676527977,0.0017128662439063191,0.0017128662439063191,0.0010575471678748727,0.0012128367088735104,5.689251120202243E-4	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1	3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1	0,252,405,405,434,798,801,1819,2698,2956	0,0,0,0,0,2,0,1,1,4	0,0,0,0,0,4,0,2,2,8	0,0,0,0,0,9,0,6,1,24	11181.json
4181	4,4	0.9044599533081055,0.9044599533081055	0,0	0,0	0,0	1,1	3.46,3.46	0,0	0,0	0,728	0,0	0,0	0,0	5530.json
5499	4,4,4,4,4,4,4,4,4,4,4	0.011971071362495422,0.011971071362495422,0.06279027462005615,0.048447806388139725,0.048447806388139725,0.048447806388139725,0.048447806388139725,0.047225408256053925,0.047225408256053925,0.047225408256053925,0.047225408256053925	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1,1,1,1	3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46	0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0	0,24,83,223,507,660,660,667,689,1056,2045	0,1,1,1,0,0,0,1,0,0,0	0,2,2,2,0,0,0,2,0,0,0	0,2,23,26,0,0,0,4,0,0,0	6513.json
4937	8,8,8,8,9,9,9	0.8427233099937439,0.8427233099937439,0.8427233099937439,0.8427233099937439,0.8310560584068298,0.5210512280464172,0.5210512280464172	1,1,1,1,1,1,1	1,1,1,1,1,1,1	2,2,2,2,2,2,2	2,2,2,2,2,2,2	7.21,7.21,7.21,7.21,5.03,5.03,5.03	1,1,1,1,1,1,1	2,2,2,2,2,2,2	0,98,98,127,494,495,1484	0,0,0,0,0,1,0	0,0,0,0,0,2,0	0,0,0,0,85,16,0	4016.json
5120	4,4,4,4,4,4,4,4	0.6445206999778748,0.6445206999778748,0.6445206999778748,0.6445206999778748,0.6445206999778748,0.6445206999778748,0.6342381834983826,0.6342381834983826	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,1,1,1,1,1,1,1	3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,128,281,281,310,677,700,1666	0,0,0,0,0,0,1,0	0,0,0,0,0,0,2,0	0,0,0,0,0,0,8,0	5586.json
3081	8,25,25	0.005217454861849546,4.569771990645677E-4,0.0010185691062361002	0,0,0	0,0,0	0,0,0	1,1,1	3.87,9.33,9.33	0,0,0	6,7,7	0,280,345	0,23,1	0,27,2	0,848,21	10416.json
1414	5	0.2179078608751297	0	0	0	1	3.92	0	2	0	0	0	0	6428.json
