Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
3162	11,11,11,11,11	7.947076810523868E-4,7.947076810523868E-4,7.947076810523868E-4,7.947076810523868E-4,7.947076810523868E-4	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	3,3,3,3,3	2.56,2.56,2.56,2.56,2.56	1,1,1,1,1	9,9,9,9,9	0,32,1167,1167,1167	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	4925.json
3532	3,3	0.45057693123817444,0.45057693123817444	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	0,851	0,0	0,0	0,0	6491.json
2687	7,7	0.5753508806228638,0.5633289217948914	1,1	1,1	2,2	2,2	2.31,2.31	1,1	3,3	0,685	0,0	0,0	0,2	2184.json
3162	33,33,33,33,33,33,33,33	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	11,11,11,11,11,11,11,11	10,10,10,10,10,10,10,10	21,21,21,21,21,21,21,21	10,10,10,10,10,10,10,10	3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41	2,2,2,2,2,2,2,2	17,17,17,17,17,17,17,17	0,32,90,1167,1167,1167,1167,1167	0,1,1,1,1,1,1,0	0,2,2,2,2,2,2,0	0,5,33,3,3,5,12,0	4913.json
2438	3	0.8475384712219238	0	0	0	1	1.89	0	0	0	0	0	0	11879.json
2547	7,8,8,8,9	0.046358805149793625,0.0501895397901535,0.044784385710954666,0.09775761514902115,0.01160212978720665	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	1,1,1,1,1	5.42,5.29,5.29,5.29,5.14	0,0,0,0,0	4,5,5,5,8	0,28,357,397,1839	0,1,2,2,9	0,1,4,4,17	0,82,34,76,244	15388.json
3249	3,3	0.1994687020778656,0.1994687020778656	0,0	0,0	0,0	1,1	1.89,1.89	0,0	2,2	0,15	0,0	0,0	0,0	14050.json
3232	6,6,7,7,7	0.006572548300027847,0.006572548300027847,0.007757526822388172,0.007757526822388172,0.007359233684837818	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2,2,2,2,2	2.75,2.75,2.56,2.56,2.56	0,0,0,0,0	3,3,4,4,4	0,0,54,72,107	0,0,1,0,1	0,0,1,0,2	0,0,35,0,20	12851.json
3430	5,5,4,17,17,4,4	0.5266938209533691,0.5194495320320129,0.6501086950302124,0.21617110073566437,0.15574361383914948,0.9104914665222168,0.9104914665222168	0,0,0,2,2,0,0	0,0,0,2,2,0,0	0,0,0,4,4,0,0	1,1,1,5,5,1,1	1.96,1.96,2.0,4.06,4.06,2.0,2.0	0,0,0,2,2,0,0	4,4,1,4,5,1,1	0,78,99,231,344,704,1121	0,1,4,18,1,4,0	0,2,9,22,2,22,0	0,5,228,884,27,889,0	16260.json
3136	20,20,5,5	1.3351129018701613E-4,0.0,0.07065349817276001,0.06251001358032227	0,0,0,0	0,0,0,0	0,0,0,0	3,2,1,1	3.68,4.7,1.96,1.96	1,1,0,0	15,20,3,3	0,347,402,722	0,13,1,2	0,28,18,4	0,502,1170,59	14758.json
3092	3	0.5984567403793335	0	0	0	1	1.89	0	1	0	0	0	0	8739.json
1943	4	0.0014184040483087301	0	0	0	1	3.32	0	1	0	0	0	0	21187.json
3161	7,7,7,7,7	0.4319598078727722,0.32015377283096313,0.32015377283096313,0.32015377283096313,0.32015377283096313	1,1,1,1,1	1,1,1,1,1	2,2,2,2,2	2,2,2,2,2	3.02,3.02,3.02,3.02,3.02	0,0,0,0,0	5,5,5,5,5	0,166,1166,1166,1166	0,1,0,0,0	0,2,0,0,0	0,14,0,0,0	5081.json
3093	9,9,9	0.9822425842285156,0.9822425842285156,0.9822425842285156	0,0,0	0,0,0	0,0,0	1,1,1	1.89,1.89,1.89	0,0,0	2,2,2	0,784,1252	0,0,0	0,0,0	0,0,0	22515.json
1258	18	0.0	2	2	4	3	2.6	1	24	0	0	0	0	11120.json
319	10	0.03409656509757042	2	2	4	3	3.6	2	2	0	0	0	0	4428.json
3231	3	0.48870018124580383	0	0	0	1	1.89	0	0	0	0	0	0	8474.json
1810	13,13,13,13,13,13,17,17,19	0.07287754118442535,0.05213307961821556,0.028725896030664444,0.041047610342502594,0.041047610342502594,0.04661974683403969,0.05340323597192764,0.04389582574367523,0.004319631028920412	3,3,3,3,3,3,4,4,4	3,3,3,3,3,3,4,4,5	6,6,6,6,6,6,8,8,9	3,3,3,3,3,3,4,4,5	3.37,3.37,3.37,3.37,3.37,3.37,3.48,3.57,3.55	2,2,2,2,2,2,2,2,3	4,4,4,4,4,4,4,5,6	0,83,95,124,368,545,706,1644,1684	0,1,4,1,0,1,7,2,2	0,2,8,2,0,2,9,3,2	0,29,93,23,0,23,265,117,189	15746.json
405	13	0.0011273605050519109	2	2	4	3	3.29	2	7	0	0	0	0	3721.json
1496	20	0.002382909646257758	3	2	5	5	4.29	5	11	0	0	0	0	14017.json
531	5,5	0.18746985495090485,0.041428789496421814	0,0	0,0	0,0	2,2	2.99,2.99	1,1	1,1	0,285	0,1	0,2	0,23	731.json
168	3	0.46293383836746216	0	0	0	1	1.89	0	0	0	0	0	0	17454.json
2002	3	0.6328245401382446	0	0	0	1	1.89	0	0	0	0	0	0	4623.json
