Age	SLOCStandard	Readability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	n1	n2	N1	N2	Vocabulary	Length	Volume	Difficulty	Effort	Time	HalsteadBugs	MaintainabilityIndex	ChangeDates	NewAdditions	DiffSizes	EditDistances	file
6150	3	0.7387282848358154	0	0	0	1	1.89	0	1	11.0	3.0	14.0	4.0	14.0	18.0	68.53239	7.3333335	502.57086	27.920603	0.022844128	130.99049377441406	0	0	0	0	4925.json
5628	5	0.2603459656238556	0	0	0	1	3.92	0	1	16.0	5.0	21.0	7.0	21.0	28.0	122.984886	11.2	1377.4307	76.523926	0.04099496	119.67438507080078	0	0	0	0	4281.json
6169	3,3	0.8713034391403198,0.8799150586128235	0,0	0,0	0,0	1,1	1.89,1.89	0,0	0,0	12.0,12.0	3.0,3.0	15.0,15.0	4.0,4.0	15.0,15.0	19.0,19.0	74.23092,74.23092	8.0,8.0	593.84735,593.84735	32.99152,32.99152	0.024743639,0.024743639	130.57513427734375,130.57513427734375	0,243	0,1	0,2	0,4	6491.json
6431	7,8	0.8332643508911133,0.3593839108943939	0,0	0,0	0,0	1,1	1.66,1.6	0,0	2,3	17.0,17.0	9.0,11.0	31.0,39.0	15.0,20.0	26.0,28.0	46.0,59.0	216.22023,283.63394	14.166666,15.454546	3063.1199,4383.4336	170.17332,243.5241	0.07207341,0.09454465	111.28950500488281,107.715087890625	0,253	0,2	0,3	0,74	2184.json
6436	5,5	0.7408306002616882,0.2912876307964325	1,1	1,1	2,2	2,2	2.99,2.99	1,1	1,1	14.0,16.0	3.0,4.0	20.0,23.0	5.0,7.0	17.0,20.0	25.0,30.0	102.18657,129.65784	11.666666,14.0	1192.1766,1815.2097	66.23203,100.844986	0.034062188,0.04321928	120.40774536132812,119.16963195800781	0,96	0,2	0,4	0,26	148.json
5745	3	0.9236494302749634	0	0	0	1	1.89	0	0	17.0	5.0	20.0	7.0	22.0	27.0	120.404655	11.9	1432.8153	79.60085	0.040134884	128.0600128173828	0	0	0	0	5081.json
6258	16	0.006987925618886948	2	2	4	3	9.93	2	3	18.0	10.0	51.0	25.0	28.0	76.0	365.35898	22.5	8220.577	456.69873	0.121786326	94.70948791503906	0	0	0	0	4428.json
5964	3	0.9556962847709656	0	0	0	1	1.89	0	0	10.0	3.0	11.0	4.0	13.0	15.0	55.506596	6.666667	370.04398	20.557999	0.018502198	132.086669921875	0	0	0	0	8474.json
5067	4	0.3055662214756012	0	0	0	1	3.32	0	1	14.0	3.0	17.0	5.0	17.0	22.0	89.92419	11.666666	1049.1155	58.284195	0.029974729	124.91740417480469	0	0	0	0	3721.json
6436	11,11,11	0.03512747585773468,0.03512747585773468,0.02419257164001465	2,2,2	4,4,4	6,6,6	5,5,5	4.21,4.21,4.21	4,4,4	3,3,3	21.0,21.0,22.0	13.0,13.0,14.0	66.0,66.0,68.0	30.0,30.0,31.0	34.0,34.0,36.0	96.0,96.0,99.0	488.39642,488.39642,511.8226	24.230768,24.230768,24.357141	11834.221,11834.221,12466.535	657.4567,657.4567,692.58527	0.1627988,0.1627988,0.17060754	98.81023406982422,98.81023406982422,98.56661224365234	0,64,153	0,0,1	0,0,2	0,0,20	8365.json
7052	4	0.4078490436077118	0	0	0	1	1.73	0	1	11.0	3.0	12.0	3.0	14.0	15.0	57.110325	5.5	314.10678	17.450377	0.019036775	127.27810668945312	0	0	0	0	731.json
