Problem,ProblemCorrectness,ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,ParticipantID,Language,Country,ReadingDisorder,CurrentDev,CurrentUGrad,CurrentGrad,EnglishSkill,JavaSkill,ProgrammingSkill,YearsJava,YearsProgramming,ReadTime,AnswerTime,Readability,MCQCorrectness,ConfidenceLevel,LogicalCorrectness,LogicalCorrectnessExplanation
r1p1s1,1,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,nan,nan,168.176.239.35,0,42668.555210000006,42668.59116,1,B38,Spanish,Colombia,2,2,1,2,4,4,4,2,5,96986.0,72324.0,Very easy to read,Correct,Very confident,1,nan
r2p1s3,0,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,nan,nan,168.176.239.35,0,42668.555210000006,42668.59116,1,B38,Spanish,Colombia,2,2,1,2,4,4,4,2,5,296338.0,41256.0,Neutral,Incorrect,Somewhat confident,0,nan
r1p2s2,1,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,nan,nan,168.176.239.35,0,42668.555210000006,42668.59116,1,B38,Spanish,Colombia,2,2,1,2,4,4,4,2,5,133964.0,18931.0,Easy to read,Correct,Very confident,1,nan
r2p2s4,0,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,nan,nan,168.176.239.35,0,42668.555210000006,42668.59116,1,B38,Spanish,Colombia,2,2,1,2,4,4,4,2,5,364592.0,210988.0,Neutral,Correct,Somewhat confident,1,In the statement it is not specified how long the string can be now the condition said that the string should be more than 4 characters. / The cycles only identify if there are at least two characters equal if the length of the chain is greater than 4 the detection of the 4 different characters do not work
r1p3s3,0,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,nan,nan,168.176.239.35,0,42668.555210000006,42668.59116,1,B38,Spanish,Colombia,2,2,1,2,4,4,4,2,5,81471.0,198737.0,Very easy to read,Correct,Very confident,1,The specifications are not fully met by not giving a good implementation of the intervals since for case 18.5 it gives an incorrect answer
r2p3s1,1,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,nan,nan,168.176.239.35,0,42668.555210000006,42668.59116,1,B38,Spanish,Colombia,2,2,1,2,4,4,4,2,5,91988.0,60105.0,Very easy to read,Correct,Somewhat confident,1,nan
r1p4s4,0,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,nan,nan,168.176.239.35,0,42668.555210000006,42668.59116,1,B38,Spanish,Colombia,2,2,1,2,4,4,4,2,5,443390.0,87257.0,Very difficult to read,Correct,Somewhat confident,1,For entries where the first entry is not greater than 0 the checks do not work at all
r2p4s2,1,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,nan,nan,168.176.239.35,0,42668.555210000006,42668.59116,1,B38,Spanish,Colombia,2,2,1,2,4,4,4,2,5,142836.0,54212.0,Easy to read,Correct,Somewhat confident,1,nan
r1p1s1,1,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42668.55512,42668.60252,1,B29,Spanish,Colombia,2,2,1,2,3,3,2,2,5,96777.0,354346.0,Easy to read,Incorrect,Neutral,1,nan
r2p1s3,0,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,nan,nan,168.176.239.36,0,42668.55512,42668.60252,1,B29,Spanish,Colombia,2,2,1,2,3,3,2,2,5,246980.0,330871.0,Neutral,Correct,Neutral,0,nan
