Subject,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q3,Q3_Fixed,Q4,Q4_Fixed,Q5,Q5_means (reading disorder question),Q6,Q6_means (working as a developer question),Q7,Q7_means (undergraduate student question),Q8,Q8_means (graduate student question),Q9_1,Q9_1_means (knowledge about English),Q9_2,Q9_1_means (knowledge about Java programming),Q10_1,Q10_means (number of years you have been programming in:-Any language),Q10_2,Q10_means (number of years you have been programming in:-Java),Q11,Q11_means (working as a professional programmer),Q12,Q13_1,Q13_2,Q13_3,P1_Filter_Valid,P1_Solution,P1_Rule,P1_Correct,P1_Filtered,Q13_4,Q14,Q15_1,Q15_2,Q15_3,P1_Filter_Valid_AT,Q15_4,Q16,P1_readability,Q17,P1_correctness,Q18,P1_confidence_level,Q19,Q19_means (Is the method you just saw logically correct),Q20,Q21_1,Q21_2,Q21_3,P2_Filter_Valid,P2_Solution,Q21_4,Q22,Q23_1,Q23_2,Q23_3,P2_Filter_Valid_AT,Q23_4,Q24,P2_readability,Q25,P2_correctness,Q26,P2_confidence_level,Q27,Q27_means (Is the method you just saw logically correct),Q28,Q29_1,Q29_2,Q29_3,P3_Filter_Valid,P3_Solution,Q29_4,Q30,Q31_1,Q31_2,Q31_3,P3_Filter_Valid_AT,Q31_4,Q32,P3_readability,Q33,P3_correctness,Q34,P3_confidence_level,Q35,Q35_means (Is the method you just saw logically correct),Q36,Q37_1,Q37_2,Q37_3,P4_Filter_Valid,P4_Solution,Q37_4,Q38,Q39_1,Q39_2,Q39_3,P4_Filter_Valid_AT,Q39_4,Q40,P4_readability,Q41,P4_correctness,Q42,P4_confidence_level,Q43,Q43_means (Is the method you just saw logically correct),Q44,Q45_1,Q45_2,Q45_3,P1_Filter_Valid_R2,P1_Solution_R2,Q45_4,Q46,Q47_1,Q47_2,Q47_3,P1_Filter_Valid_AT_R2,Q47_4,Q48,P1_readability_R2,Q49,P1_correctness_R2,Q50,P1_confidence_level_R2,Q51,Q51_means (Is the method you just saw logically correct),Q52,Q53_1,Q53_2,Q53_3,P2_Filter_Valid_R2,P2_Solution_R2,Q53_4,Q54,Q55_1,Q55_2,Q55_3,P2_Filter_Valid_AT_R2,Q55_4,Q56,P2_readability_R2,Q57,P2_correctness_R2,Q58,P2_confidence_level_R2,Q59,Q59_means (Is the method you just saw logically correct),Q60,Q61_1,Q61_2,Q61_3,P3_Filter_Valid_R2,P3_Solution_R2,Q61_4,Q62,Q63_1,Q63_2,Q63_3,P3_Filter_Valid_AT_R2,Q63_4,Q64,P3_readability_R2,Q65,P3_correctness_R2,Q66,P3_confidence_level_R2,Q67,Q67_means (Is the method you just saw logically correct),Q68,Q69_1,Q69_2,Q69_3,P4_Filter_Valid_R2,P4_Solution_R2,Q69_4,Q70,Q71_1,Q71_2,Q71_3,P4_Filter_Valid_AT_R2,Q71_4,Q72,P4_readability_R2,Q73,P4_correctness_R2,Q74,P4_confidence_level_R2,Q75,Q75_means (Is the method you just saw logically correct),Q76,Q77,Q78,Problem_Rank_R1,Q79_4,Q79_5,Q80,Q81,Problem_Rank_R2,Q82_3,Q82_4,Q83,Q84,Q85,Q86,Q87,Q88,Q89,LocationLatitude,LocationLongitude,LocationAccuracy
1,R_ZpIxkaiVLELG6m5,Default Response Set,Anonymous,,,168.176.239.35,0,42668.55521,42668.59116,1,1,B38,Spanish,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,4,Good,4,Good,4,More than 5 years,2,Between 1 and 3 years,5,Not applicable,1,0,0,96986,1,S1,1,1,1,0,1,4601,64049,72324,1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,133964,1,S2,0,1,1959,17543,18931,1,4,4,Easy to read,2,Correct,18,Very confident,1,Yes,,0,0,81471,1,S3,0,1,3286,73022,198737,-1,6,5,Very easy to read,1,Correct,18,Very confident,2,No,"Las especificaciones no se cumplen del todo al no dar una buena implementación de los intervalos, puesto que para el caso 18.5 arroja una respuesta incorrecta",0,0,443390,-1,S4,0,1,2039,86902,87257,1,8,1,Very difficult to read,3,Correct,14,Somewhat confident,2,No,Para entradas donde la primera entrada no es mayor a 0 las verificaciones no funcionan del todo,259.35,263222,296338,1,S3,8,1,1955,37906,41256,1,4,3,Neutral,4,Incorrect,14,Somewhat confident,1,Yes,,0,0,364592,1,S4,0,1,1897,96489,210988,1,5,3,Neutral,3,Correct,14,Somewhat confident,2,No,"En el enunciado no se especifica que tan larga puede llegar a ser la cadena, ahora la condición decía que la cadena debía ser de más de 4 caracteres. / Los ciclos solo identifican si hay al menos dos caracteres iguales, si la longitud de la cadena es mayor a 4 la detección de los 4 caracteres diferentes no funcionan",1058,1058,91988,1,S1,1,1,1134,56214,60105,1,4,5,Very easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,142836,1,S2,0,1,1166,51584,54212,1,5,4,Easy to read,3,Correct,14,Somewhat confident,1,Yes,,1,1,P1,1,2,"Creo que es mas intuitivo el segundo fragmento, el primero se va mucho al detalle de llevar los resultados parciales que se tienen en cada una de las condiciones",1,P1,2,1,"La primera opción se acerca más a como uno lo pensaría rápidamente, pues se suelen olvidar las verificaciones al comenzar los ciclos",1,3,"Las instrucciones anidadas me causaron confusión, y aveces olvidaba como trabajaba el método después de dejar de verlo.","Documentación, buen nombramiento de  variables y métodos. Aveces es bueno hacer pequeños los métodos con ayuda de librerías e instrucciones pero puede tornarse muyu complicado a reducirlo todo a una línea.",Pruebas de escritorio.,,4.6492E+13,-7.40628E+13,-1
1,R_2zq0R77NaUDSinV,Default Response Set,Anonymous,,,168.176.239.36,0,42668.55512,42668.60252,1,1,B29,spanish,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,3,Satisfactory,3,Satisfactory,2,Between 1 and 3 years,2,Between 1 and 3 years,5,Not applicable,1,21653,30.74,96777,1,S1,1,1,1,4,1,8493,353532,354346,-1,4,4,Easy to read,2,Incorrect,15,Neutral,1,Yes,,53549,110061,110520,1,S2,5,1,6782,65701,67681,1,6,3,Neutral,4,Incorrect,15,Neutral,1,Yes,,12676,21796,211526,-1,S3,4,1,2.53,19514,21405,1,4,3,Neutral,1,Correct,15,Neutral,1,Yes,,0,0,197312,1,S4,0,1,3037,73043,74206,1,4,3,Neutral,3,Correct,15,Neutral,1,Yes,,3505,123784,246980,1,S3,5,1,5578,329369,330871,-1,18,3,Neutral,2,Correct,15,Neutral,1,Yes,,0,0,260208,1,S4,0,1,4338,221416,226172,1,16,3,Neutral,1,Incorrect,15,Neutral,1,Yes,,0.377,101264,104285,1,S1,5,1,3417,279896,283588,-1,27,4,Easy to read,3,Incorrect,14,Somewhat confident,1,Yes,,0,0,245272,1,S2,0,1,19743,163493,168010,1,4,3,Neutral,1,Incorrect,15,Neutral,1,Yes,,1,1,P1,1,2,En el segundo código no existe la sentencia else lo cual hace mas legible las lineas de codigo,1,P1,1,2,"la estructura de control ""do while"" se usa con menos frecuencia que la sentencia ""while"" por lo tanto es mas familiar y por lo tanto mas legible",2,3,había que recordar grandes partes de código ,identacion y tambien leer las sentencias else,identacion y separar el código en bloques para que no tome forma espagueti,fue un buen ejercicio el cual hace tomar en cuenta la importancia de leer código fuente para el aprendizaje ,4.6492E+13,-7.40628E+13,-1
1,R_3Pow8lOZQIeG7fL,Default Response Set,Anonymous,,,168.176.239.32,0,42683.55008,42683.57499,1,1,B80,Spanish,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,5,Very good,3,Satisfactory,3,Between 3 and 5 years,3,Between 3 and 5 years,7,Between 1 and 3 years,1,0,0,34381,1,S1,1,1,1,0,1,1519,34416,35315,1,6,5,Very easy to read,2,Incorrect,18,Very confident,1,Yes,,0,0,137992,1,S2,0,1,1453,25165,26088,1,4,2,Difficult to read,2,Correct,18,Very confident,1,Yes,,0,0,99352,1,S3,0,1,1471,12134,64226,1,5,5,Very easy to read,1,Correct,18,Very confident,2,No,"En caso de que sea 18.5 exacto, el programa debe arrojar o un resultado malo o lanzar una excepcion.",0,0,68821,1,S4,0,1,3698,43289,45166,1,5,2,Difficult to read,4,Incorrect,16,Not very confident,1,Yes,,6861,17557,141481,1,S3,3,1,2219,58265,59437,1,9,5,Very easy to read,4,Incorrect,14,Somewhat confident,1,Yes,,19218,19218,165677,1,S4,1,1,3787,125318,125791,1,15,3,Neutral,4,Incorrect,15,Neutral,2,No,"El codigo tiene problemas en hacer su funcion, ya que nunca se sabe si la clave tiene menos de 4 caracteres iguales.",162635,162635,163804,-1,S1,1,1,25.12,100817,101973,1,5,5,Very easy to read,1,Incorrect,18,Very confident,1,Yes,,0,0,76186,1,S2,0,1,2073,58836,61235,1,7,5,Very easy to read,2,Incorrect,14,Somewhat confident,2,No,"De pronto tendria que ser un if else, no solo un if.",1,1,P1,1,2,"Los if encanedos parece que lo hubiera progamado alguien que esta aprendiendo a programar en java sin tutortiales de youtube, sino con un libro de programacion viejo.",1,P1,2,1,"El segundo se ve de manera mas compacta mientras el primero con tantas lineas vacias cansan la vista y el cerebro espera que empieze otro pedazo de codigo importante, pero pareciera que se borro un comentario y se envio.",1,2,Metodos que por la densidad de corchetes se hacia muy tedioso leer y significa que no es una buena practica.,"Que tenga bien definido corchetes, funciones, lineas de codigo. Que los nombres sean adecuados y se lean bien.","IDEs que marquen el codigo, leer en un solo idioma.","El codigo esta apenas para el ejercicio, yo creo que el ejercicio puede ser mas tedioso si se implementan clases y de pronto arquitecturas, pero como esta es muy bueno para lograr las metricas que esperan.",4.6492E+13,-7.40628E+13,-1
1,R_2ToYdO5gel3Nise,Default Response Set,Anonymous,,,190.24.59.36,0,42702.33416,42702.36348,1,1,B103,Spanish,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,3,Satisfactory,4,Good,1,Less than 1 year,2,Between 1 and 3 years,5,Not applicable,1,10.16,125.24,126167,1,S1,1,1,1,5,1,2885,20711,22321,1,8,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,30703,79168,79876,1,S2,4,1,3529,18615,19706,1,8,4,Easy to read,2,Correct,18,Very confident,1,Yes,,4626,52751,53894,1,S3,4,1,3705,49.23,52491,1,12,5,Very easy to read,1,Correct,18,Very confident,2,No,"Porque cuando el bmi es 18.5, no va a retornar nada, cuando debería retornar algo",16317,148183,148967,1,S4,6,1,2622,29295,106948,1,10,2,Difficult to read,3,Correct,14,Somewhat confident,2,No,"Cuando numOne es 0 o numero negativo, si los dos siguientes números son positivos retornará 1, mientras que si sólo el segundo número es positivo, retornará 2",35389,98853,100906,1,S3,5,1,6106,124805,125647,1,11,5,Very easy to read,4,Incorrect,14,Somewhat confident,1,Yes,,50.43,149635,153654,1,S4,7,1,6222,40778,42021,1,10,4,Easy to read,3,Correct,14,Somewhat confident,1,Yes,,17149,73734,74953,1,S1,2,1,3.07,40672,44301,1,9,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,172132,172132,173698,1,S2,1,1,5471,293376,374860,-1,12,3,Neutral,3,Correct,15,Neutral,2,No,Porque una buena practica de programacion es poner ese while enseguida del ´corchete asi: / do{ /  / }while(); / En vez de / do{ /  / } / while(); / Así se asegura una mejor lectura del código,1,1,P1,1,2,"Porque hay usos innecesarios de sentencias if..else, cuando se puede hacer con menos líneas de código y solo usando if",1,P1,1,2,"Por el while debajo del }, cuando para mejor lectura debe estar al lado del }",1,2,Poder recordar los pasos del método a ejecutar,"Menos número de líneas, menos cantidades de condicionales anidados y de loops anidados","Imaginar lo que está sucediendo dentro del método, por ejemplo, en los arreglos imaginar que hay ciertas cantidades de cajas, o imaginar también que ha flechas apuntando a las cajas cuando se están recorriendo. Otra forma también es anotar paso a paso las variables en un papel (como un depurador hecho a mano)",,4.6492E+13,-7.40628E+13,-1
1,R_298xJVBWzIxcRnL,Default Response Set,Anonymous,,,2.01217E+11,0,42716.26589,42716.5611,0,1,B149,Spanish,Spanish,Colombia,Colombia,2,No,2,No,2,No,1,Yes,5,Very good,3,Satisfactory,4,More than 5 years,1,Less than 1 year,7,Between 1 and 3 years,1,0,0,68042,1,S1,1,1,1,0,1,4703,36172,39644,1,5,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,390822,467098,469199,-1,S2,4,1,6337,27786,30019,1,5,4,Easy to read,4,Incorrect,14,Somewhat confident,1,Yes,,50272,50272,84480,1,S3,1,1,6491,37017,53892,1,5,5,Very easy to read,3,Incorrect,18,Very confident,2,No,The last statement doesn´t work ,0,0,5264,0,S4,0,1,2588,13983,15986,1,4,2,Difficult to read,3,Correct,15,Neutral,1,Yes,,0,0,20525,1,S3,0,1,2001,15648,18973,0,5,2,Difficult to read,1,Incorrect,16,Not very confident,1,Yes,,0,0,39640,1,S4,0,1,3784,27094,28066,1,6,1,Very difficult to read,2,Incorrect,16,Not very confident,1,Yes,,0,0,57041,1,S1,0,1,1.94,17928,19313,0,4,4,Easy to read,1,Incorrect,15,Neutral,1,Yes,,1725026,1725026,1731187,-1,S2,1,1,1977,24702,25663,1,4,3,Neutral,4,Incorrect,17,Not at all confident,1,Yes,,1,,P1,,,,,P1,,,,,,,,,,,,-1
1,R_1i4kv3KFA4pvfN9,Default Response Set,Anonymous,,,168.176.239.33,0,42766.53299,42766.57257,1,1,B304,español,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,3,Satisfactory,2,Poor,2,Between 1 and 3 years,2,Between 1 and 3 years,5,Not applicable,1,0,0,90638,1,S1,1,1,1,0,1,9379,93627,94534,1,5,4,Easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,140120,1,S2,0,1,2159,34751,35075,1,5,4,Easy to read,2,Correct,14,Somewhat confident,1,Yes,,0,0,154025,1,S3,0,1,1976,34.4,35660,1,5,5,Very easy to read,4,Incorrect,14,Somewhat confident,1,Yes,,0,0,370836,-1,S4,0,1,6868,95508,98007,1,4,2,Difficult to read,3,Correct,15,Neutral,1,Yes,,0,0,184646,1,S3,0,1,2045,43517,44296,1,5,4,Easy to read,2,Correct,15,Neutral,1,Yes,,398712,407152,432388,-1,S4,5,1,7161,222184,226756,1,13,3,Neutral,3,Correct,14,Somewhat confident,2,No,porque no recuerdo encontrar una restricción respecto a la longitud que debería ser 4,20338,21.05,121580,1,S1,2,1,1782,48933,63793,1,6,4,Easy to read,1,Incorrect,14,Somewhat confident,2,No,falto verificar que el arreglo tuviera numeros,0,0,288315,-1,S2,0,1,2726,219805,253855,-1,9,2,Difficult to read,4,Incorrect,17,Not at all confident,2,No,"no tuve claro la validación del indice al final, y no validar el contador.. ni idea",1,1,P1,1,2,mas corto,1,P1,2,1,mas practico sin necesidad de darle un valor inicial a la variable 'tryAgain',1,3,"no poder poner a prueba el código, hacer iteraciones mentales ",es importante para proyectos grupales,probar el código...,a veces pase por alto detalles que no tuve en cuenta  y no pude responder con tranquilidad algunas preguntas,4.6492E+13,-7.40628E+13,-1
1,R_2Bz0ugFIdEq3DC2,Default Response Set,Anonymous,,,190.254.21.244,0,42765.70405,42765.70771,0,1,546754,ESPAÑOL,Spanish,COLOMBIA,Colombia,2,No,1,Yes,2,No,1,Yes,3,Satisfactory,2,Poor,4,More than 5 years,1,Less than 1 year,9,More than 5 years,1,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8267,8267,53014,0,S4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,,P1,,,,,,,,,,,,-1
1,R_24MlgcasS8SbeCS,Default Response Set,Anonymous,,,168.176.239.36,0,42774.54346,42774.56557,1,1,B341,Español,Spanish,Colombia,Colombia,2,No,2,No,1,Yes,2,No,4,Good,3,Satisfactory,2,Between 1 and 3 years,1,Less than 1 year,5,Not applicable,1,0,0,70685,1,S1,1,1,1,0,1,3595,55371,56946,1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,101632,1,S2,0,1,1818,34627,37977,1,5,5,Very easy to read,2,Correct,18,Very confident,1,Yes,,0,0,100591,1,S3,0,1,8046,47246,48689,1,4,5,Very easy to read,4,Incorrect,18,Very confident,1,Yes,,174239,174239,174570,1,S4,1,1,5877,83214,84845,1,7,4,Easy to read,4,Incorrect,18,Very confident,1,Yes,,0,0,197799,1,S3,0,1,1969,36041,38476,1,4,5,Very easy to read,4,Incorrect,18,Very confident,1,Yes,,0,0,197099,1,S4,0,1,1.58,78876,82892,1,5,5,Very easy to read,3,Correct,14,Somewhat confident,1,Yes,,0,0,51940,1,S1,0,1,1169,37.8,39649,1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,87144,1,S2,0,1,1484,42685,43600,1,4,5,Very easy to read,3,Correct,18,Very confident,1,Yes,,1,1,P1,1,2,consiso,1,P1,1,2,Costumbre leer condiciones al inicio,4,5,I spent time finding mispelling/syntax errors,Only Identation,"See curly braces, parenthesis, keep in mind var names and identation",None!,4.6492E+13,-7.40628E+13,-1
1,R_3qWI2tOCtoSvF2E,Default Response Set,Anonymous,,,72.23.187.194,0,42783.81567,42783.83044,1,1,B254,english ,English,USA,USA,2,No,2,No,1,Yes,2,No,5,Very good,1,Very poor,3,Between 3 and 5 years,1,Less than 1 year,5,Not applicable,1,0,0,61342,1,S1,1,1,1,0,1,5384,56.99,59977,1,4,5,Very easy to read,4,Correct,18,Very confident,1,Yes,,0,0,55668,1,S2,0,1,1051,25153,26724,1,5,5,Very easy to read,2,Correct,18,Very confident,1,Yes,,0,0,110107,1,S3,0,1,2488,22.88,24468,1,5,4,Easy to read,3,Incorrect,14,Somewhat confident,1,Yes,,0,0,63674,1,S4,0,1,4316,28792,29753,1,4,3,Neutral,1,Incorrect,15,Neutral,1,Yes,,0,0,70343,1,S3,0,1,2134,18714,20297,1,4,3,Neutral,2,Correct,15,Neutral,1,Yes,,0,0,187510,1,S4,0,1,2034,33827,35011,1,4,1,Very difficult to read,4,Incorrect,16,Not very confident,1,Yes,,0,0,32137,1,S1,0,1,8427,32281,33345,1,4,4,Easy to read,4,Correct,15,Neutral,1,Yes,,0,0,111969,1,S2,0,1,2.28,27841,28682,1,4,2,Difficult to read,1,Incorrect,16,Not very confident,1,Yes,,1,1,P1,1,2,"shorter more concise, easy to understand. makes logical sense to me",1,P1,1,2,they were very similar it is hard to choose,2,4,not finding any logical errors but I'm sure some were not logically correct,"short and concise, easy to read","adding comments, but also going one line at a time and determining output",,4.12361E+13,-8.19224E+13,-1
1,R_2otsJg3T9lPdU2d,Default Response Set,Anonymous,,,66.49.48.11,0,42788.80596,42788.82284,1,1,B246,English,English,United States of America,USA,2,No,2,No,1,Yes,2,No,5,Very good,2,Poor,2,Between 1 and 3 years,1,Less than 1 year,5,Not applicable,1,0,0,46228,1,S1,1,1,1,0,1,2668,33982,35985,1,7,5,Very easy to read,4,Correct,14,Somewhat confident,1,Yes,,0,0,61037,1,S2,0,1,2522,33449,54525,1,5,2,Difficult to read,1,Incorrect,15,Neutral,2,No,all comparisons other than 90 should have been &gt; and not &gt;=,0,0,83311,1,S3,0,1,8076,25728,38210,1,6,5,Very easy to read,1,Correct,18,Very confident,2,No,does not work when bmi is 18.5,0,0,54897,1,S4,0,1,3114,24683,26708,1,5,1,Very difficult to read,4,Incorrect,16,Not very confident,1,Yes,,0,0,158475,1,S3,0,1,2508,25452,48347,1,5,3,Neutral,1,Incorrect,15,Neutral,2,No,it was comparing the characters to 0 which didnt make very much sense to me,0,0,67919,1,S4,0,1,3713,44.16,45754,1,4,4,Easy to read,1,Incorrect,16,Not very confident,1,Yes,,0,0,77030,1,S1,0,1,2236,21.63,31900,1,5,4,Easy to read,1,Incorrect,14,Somewhat confident,2,No,it didnt check the last element in the array,0,0,81633,1,S2,0,1,4451,53.06,102988,1,6,4,Easy to read,4,Incorrect,15,Neutral,2,No,in the do loop i feel that it should have iterated count as well as index so it counts the occurences,1,1,P1,1,2,the second has less embedded if statements,1,P1,1,2,the first uses better loop structure in my opinion,2,2,i have little understanding of java,having the least nested statements,take my time,,4.11352E+13,-8.1326E+13,-1
